TokenID,ASTrns,ASUncc,ASUnrg,AktAcc,AktAch,AktAct,AktSemel,AktState,ClCntfcl,ClNegPol,DtDTAM,DtExp,DtRes,DtUniv,TLAspPfv,TLMdIrr,TLTS,VcPass
40001018,N,N,Y,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,Y
40001024,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y
40003002,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y
40003017,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y
40004012,Y,N,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y
40005027,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y
40005038,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y
40005043,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y
40006002,N,N,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,N,N,Y
40006005,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,Y
40006016,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y
40007028,N,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,N,Y,Y,N,Y
40008010,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,Y,Y,Y,Y
40008029,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y
40009008,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y
40009016,N,N,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,Y,Y
40009022,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y
40009033,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y
40010023,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y
40011012a,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y
40011012b,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y
40011021a,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y
40011021b,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y
40011023a,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,Y,Y,Y,Y
40011023b,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,Y
