TokenID,ASTrns,ASUncc,ASUnrg,AktAcc,AktAch,AktAct,AktSemel,AktState,ClCntfcl,ClNegPol,DtDTAM,DtExp,DtRes,DtUniv,TLAspPfv,TLMdIrr,TLTS,VcPass
40001018,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y
40001024,Y,N,N,N,Y,Y,N,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y
40003002,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,N,N,Y,N,Y,N,Y
40003017,Y,N,Y,N,Y,Y,N,N,Y,Y,N,N,N,Y,Y,Y,N,Y
40004012,Y,N,N,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y
40005027,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,N
40005038,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,N
40005043,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y
40006002,Y,N,N,Y,Y,Y,N,N,Y,Y,N,N,N,N,Y,Y,N,Y
40006005,Y,N,Y,N,Y,Y,N,N,N,Y,Y,N,N,N,N,Y,N,Y
40006016,Y,N,N,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,Y,N,N
40007028,Y,N,N,N,Y,Y,N,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y
40008010,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y
40008029,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,N,Y,N,Y,N,Y
40009008,Y,N,Y,N,Y,Y,N,Y,N,Y,N,N,N,Y,Y,Y,Y,Y
40009016,N,N,N,N,Y,Y,Y,N,N,N,Y,N,N,Y,N,Y,N,Y
40009022,Y,N,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y
40009033,Y,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y
40010023,Y,Y,N,N,Y,Y,N,N,Y,Y,N,Y,N,N,N,N,N,Y
40011012a,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N
40011012b,Y,N,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y
40011021a,Y,N,N,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y
40011021b,N,N,Y,N,Y,Y,N,Y,Y,N,N,Y,N,Y,N,Y,N,Y
40011023a,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y
40011023b,Y,Y,N,N,Y,Y,N,Y,N,Y,N,N,Y,Y,N,Y,N,N
40011025a,Y,N,N,N,Y,Y,Y,N,N,Y,N,N,Y,N,Y,Y,N,Y
40011025b,Y,N,N,Y,Y,Y,N,Y,N,Y,N,N,Y,N,Y,Y,N,Y
40011027,Y,N,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y
40012007a,N,Y,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,Y,Y,Y
40012007b,Y,N,N,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,Y,Y,N,Y
40012018,Y,N,N,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,Y,Y,N,N
40012028,Y,Y,N,N,N,Y,N,N,N,Y,N,N,Y,N,Y,Y,N,Y
40013051,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y
40013052,Y,N,Y,Y,N,Y,N,Y,N,Y,Y,N,N,N,Y,Y,N,Y
40014004,Y,N,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y
40015006,Y,N,N,N,Y,Y,N,N,N,N,Y,N,Y,N,Y,Y,N,Y
40015013,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,N,N,N,N,Y,N,Y
40015032,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y
40017009,Y,Y,N,N,N,Y,N,Y,Y,Y,N,N,N,Y,Y,N,N,Y
40017012,Y,Y,Y,N,N,Y,N,N,N,Y,Y,N,Y,Y,N,Y,N,Y
40018012,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y
40018013a,Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,Y
40018013b,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,N,N,Y,N,Y
40018015,Y,N,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,N,Y
40018031,Y,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y
40019006,Y,N,N,Y,Y,Y,N,N,N,Y,Y,N,Y,N,Y,Y,N,N
40019011,Y,N,Y,N,Y,Y,N,N,N,Y,Y,N,N,Y,Y,Y,N,Y
40019012,Y,N,N,N,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y
40019020,Y,N,N,Y,N,Y,N,Y,N,Y,Y,N,N,Y,Y,Y,N,Y
40019027,Y,N,N,N,Y,Y,N,Y,N,N,N,N,Y,Y,Y,Y,N,Y
40019028,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y
40019029,Y,N,N,N,Y,Y,N,Y,N,Y,Y,N,Y,N,Y,Y,N,Y
40020007,Y,N,N,N,Y,Y,Y,N,N,Y,Y,N,N,Y,Y,Y,N,Y
40020012a,Y,N,N,Y,N,N,N,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y
40020012b,Y,N,N,N,Y,Y,N,N,N,Y,Y,N,Y,Y,Y,Y,N,Y
40020012c,Y,N,N,N,Y,N,Y,N,N,Y,N,N,Y,N,Y,Y,N,Y
40020023,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,N,N,Y,Y,N,Y
40021016,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y
40021042a,Y,N,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y
40021042b,Y,N,N,N,Y,Y,N,N,N,Y,N,N,N,N,Y,Y,N,Y
40022004,Y,N,Y,Y,N,Y,N,N,N,Y,Y,N,Y,Y,Y,Y,N,Y
40022031,Y,N,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y
40022034,Y,N,N,N,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y
40023023,Y,N,N,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,N,Y
40023030,Y,N,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,N,Y,Y,N,N
40024043a,Y,N,N,Y,N,Y,Y,N,N,N,N,N,Y,N,N,Y,N,Y
40024043b,N,N,Y,N,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,Y
40024043c,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,Y,Y,N,Y
40025021,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,Y
40025027a,Y,N,N,N,Y,Y,N,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y
40025027b,Y,N,N,N,Y,Y,N,Y,N,N,N,N,Y,Y,Y,Y,N,N
40026001,N,N,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y
40026009,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,Y
40026024a,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,Y,N,N,Y,N,N
