TokenID,ASTrns_KD,ASTrns_annotations_90,ASTrns,ASUncc_KD,ASUncc_annotations_90,ASUncc,ASUnrg_KD,ASUnrg_annotations_90,ASUnrg,AktAcc_KD,AktAcc_annotations_90,AktAcc,AktAch_KD,AktAch_annotations_90,AktAch,AktAct_KD,AktAct_annotations_90,AktAct,AktSemel_KD,AktSemel_annotations_90,AktSemel,AktState_KD,AktState_annotations_90,AktState,ClCntfcl_KD,ClCntfcl_annotations_90,ClCntfcl,ClNegPol_KD,ClNegPol_annotations_90,ClNegPol,DtDTAM_KD,DtDTAM_annotations_90,DtDTAM,DtExp_KD,DtExp_annotations_90,DtExp,DtRes_KD,DtRes_annotations_90,DtRes,DtUniv_KD,DtUniv_annotations_90,DtUniv,TLAspPfv_KD,TLAspPfv_annotations_90,TLAspPfv,TLMdIrr_KD,TLMdIrr_annotations_90,TLMdIrr,TLTS_KD,TLTS_annotations_90,TLTS,VcPass_KD,VcPass_annotations_90,VcPass
40001018,1,0,N,0,1,N,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,1,1,Y
40003002,0,1,N,1,0,N,0,0,Y,1,0,N,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,1,0,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40005043,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40006016,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40008010,1,1,Y,0,0,Y,0,0,Y,0,1,N,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40009033,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40011012b,1,0,N,0,0,Y,0,1,N,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,1,0,N,0,1,N,0,0,Y,0,0,Y,0,0,Y
40011021b,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,0,N,0,1,N,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,1,1,Y,1,1,Y,0,0,Y,0,0,Y
40011027,1,1,Y,0,0,Y,0,0,Y,1,0,N,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y
40012018,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
