Run,ASTrns,ASTrns_KD,ASUncc,ASUncc_KD,ASUnrg,ASUnrg_KD,AktAcc,AktAcc_KD,AktAch,AktAch_KD,AktAct,AktAct_KD,AktSemel,AktSemel_KD,AktState,AktState_KD,ClCntfcl,ClCntfcl_KD,ClNegPol,ClNegPol_KD,DtDTAM,DtDTAM_KD,DtExp,DtExp_KD,DtRes,DtRes_KD,DtUniv,DtUniv_KD,TLAspPfv,TLAspPfv_KD,TLMdIrr,TLMdIrr_KD,TLTS,TLTS_KD,VcPass,VcPass_KD
Claude_abl1_ver,38,15,20,15,22,12,86,53,87,9,31,27,1,0,33,30,8,1,6,1,5,5,80,49,61,43,35,28,69,59,16,5,71,1,6,3
Claude_abl2_ver,39,13,30,29,21,13,80,45,80,13,31,29,1,0,40,39,7,1,12,3,5,5,72,47,68,48,38,27,46,35,24,5,74,1,10,3
Claude_abl3_ver,38,20,24,19,26,12,89,57,78,20,31,26,0,0,22,14,8,1,10,2,5,5,94,42,78,54,37,32,80,64,17,6,75,1,8,2
Claude_abl4_ver,34,13,22,17,23,12,83,51,70,18,31,27,0,0,38,36,9,1,11,2,5,5,68,29,60,42,37,32,75,65,14,6,73,1,9,3
Claude_abl5_ver,38,15,23,19,18,11,86,65,82,18,33,29,4,0,34,32,7,1,34,32,5,5,75,27,73,63,35,29,84,76,22,4,72,1,6,3
Claude_abl6_ver,32,7,25,19,27,10,78,53,75,22,33,27,2,0,34,32,6,1,43,43,5,5,79,48,65,49,42,34,50,39,14,5,70,1,5,3
Claude_full_ver,35,12,21,16,22,12,86,57,79,16,32,29,1,0,35,31,9,1,8,1,5,5,103,84,67,50,37,30,71,61,16,5,71,1,7,3
OpenAI_abl1_ver,42,27,32,12,33,12,78,51,93,42,33,29,23,0,51,10,3,2,12,2,68,1,86,69,64,43,41,36,64,57,15,6,53,1,14,5
OpenAI_abl2_ver,46,30,31,10,26,6,79,52,101,32,31,27,41,0,38,17,6,1,26,2,48,2,132,4,78,40,50,27,35,22,22,5,44,1,8,1
OpenAI_abl3_ver,37,26,35,13,24,10,77,50,94,27,27,26,7,0,57,15,4,1,12,3,59,1,82,28,66,40,43,33,70,58,18,6,50,1,9,2
OpenAI_abl4_ver,49,33,28,14,29,9,79,56,93,40,30,28,23,0,34,12,5,1,21,2,52,1,77,20,58,33,45,33,52,44,16,5,44,1,10,4
OpenAI_abl5_ver,42,33,30,12,27,11,77,61,93,30,34,30,13,0,47,15,5,1,21,3,51,2,90,11,58,40,43,33,43,37,20,5,45,1,12,3
OpenAI_abl6_ver,44,27,29,12,39,10,81,50,93,43,30,29,8,0,43,12,3,1,18,2,51,1,86,27,65,29,38,33,68,58,14,7,59,1,12,2
OpenAI_full_ver,43,32,28,11,33,13,73,58,91,32,28,26,13,0,45,13,5,1,17,3,50,1,79,23,62,36,42,34,67,56,15,8,45,1,8,3
