TokenID,FullText,Target,DtExp,DtRes,DtUniv,DtDTAM,TLTS,TLAspPfv,TLMdIrr,ClNegPol,ClCntfcl,VcPass,ASTrns,ASUnrg,ASUncc,AktState,AktAct,AktAcc,AktAch,AktSemel
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,0,1,0,,1,1,0,0,0,1,0,0,1,0,0,0,1,0
40006016,"» When you abstain from food , do not be like the hypocrites , with sad faces to be seen by men . They have received their reward .",have received,0,1,0,,0,1,0,0,0,0,1,0,0,0,0,0,1,0
40011012b,"» From the days of John the Baptist until now , the kingdom of heaven has been man’s goal , and men of violence have attempted to take it by force .",have attempted,0,1,0,,0,1,0,0,0,0,0,1,0,0,1,0,0,0
40012018,» Look ! My servant whom I have chosen . I am well pleased with him . I will put my Spirit upon him and he will declare judgment to the nations .,have chosen,0,1,0,,0,1,0,0,0,0,1,0,0,0,0,0,1,0
40018012,"» What do you think ? A man has a hundred sheep , and one of them has gone wandering away . Will he leave the ninety-nine and go in search of the wandering one ?",has gone wandering,0,1,0,,0,0,0,0,0,0,0,1,0,0,1,0,0,0
40019028,"Jesus replied : » Truly I say to you , when all things are made new , and the Son of man is seated in his glory , you who have come after me will be seated on twelve seats , judging the twelve tribes of Israel .",have come,0,1,0,,0,1,0,0,0,0,0,0,1,0,0,0,1,0
40022004,"» Again he sent out other servants with orders to say to the guests , ‘ I have prepared my feast . Oxen and fat livestock are butchered and everything is ready , so come to the feast . ’",have prepared,0,1,0,,0,1,0,0,0,0,1,0,0,0,0,1,0,0
40025027b,» ‘ You should have put my money in the bank . I should have received my money back plus interest .,should have received,0,1,0,,0,1,1,0,0,0,1,0,0,0,0,0,1,0
40027023,» What evil has he done ? « Pilate asked . But they shouted : » Impale him ! «,have done evil,0,1,0,,0,1,0,0,0,0,1,0,0,0,1,0,0,0
41001015,Jesus said : » The time has come . The kingdom of God is at hand . Repent and believe the good news . «,has come,0,1,0,,0,1,0,0,0,0,0,0,1,0,0,0,1,0
41004029,"» When the grain is ready he immediately sends men to cut it , because the time for cutting has come . «",has come,0,1,0,,0,1,0,0,0,0,0,0,1,0,0,0,1,0
41006052,They had not understood the loaves of bread . Their minds were closed .,had not understood,0,1,0,,1,1,0,1,0,0,1,0,0,0,0,0,1,0
41010028a,Peter said to him : » We have left all and followed you . «,have left,0,1,0,,0,1,0,0,0,0,0,1,0,0,0,0,1,0
41014005a,» This ointment might have been sold for more than three hundred denarii . And the money could have been given to the poor . They scolded her . «,might have been sold,0,1,0,,0,1,1,0,0,1,0,0,1,0,0,0,1,0
41015046,"He bought a linen cloth , and taking him down , wound him in the linen cloth . Then he laid him in a tomb that had been cut out of a rock . He rolled a stone against the door of the tomb .",had been cut,0,1,0,,1,1,0,0,0,1,0,0,1,0,0,1,0,0
42001001a,Many have attempted to write an orderly narrative about the things that have taken place .,have attempted,1,0,0,,0,1,0,0,0,0,0,1,0,0,1,0,0,0
42001036,» Your relative Elisabeth has also conceived a son even in her old age . This so-called barren woman is in her sixth month .,has conceived,0,1,0,,0,1,0,0,0,0,1,0,0,0,0,0,1,0
42002030,» My eyes have seen your salvation .,have seen,0,1,0,,0,1,0,0,0,0,1,0,0,1,0,0,0,0
42004035,"Jesus rebuked him , saying : » Be quiet and come out of him . « When the demon had thrown him down in front of them , he came out of him without harming him .",had thrown (him) down,0,1,0,,1,1,0,0,0,0,1,0,0,0,0,0,1,0
42007045,» You did not kiss me . Since the time I came in she has not ceased kissing my feet .,has not ceased kissing,0,1,0,,0,1,0,1,0,0,1,0,0,0,0,0,1,0
42008056,Her parents were amazed . He charged them to tell no man what had been done .,had been done,0,1,0,,1,1,0,0,0,0,1,0,0,0,0,1,0,0
42010042,» However one thing is needed . Mary has chosen the proper way and it shall not be taken away from her . «,has chosen,0,1,0,,0,1,0,0,0,0,1,0,0,0,0,0,1,0
42013007a,"» So he told his gardener , I have been coming here looking for figs on this tree for three years . I have not found any . So cut it down ! Why should it continue using the soil ?",have been coming here,0,0,1,,0,0,0,0,0,0,0,1,0,0,1,0,0,0
42015029a,» He spoke to his father in anger . All these years I have worked like a slave for you . I have never disobeyed you . What have you given me ? Not even a goat for me to have a feast with my friends !,have worked,0,0,1,,0,1,0,0,0,0,0,1,0,0,1,0,0,0
42017019,He said : » Arise and go your way . Your faith has made you whole . «,has made (you) whole,0,1,0,,0,1,0,0,0,0,1,0,0,0,0,1,0,0
42019030,"He told them , » Go into the nearby village . You will find a colt tied . No man has ever sat on him . Untie him and bring him to me .",has sat,1,0,0,,0,1,0,1,0,0,0,0,1,0,1,0,0,0
42023008,Herod was very happy to see Jesus . He had wanted to see him for a long time . He hoped to see him perform a miracle .,had wanted,0,0,1,,1,0,0,0,0,0,1,0,0,1,0,0,0,0
42024023,"» They did not find his body . They said that they had also seen a vision of angels , who said that he was alive .",had seen (a vision),0,1,0,,1,1,0,0,0,0,1,0,0,1,0,0,0,0
43002010a,He said to him : » Every man sets out the good wine first . When the men have drunk freely the lower quality wine is served . You have kept the good wine until now . «,have drunk,0,1,0,,0,1,0,0,0,0,0,1,0,0,1,0,0,0
43003032b,"» He testifies about what he has seen and heard , but no man accepts his testimony .",[have] heard,0,1,0,,0,1,0,0,0,0,1,0,0,1,0,0,0,0
