Model,Claude,Claude,Claude,Claude,Claude,Gemini,Gemini,Gemini,Gemini,Gemini,OpenAI,OpenAI,OpenAI,OpenAI,OpenAI
Metric,Precision,Recall,F1,Kappa,Alpha,Precision,Recall,F1,Kappa,Alpha,Precision,Recall,F1,Kappa,Alpha
Permutation,,,,,,,,,,,,,,,
full,0.676065770072127,0.6720597442952849,0.6284609365683509,0.5607695467549442,0.576532239124997,0.6884060605521483,0.5540123936736964,0.5491868885572216,0.4801511192894979,0.4853268640633601,0.6798513214662365,0.6422494982177855,0.6163224196822872,0.5156637022328551,0.5062864333555267
abl1,0.6850157277580694,0.6864071624547181,0.6348297078005314,0.5369834672446401,0.5265753178188082,0.660979813395184,0.5584890075043155,0.5593692937579088,0.4794848916132372,0.4913420668649735,0.6946909720391655,0.6385699526703842,0.6224308103092389,0.5234839203476533,0.5150093154753228
abl2,0.6799022165038513,0.6473773605078175,0.6142070245529253,0.5189364720152674,0.5110326103462293,0.6970231847758716,0.46136513553125424,0.4882555206260255,0.41963925999226065,0.4228224355172983,0.6473746979359841,0.6754946390267811,0.6238898812961069,0.5168772631289691,0.5054685901374468
abl3,0.6693375903154062,0.6935540193847978,0.6388984418983369,0.5638911850154027,0.5791546793996697,0.5748096186615953,0.7499681715809565,0.6158978846879714,0.482894024884199,0.45723295086062904,0.6453255525169447,0.6822113976417151,0.6290034168099956,0.5225396449171953,0.5149070897929872
abl4,0.6678464811988737,0.6817900362184462,0.631555359484686,0.5636702346761149,0.5791405173856589,0.6556141082310395,0.5993799902114845,0.5915143958880612,0.5113279418337209,0.5259605696686329,0.6879201241857429,0.6458924015053933,0.6294479785596907,0.5268722587301204,0.516493084199868
abl5,0.6807080232056557,0.6588451703724728,0.6146782813515351,0.5463637903811499,0.5600471228893195,0.660169596879225,0.5540875214295571,0.5560591414538014,0.44988022174163433,0.432382010760466,0.6580336382952029,0.6238017584009008,0.597479228441133,0.497851180534528,0.4847386307204624
abl6,0.6755542477612692,0.6752368552248281,0.6251804777480519,0.5586180716384315,0.5739034710474313,0.6792960382052635,0.5355070457123461,0.5405046151637883,0.4620544408309288,0.47085243823771517,0.6849167873041456,0.6379678548809716,0.6119351630671458,0.5109440875138198,0.5003843744497918
all1,0.5358739129451624,0.573282118110468,0.5043563265313178,0.38107042605013547,0.3915292113182905,0.46150285960791376,0.7204035245586792,0.5280205826529755,0.3332263006514244,0.2547594907518927,0.44596723950152384,0.6704870943201123,0.4871291731166769,0.31055843055453575,0.2718016268414311
all2,0.5661444889511151,0.7268125891321034,0.5979731659805112,0.4775060483412812,0.48671645970417493,0.5597510384137016,0.6662439774384653,0.5780412666048969,0.42395167306659204,0.39606356245025165,0.5568081065111289,0.7027067606574878,0.5836604837963497,0.446372036402334,0.42877881133167484
all3,0.6237520235319315,0.5593144708746748,0.5037667785223419,0.41982549493536714,0.42708794309964226,0.26800088540284617,0.11313158502159452,0.13363837562047803,0.11406125876399942,0.025915767669904458,0.4674076069246919,0.7462596725744521,0.5339529117946982,0.3760807024056589,0.29899323972974184
all4,0.4852587876474451,0.6422728231548961,0.5048332221827676,0.34334637593585465,0.2873973202639612,0.44216308375818947,0.4548758102143153,0.3838540934415108,0.205791366498095,0.12072989600506141,0.3958116502162975,0.6945736018416953,0.4471414947374385,0.23842915879627558,0.0647766385005478
all5,0.4671425555249918,0.8591524452578744,0.5558549180582442,0.3637964456823693,0.20922587905684015,0.5217641770020595,0.6543650406042568,0.5000919040371657,0.321308955911687,0.18660165696003606,0.4861549456425136,0.7751533600367397,0.5417568145348549,0.36685102163398664,0.268398884582077
all6,0.5459902100547628,0.39705369396540086,0.38861660727696334,0.2762908437898514,0.22323115718760203,0.3073830044224781,0.12192862642247168,0.14496628754490531,0.08988551520033927,-0.028310239235115275,0.3405665387297749,0.666947578455276,0.4090332821077653,0.18842312894431526,0.020052075681944385
