TokenID,ASTrns_BB_annotations_90,ASTrns_KD_annotations_90,ASTrns,ASUncc_BB_annotations_90,ASUncc_KD_annotations_90,ASUncc,ASUnrg_BB_annotations_90,ASUnrg_KD_annotations_90,ASUnrg,AktAcc_BB_annotations_90,AktAcc_KD_annotations_90,AktAcc,AktAch_BB_annotations_90,AktAch_KD_annotations_90,AktAch,AktAct_BB_annotations_90,AktAct_KD_annotations_90,AktAct,AktSemel_BB_annotations_90,AktSemel_KD_annotations_90,AktSemel,AktState_BB_annotations_90,AktState_KD_annotations_90,AktState,ClCntfcl_BB_annotations_90,ClCntfcl_KD_annotations_90,ClCntfcl,ClNegPol_BB_annotations_90,ClNegPol_KD_annotations_90,ClNegPol,DtDTAM_BB_annotations_90,DtDTAM_KD_annotations_90,DtDTAM,DtExp_BB_annotations_90,DtExp_KD_annotations_90,DtExp,DtRes_BB_annotations_90,DtRes_KD_annotations_90,DtRes,DtUniv_BB_annotations_90,DtUniv_KD_annotations_90,DtUniv,TLAspPfv_BB_annotations_90,TLAspPfv_KD_annotations_90,TLAspPfv,TLMdIrr_BB_annotations_90,TLMdIrr_KD_annotations_90,TLMdIrr,TLTS_BB_annotations_90,TLTS_KD_annotations_90,TLTS,VcPass_BB_annotations_90,VcPass_KD_annotations_90,VcPass
40001018,0,1,N,1,0,N,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,1,1,Y
40003002,1,0,N,0,1,N,0,0,Y,0,1,N,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,1,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40005043,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40006016,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40008010,1,1,Y,0,0,Y,0,0,Y,1,0,N,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,1,N,1,0,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40009033,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,1,N,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,0,Y
40011012b,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,1,N,1,0,N,0,0,Y,0,0,Y,0,0,Y
40011021b,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,1,1,Y,0,1,N,0,0,Y
40011027,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y
40012018,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40013051,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,1,N,0,0,Y,0,0,Y,0,0,Y
40015032,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y
40018012,0,0,Y,0,1,N,1,0,N,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y
40018013b,0,0,Y,1,0,N,0,1,N,0,0,Y,0,0,Y,0,1,N,0,0,Y,1,0,N,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,1,N,0,0,Y
40019012,1,1,Y,0,0,Y,0,0,Y,1,0,N,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40019028,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40020007,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40021016,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40022004,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40022034,1,1,Y,0,0,Y,0,0,Y,1,0,N,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,0,0,Y,1,1,Y,0,0,Y,0,1,N,0,0,Y,0,1,N,0,0,Y
40024043c,1,1,Y,0,0,Y,0,0,Y,1,0,N,0,1,N,0,0,Y,0,0,Y,0,0,Y,1,1,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,1,1,Y,0,1,N,1,1,Y
40025027b,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,1,1,Y,0,1,N,0,0,Y
40026009,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,1,1,Y,0,1,N,1,1,Y
40026065,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40027023,1,1,Y,0,0,Y,0,0,Y,0,1,N,0,1,N,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,1,0,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40027046,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,1,0,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40028007b,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
41001015,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
41002012,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y
41004015b,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y
41004029,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
41005015,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,1,0,N,0,1,N,0,0,Y,1,1,Y,1,1,Y
41006014a,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,1,0,N
41006052,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,1,N,0,0,Y,1,1,Y,0,0,Y,0,1,N,1,0,N,0,0,Y,1,0,N,0,0,Y,1,1,Y,0,0,Y
41009009a,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,1,N,0,0,Y,1,1,Y,0,0,Y
41009034,0,1,N,0,0,Y,1,0,N,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y
41010028a,0,1,N,0,0,Y,1,0,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
41010029,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
41012010,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,1,N,1,0,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
41014005a,0,1,N,1,0,N,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,1,1,Y,1,1,Y,0,1,N,1,1,Y
41014009,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
41014064,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
41015046,0,1,N,1,0,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,1,1,Y
41016006a,1,1,Y,0,0,Y,0,0,Y,1,0,N,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,0,0,Y,1,0,N,0,1,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y
41016014a,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,1,0,N,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y
42001001a,0,1,N,0,0,Y,1,0,N,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
42001003,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
42001025,0,1,N,0,0,Y,1,0,N,1,0,N,0,0,Y,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
42001036,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
42001049,1,1,Y,0,0,Y,0,0,Y,0,1,N,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
42002017,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,1,N,1,0,N,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y
42002030,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,1,N,1,0,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
42002039,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y
42004013,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y
42004035,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y
42005026,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,1,N,1,0,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
42007016d,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
42007045,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,1,N,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,1,N,1,0,N,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,0,Y
42008002b,0,0,Y,0,1,N,1,0,N,1,0,N,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y
42008039a,1,1,Y,0,0,Y,0,0,Y,0,1,N,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
42008056,1,1,Y,0,0,Y,0,0,Y,1,0,N,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,1,N
42009008b,0,0,Y,0,1,N,1,0,N,1,0,N,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,1,N,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y
42010013b,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,1,N,1,0,N,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,1,1,Y,0,1,N,0,0,Y
42010042,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
42011042,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,1,1,Y,0,1,N,0,0,Y
42012039b,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,1,1,Y,0,1,N,0,0,Y
42013007a,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y
42013007c,1,1,Y,0,0,Y,0,0,Y,1,0,N,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
42015021,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,1,N,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
42015029a,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,0,0,Y,0,0,Y,0,0,Y,1,1,Y,1,0,N,0,0,Y,0,0,Y,0,0,Y
42015029c,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
42017010b,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,1,0,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y
42017019,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
42018028,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
42019015,1,1,Y,0,0,Y,0,0,Y,1,0,N,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y
