Model,Anthropic,Anthropic,Anthropic,Anthropic,Anthropic
Metric,Precision,Recall,F1,Kappa,Alpha
Feature,,,,,
ASTrns,0.9330357142857143,0.8565573770491803,0.8931623931623932,0.6712026759920937,0.670425061050061
ASUncc,0.92,0.8023255813953488,0.8571428571428571,0.8142527986594363,0.8142589118198874
ASUnrg,0.42857142857142855,0.35294117647058826,0.3870967741935484,0.3587199688746231,0.3593635965552473
AktAcc,0.5041322314049587,0.7349397590361446,0.5980392156862745,0.43879925841189693,0.43151260504201683
AktAch,0.73568281938326,0.893048128342246,0.8067632850241546,0.527569775357386,0.5217391304347827
AktAct,0.6923076923076923,0.25,0.3673469387755102,0.330491068650028,0.32026578073089706
AktState,0.896551724137931,0.6046511627906976,0.7222222222222222,0.691418408181414,0.6905144694533762
ClCntfcl,0.84375,0.9642857142857143,0.9,0.8905822997687618,0.8906940063091483
ClNegPol,0.8235294117647058,0.9767441860465116,0.8936170212765957,0.8770346151112375,0.8770725112075713
DtExp,0.7049180327868853,0.7166666666666667,0.7107438016528925,0.5558927853146598,0.5565164923572004
DtRes,0.8682170542635659,0.6549707602339181,0.7466666666666667,0.5603347670967957,0.5544162436548223
DtUniv,0.7916666666666666,0.3333333333333333,0.4691358024691358,0.41188758819124194,0.39985499365597255
TLAspPfv,0.9591836734693877,0.8103448275862069,0.8785046728971962,0.4820300838213343,0.470463763004761
TLMdIrr,0.8,0.9090909090909091,0.851063829787234,0.8278403855694947,0.8279787234042553
TLTS,0.6339285714285714,0.9594594594594594,0.7634408602150538,0.6810522334748077,0.6766086362860557
VcPass,0.8372093023255814,0.9230769230769231,0.8780487804878049,0.8617529880478088,0.8619081779053085
