Model,Anthropic,Anthropic,Anthropic,Anthropic,Anthropic,Anthropic_mi,Anthropic_mi,Anthropic_mi,Anthropic_mi,Anthropic_mi
Metric,Precision,Recall,F1,Kappa,Alpha,Precision,Recall,F1,Kappa,Alpha
Feature,,,,,,,,,,
ASTrns,0.9324324324324325,0.9452054794520548,0.9387755102040817,0.7623366230994932,0.7635054021608643,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.7391991570073762,0.7405163329820864
ASUncc,0.8947368421052632,0.7391304347826086,0.8095238095238095,0.758830694275274,0.7594627594627594,0.8823529411764706,0.6521739130434783,0.75,0.6884833228445564,0.6882911392405063
ASUnrg,0.5,0.3333333333333333,0.4,0.3850931677018634,0.38756476683937824,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.65625,0.6579861111111112
AktAcc,0.42857142857142855,0.875,0.5753424657534246,0.3704615384615385,0.3307397260273972,0.4117647058823529,0.875,0.56,0.3435804701627485,0.29528455284552857
AktAch,0.7681159420289855,0.8833333333333333,0.8217054263565892,0.4929859719438878,0.49095607235142125,0.7910447761194029,0.8833333333333333,0.8346456692913385,0.5413633355393779,0.5411999556393479
AktAct,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.18947368421052635,0.18930041152263377,0.5,0.16666666666666666,0.25,0.2265625,0.22236842105263155
AktState,0.7777777777777778,0.7,0.7368421052631579,0.7089947089947091,0.7103793002058219,0.8,0.8,0.8,0.7775280898876404,0.7786516853932584
ClCntfcl,0.8235294117647058,1.0,0.9032258064516129,0.8854608561511762,0.885841220784238,0.8235294117647058,1.0,0.9032258064516129,0.8854608561511762,0.885841220784238
ClNegPol,0.8181818181818182,1.0,0.9,0.8888888888888888,0.8893258426966292,0.6923076923076923,1.0,0.8181818181818182,0.7962962962962963,0.796487603305785
DtDTAM,0.0,0.0,0.0,-0.01538461538461533,-0.015463917525773141,0.0,0.0,0.0,-0.01642710472279263,-0.020725388601036343
DtExp,0.6842105263157895,0.5909090909090909,0.6341463414634146,0.5392491467576792,0.5409352182693801,0.6190476190476191,0.5909090909090909,0.6046511627906976,0.49504950495049505,0.49752438109527386
DtRes,0.8857142857142857,0.484375,0.6262626262626263,0.3115955647434694,0.25630037751249857,0.90625,0.453125,0.6041666666666666,0.3043639053254439,0.23549836601307206
DtUniv,0.75,0.21428571428571427,0.3333333333333333,0.28862275449101793,0.27037037037037037,1.0,0.21428571428571427,0.35294117647058826,0.31894934333958724,0.2957426064348392
TLAspPfv,0.9577464788732394,0.8095238095238095,0.8774193548387097,0.44951712028094826,0.43840960240060023,0.96,0.8571428571428571,0.9056603773584906,0.5272206303724929,0.5234639574262215
TLMdIrr,0.7083333333333334,0.85,0.7727272727272727,0.7084805653710248,0.7092680047225501,0.7391304347826086,0.85,0.7906976744186046,0.7329937069223853,0.7339834958739685
TLTS,0.325,1.0,0.49056603773584906,0.364630377941526,0.3078724788549123,0.325,1.0,0.49056603773584906,0.364630377941526,0.3078724788549123
VcPass,0.8888888888888888,0.8421052631578947,0.8648648648648649,0.8338368580060422,0.8346483129091825,0.8888888888888888,0.8421052631578947,0.8648648648648649,0.8338368580060422,0.8346483129091825
