TokenID,ASTrns_KD,ASTrns_full_ver,ASTrns,ASUncc_KD,ASUncc_full_ver,ASUncc,ASUnrg_KD,ASUnrg_full_ver,ASUnrg,AktAcc_KD,AktAcc_full_ver,AktAcc,AktAch_KD,AktAch_full_ver,AktAch,AktAct_KD,AktAct_full_ver,AktAct,AktState_KD,AktState_full_ver,AktState,ClCntfcl_KD,ClCntfcl_full_ver,ClCntfcl,ClNegPol_KD,ClNegPol_full_ver,ClNegPol,DtExp_KD,DtExp_full_ver,DtExp,DtRes_KD,DtRes_full_ver,DtRes,DtUniv_KD,DtUniv_full_ver,DtUniv,TLAspPfv_KD,TLAspPfv_full_ver,TLAspPfv,TLMdIrr_KD,TLMdIrr_full_ver,TLMdIrr,TLTS_KD,TLTS_full_ver,TLTS,VcPass_KD,VcPass_full_ver,VcPass
40001018,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,1,1,Y
40001024,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y
40003002,0,0,Y,1,1,Y,0,0,Y,1,0,N,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40003017,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40004012,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,1,1,Y
40005027,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40005038,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40005043,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40006002,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y
40006005,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y
