Model,Claude,Claude,Claude,Claude,Claude
Metric,Precision,Recall,F1,Kappa,Alpha
Feature,,,,,
ASTrns,0.9098039215686274,0.9508196721311475,0.9298597194388778,0.7506825693346746,0.7507322336981656
ASUncc,0.9333333333333333,0.813953488372093,0.8695652173913043,0.8304047292107897,0.8304103107920712
ASUnrg,0.3333333333333333,0.29411764705882354,0.3125,0.27940343590711714,0.28030589123867067
AktAcc,0.4727272727272727,0.3132530120481928,0.37681159420289856,0.23000309629476734,0.22325617766656247
AktAch,0.7307692307692307,0.9144385026737968,0.8123515439429929,0.5319697461200936,0.5236616115475973
AktAct,0.7,0.19444444444444445,0.30434782608695654,0.2714866815378558,0.2560386473429953
AktSemel,0.0,0.0,0.0,0.0,0.0
AktState,0.75,0.27906976744186046,0.4067796610169492,0.3640362360580195,0.35259575603896964
ClCntfcl,0.7714285714285715,0.9642857142857143,0.8571428571428571,0.8430732124013869,0.8431061806656102
ClNegPol,0.84,0.9767441860465116,0.9032258064516129,0.8883486468127704,0.8884117868069347
DtDTAM,0.05970149253731343,0.8,0.1111111111111111,0.0866167640042772,0.009646302250803873
DtExp,0.6818181818181818,0.625,0.6521739130434783,0.4802471447294514,0.48050974512743627
DtRes,0.8768115942028986,0.7076023391812866,0.7831715210355987,0.6126909557365852,0.6097087378640776
DtUniv,0.7941176470588235,0.47368421052631576,0.5934065934065934,0.5365149272589437,0.5327210103329506
TLAspPfv,0.9581589958158996,0.7896551724137931,0.8657844990548205,0.45181674565560814,0.43629489603024574
TLMdIrr,0.78,0.8863636363636364,0.8297872340425532,0.8032461549365653,0.8034042553191489
TLTS,0.5104895104895105,0.9864864864864865,0.6728110599078341,0.5448970167174656,0.5246500304321363
VcPass,0.9,0.9230769230769231,0.9113924050632911,0.9000123492364055,0.9001543686322939
