Model,Claude,Claude,Claude,Claude,Claude,OpenAI,OpenAI,OpenAI,OpenAI,OpenAI
Metric,Precision,Recall,F1,Kappa,Alpha,Precision,Recall,F1,Kappa,Alpha
Feature,,,,,,,,,,
ASTrns,0.9098039215686274,0.9508196721311475,0.9298597194388778,0.7506825693346746,0.7507322336981656,0.9506726457399103,0.8688524590163934,0.9079229122055674,0.7196618130577737,0.7189012253676574
ASUncc,0.9333333333333333,0.813953488372093,0.8695652173913043,0.8304047292107897,0.8304103107920712,0.8152173913043478,0.872093023255814,0.8426966292134831,0.7885159548996561,0.7887379148157826
ASUnrg,0.3333333333333333,0.29411764705882354,0.3125,0.27940343590711714,0.28030589123867067,0.16666666666666666,0.23529411764705882,0.1951219512195122,0.14614868391618818,0.14581854853770582
AktAcc,0.4727272727272727,0.3132530120481928,0.37681159420289856,0.23000309629476734,0.22325617766656247,0.625,0.30120481927710846,0.4065040650406504,0.2971615659942842,0.279697578061595
AktAch,0.7307692307692307,0.9144385026737968,0.8123515439429929,0.5319697461200936,0.5236616115475973,0.7242990654205608,0.8288770053475936,0.773067331670823,0.4658016274466681,0.46326164111904544
AktAct,0.7,0.19444444444444445,0.30434782608695654,0.2714866815378558,0.2560386473429953,0.8333333333333334,0.2777777777777778,0.4166666666666667,0.3847517730496455,0.37422600619195046
AktSemel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017621145374449254
AktState,0.75,0.27906976744186046,0.4067796610169492,0.3640362360580195,0.35259575603896964,0.4838709677419355,0.6976744186046512,0.5714285714285714,0.4979583962961772,0.49575551782682514
ClCntfcl,0.7714285714285715,0.9642857142857143,0.8571428571428571,0.8430732124013869,0.8431061806656102,0.8709677419354839,0.9642857142857143,0.9152542372881356,0.9074024657095586,0.9075136794341385
ClNegPol,0.8571428571428571,0.9767441860465116,0.9130434782608695,0.899775508726193,0.8998550724637682,0.7407407407407407,0.9302325581395349,0.8247422680412371,0.7966913665345511,0.7965601201885717
DtDTAM,0.0,0.0,0.0,,,0.07547169811320754,0.8,0.13793103448275862,0.1146152275974689,0.060670136629798366
DtExp,0.6545454545454545,0.6923076923076923,0.6728971962616822,0.4530607449183409,0.4548286604361371,0.6339869281045751,0.8083333333333333,0.7106227106227107,0.5274516901966868,0.5236616115475973
DtRes,0.8768115942028986,0.7076023391812866,0.7831715210355987,0.6126909557365852,0.6097087378640776,0.8385093167701864,0.7894736842105263,0.8132530120481928,0.6422799374812942,0.642498169473474
DtUniv,0.7941176470588235,0.47368421052631576,0.5934065934065934,0.5365149272589437,0.5327210103329506,0.7419354838709677,0.40350877192982454,0.5227272727272727,0.4602622027997926,0.45420792079207917
TLAspPfv,0.9581589958158996,0.7896551724137931,0.8657844990548205,0.45181674565560814,0.43629489603024574,0.9551020408163265,0.8068965517241379,0.874766355140187,0.46609254793891375,0.4541703403279844
TLMdIrr,0.78,0.8863636363636364,0.8297872340425532,0.8032461549365653,0.8034042553191489,0.8372093023255814,0.8181818181818182,0.8275862068965517,0.8028782427570536,0.8031585525194569
TLTS,0.5104895104895105,0.9864864864864865,0.6728110599078341,0.5448970167174656,0.5246500304321363,0.6239316239316239,0.9864864864864865,0.7643979057591623,0.6810726905087723,0.6754030789087464
VcPass,0.9,0.9230769230769231,0.9113924050632911,0.9000123492364055,0.9001543686322939,0.8780487804878049,0.9230769230769231,0.9,0.8869798876313004,0.8871335504885993
