TokenID,Target,DtExp,DtRes,DtUniv,DtDTAM,TLTS,TLAspPfv,TLMdIrr,ClNegPol,ClIntgv,ClCntfcl,VcPass,ASTrns,ASUnrg,ASUncc,AktState,AktAct,AktAcc,AktAch,AktSemel
40001018,had been promised,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0
40006016,have received,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
40011012b,have attempted,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
40012018,have chosen,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
40018012,has gone wandering,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
40019028,have come,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
40022004,have prepared,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
40025027b,should have received,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
40027023,have done evil,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
41001015,has come,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
41004029,has come,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
41006052,had not understood,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
41010028a,have left,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
41014005a,might have been sold,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0
41015046,had been cut,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0
42001001a,have attempted,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
42001036,has conceived,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
42002030,have seen,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
42004035,had thrown (him) down,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
42007045,has not ceased kissing,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
42008056,had been done,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0
42010042,has chosen,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
42013007a,have been coming here,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
42015029a,have worked,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
42017019,has made (you) whole,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
42019030,has sat,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
42023008,had wanted,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
42024023,had seen (a vision),1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
43002010a,have drunk,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
43003032b,[have] heard,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
