TokenID,FullText,Target,run_id,provider,model_name,feature_name_x,annotation,confidence,explanation,feature_name_y
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,20260307T085404Z_803f1fbf,gemini,gemini-2.0-flash-001,DtRes,1,high,"The verb 'had been promised' describes a change of social/legal status (promise), and that status is currently held.",DtRes
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,20260307T085404Z_803f1fbf,gemini,gemini-2.0-flash-001,DtRes,0,medium,The verb 'commanded' describes a past interaction without a guaranteed persisting state; it does not necessarily entail that the command is currently in effect.,DtRes
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,20260307T085404Z_803f1fbf,gemini,gemini-2.0-flash-001,DtRes,1,high,The verb 'has come near' is a motion verb where the mover has moved to a destination and remains there at the reference time.,DtRes
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,20260307T085404Z_803f1fbf,gemini,gemini-2.0-flash-001,DtRes,1,high,"The verb describes a change of social/legal status (approve), and that status is currently held.",DtRes
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,20260307T085404Z_803f1fbf,gemini,gemini-2.0-flash-001,DtRes,1,high,"The verb 'arrested' describes a change of social/legal status, and that status is currently held.",DtRes
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,20260307T085404Z_803f1fbf,gemini,gemini-2.0-flash-001,DtRes,0,high,"The verb 'have heard' does not entail that the information is currently in effect, it merely reports a past interaction without a persisting state.",DtRes
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,20260307T085404Z_803f1fbf,gemini,gemini-2.0-flash-001,DtRes,0,high,"The verb 'have heard' is a communication verb, but the clause does not entail that the information is currently in effect, it merely reports a past interaction without a persisting state.",DtRes
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,20260307T085404Z_803f1fbf,gemini,gemini-2.0-flash-001,DtRes,0,high,"The verb 'have heard' is a communication verb, but the clause merely reports a past interaction without a persisting state, so it is not resultative.",DtRes
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,20260307T085404Z_803f1fbf,gemini,gemini-2.0-flash-001,DtRes,0,high,"The clause indicates that the hypocrites have received their reward in the past, but it does not entail that they are currently being paid or that any resulting state is currently in effect.",DtRes
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,20260307T085404Z_803f1fbf,gemini,gemini-2.0-flash-001,DtRes,0,high,"The clause indicates a past interaction without a current binding state, as the payment is completed and does not entail a resulting state that holds at the reference time.",DtRes
40006016,"» When you abstain from food , do not be like the hypocrites , with sad faces to be seen by men . They have received their reward .",have received,20260307T085404Z_803f1fbf,gemini,gemini-2.0-flash-001,DtRes,1,high,"The verb 'have received' describes a change of possession (reward), and that status is currently held.",DtRes
40007028,"When Jesus had finished these words , the crowds were astonished at what he taught .",had finished,20260307T085404Z_803f1fbf,gemini,gemini-2.0-flash-001,DtRes,0,medium,The clause does not indicate that the resulting state of finishing is currently in effect; it is part of a past event.,DtRes
40008010,"When Jesus heard it , he was amazed , and said to the crowd : » I tell you , I have not found such great faith in Israel .",have not found,20260307T085404Z_803f1fbf,gemini,gemini-2.0-flash-001,DtRes,0,high,The clause negates the occurrence of the event; no transition to a resulting state is entailed.,DtRes
40008029,"They screamed at him , saying : » What have we to do with you , Son of God ? Have you come to torment us before the time ? «",have you come,20260307T085404Z_803f1fbf,gemini,gemini-2.0-flash-001,DtRes,0,high,"The verb 'come' is a motion verb, but the context does not indicate that the mover has moved to a destination and remains there at the reference time; instead, it is a question about the reason for coming, not the resulting state of arrival.",DtRes
40009008,"But when the people saw it , they marveled , and glorified God who had given such authority to men .",had given,20260307T085404Z_803f1fbf,gemini,gemini-2.0-flash-001,DtRes,0,medium,"The verb 'had given' describes a past interaction without a clear indication that the authority is currently in effect, so it does not entail a resulting state that holds at the reference time.",DtRes
