TokenID,FullText,Target,run_id,provider,model_name,feature_name_x,annotation,confidence,explanation,feature_name_y
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,20260226T145743Z_60a55c14,gemini,gemini-2.0-flash-001,DtExp,0,high,"The gram 'had been promised' introduces a state of affairs relevant for subsequent discourse (Mary's pregnancy), thus it does not focus on the experience of being promised as a life history entry.",DtExp
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,20260226T145743Z_60a55c14,gemini,gemini-2.0-flash-001,DtExp,0,high,"The event 'had commanded' sets the scene for the next action, 'He took Mary to be his wife', and the resulting state of the command is relevant for subsequent discourse, thus it is classified as non-experiential.",DtExp
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,20260226T145743Z_60a55c14,gemini,gemini-2.0-flash-001,DtExp,0,high,"The phrase 'has come near' introduces a current state of affairs, indicating that the kingdom of heaven is now close, rather than focusing on the experience of nearing at least once in the subject's history.",DtExp
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,20260226T145743Z_60a55c14,gemini,gemini-2.0-flash-001,DtExp,1,high,"The verb 'have approved' focuses on the occurrence of an experience at least once, rather than on a resulting state or transfer, fitting the criteria for DtExp.",DtExp
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,20260226T145743Z_60a55c14,gemini,gemini-2.0-flash-001,DtExp,0,high,"The event 'John had been arrested' sets the scene for the next plot point ('Jesus withdrew'), and the resulting state of the event is relevant for subsequent discourse, so it is classified as non-experiential (0) according to the edge case.",DtExp
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,20260226T145743Z_60a55c14,gemini,gemini-2.0-flash-001,DtExp,1,high,"The verb 'have heard' denotes perception or communication where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",DtExp
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,20260226T145743Z_60a55c14,gemini,gemini-2.0-flash-001,DtExp,1,high,"The verb 'heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer, thus instantiating DtExp.",DtExp
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,20260226T145743Z_60a55c14,gemini,gemini-2.0-flash-001,DtExp,1,high,"The verb 'heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",DtExp
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,20260226T145743Z_60a55c14,gemini,gemini-2.0-flash-001,DtExp,0,high,"The gram 'have been paid' introduces a result state where the hypocrites are already rewarded, not focusing on the experience of being paid as a life history entry.",DtExp
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,20260226T145743Z_60a55c14,gemini,gemini-2.0-flash-001,DtExp,0,high,"The gram 'have been paid' introduces a result state where the hypocrites are fully compensated, rather than focusing on the experience of being paid as a life history entry.",DtExp
40006016,"» When you abstain from food , do not be like the hypocrites , with sad faces to be seen by men . They have received their reward .",have received,20260226T145743Z_60a55c14,gemini,gemini-2.0-flash-001,DtExp,1,high,"The gram 'have received' implies that the hypocrites have undergone the experience of receiving their reward at least once, focusing on the occurrence of the experience rather than a resulting state.",DtExp
40007028,"When Jesus had finished these words , the crowds were astonished at what he taught .",had finished,20260226T145743Z_60a55c14,gemini,gemini-2.0-flash-001,DtExp,0,medium,"The sentence describes an event that sets the scene for the next event, and the resulting state of finishing is relevant for subsequent discourse, so it is classified as non-experiential.",DtExp
40008010,"When Jesus heard it , he was amazed , and said to the crowd : » I tell you , I have not found such great faith in Israel .",have not found,20260226T145743Z_60a55c14,gemini,gemini-2.0-flash-001,DtExp,1,high,"The gram 'have not found' is a negative Perfect, which functions as a claim about the absence of the event in the subject's history.",DtExp
40008029,"They screamed at him , saying : » What have we to do with you , Son of God ? Have you come to torment us before the time ? «",have you come,20260226T145743Z_60a55c14,gemini,gemini-2.0-flash-001,DtExp,1,high,"The verb 'come' denotes a bounded activity or process where the focus is on having undergone the experience, not on a persisting result, thus instantiating the DtExp feature.",DtExp
40009008,"But when the people saw it , they marveled , and glorified God who had given such authority to men .",had given,20260226T145743Z_60a55c14,gemini,gemini-2.0-flash-001,DtExp,0,medium,"The verb 'had given' does not contain explicit frequency adverbs, is not a negative perfect, and does not denote perception or communication; it also does not focus on having undergone an experience, but rather on the resulting state of having authority.",DtExp
40009016,» Why patch an old garment with cloth that has not been shrunk ? The patch shrinks and pulls away from the old cloth leaving a big hole .,has not been shrunk,20260226T145743Z_60a55c14,gemini,gemini-2.0-flash-001,DtExp,1,high,"The gram 'has not been shrunk' is a negative Perfect, which functions as a claim about the absence of the event in the subject's history.",DtExp
40009022,"Jesus turned to see her and said : » Daughter , take courage ; your faith has made you well . « The woman was healed at that time .",has made you well,20260226T145743Z_60a55c14,gemini,gemini-2.0-flash-001,DtExp,0,high,"The phrase 'has made you well' introduces a result state of being well, rather than focusing on the experience of becoming well as a life history entry.",DtExp
40009033,"When the demon was cast out , the dumb man spoke . The crowd marveled , saying : » We have never seen anything like this in Israel ! «",have never seen,20260226T145743Z_60a55c14,gemini,gemini-2.0-flash-001,DtExp,1,high,"The gram 'have never seen' is a negative Perfect, which functions as a claim about the absence of the event in the subject's history, and it also contains the frequency adverb 'never'.",DtExp
40010023,"» When they persecute you in this city , flee to the next . I tell you ; before you have gone through all the cities of Israel the Son of man will come .",have gone through,20260226T145743Z_60a55c14,gemini,gemini-2.0-flash-001,DtExp,0,high,"The gram does not contain explicit frequency adverbs, is not a negative perfect, and the verb does not denote perception/communication or a bounded activity focusing on experience; instead, it describes a process that will be completed before a future event, not focusing on the subject's life history.",DtExp
40011012a,"» From the days of John the Baptist until now , the kingdom of heaven has been man’s goal , and men of violence have attempted to take it by force .",has been,20260226T145743Z_60a55c14,gemini,gemini-2.0-flash-001,DtExp,0,high,"The sentence describes a state of affairs ('the kingdom of heaven has been man's goal'), not an event in the subject's life history.",DtExp
