TokenID,FullText,Target,ASTrns,ASTrns_conf,ASTrns_explanation,ASUncc,ASUncc_conf,ASUncc_explanation,ASUnrg,ASUnrg_conf,ASUnrg_explanation,AktAcc,AktAcc_conf,AktAcc_explanation,AktAch,AktAch_conf,AktAch_explanation,AktAct,AktAct_conf,AktAct_explanation,AktSemel,AktSemel_conf,AktSemel_explanation,AktState,AktState_conf,AktState_explanation,ClCntfcl,ClCntfcl_conf,ClCntfcl_explanation,ClNegPol,ClNegPol_conf,ClNegPol_explanation,DtDTAM,DtDTAM_conf,DtDTAM_explanation,DtExp,DtExp_conf,DtExp_explanation,DtRes,DtRes_conf,DtRes_explanation,DtUniv,DtUniv_conf,DtUniv_explanation,TLAspPfv,TLAspPfv_conf,TLAspPfv_explanation,TLMdIrr,TLMdIrr_conf,TLMdIrr_explanation,TLTS,TLTS_conf,TLTS_explanation,VcPass,VcPass_conf,VcPass_explanation,DtExp/DtRes,DtExp/DtUniv,DtRes/DtUniv,DtExp/DtRes/DtUniv,DtHP,DtHP_excused,ASTrns/ASUncc,ASTrns/ASUnrg,ASUncc/ASUnrg,ASTrns/ASUncc/ASUnrg,ASHP,AktState/AktAct,AktAcc/AktAch,AktMultiple,AktHP,TLAspPfv/DtUniv,TLAspPfv/AktState,TLAspPfv/AktAct
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,1,high,"The passive verb 'had been promised' introduces an overt internal argument ('Mary' as the affected patient) and encodes a two-participant event directed toward and affecting that argument, matching the positive example 'The world has been loved.'",0,high,"The clause is morphologically passive ('had been promised') and the lexical verb 'promise' licenses an external argument (the agent performing the promising, suppressed in passive voice), triggering the set_to_0_if condition.",0,high,"The verb 'promise' licenses an internal argument (Mary as the theme/patient of the promise), and the sole argument (Mary) functions as an internal argument rather than an external agent, violating the core requirement for ASUnrg.",0,high,"The verb 'had been promised' denotes a punctual speech-act or commitment event (a betrothal/pledge) without a durative process phase leading to a defined terminal result state, making it an achievement rather than an accomplishment.",0,high,"The past perfect passive 'had been promised' describes a state resulting from a prior durative social/contractual process rather than a punctual transition itself, and it functions as a completed durative process that can be naturally preceded by 'finish' (she finished being promised).",0,high,"The verb 'had been promised' denotes a bounded perceptual/cognitive event marking the onset of a commitment or agreement, which is a single completed occurrence with a defined result state (Mary being in a state of betrothal), not a dynamic durative activity.",0,high,"The event 'had been promised' entails a resulting state (Mary being in a state of betrothal/promise to Joseph), which violates the semelfactive requirement of no resulting change of state.",0,high,"The gram 'had been promised' is morphologically marked as progressive aspect (past perfect progressive), which entails dynamic unfolding and is explicitly incompatible with stative readings per the set_to_0_if criteria.",,,,0.0,high,"The target gram 'had been promised' expresses a realized state (Mary was promised to Joseph); no negator negates this eventuality, so ClNegPol is not instantiated.",0,high,"The clause contains no overt temporal adverbial (lexical, phrasal, or clausal) that anchors the event to a specific past time interval; 'in marriage' is a prepositional phrase indicating manner/purpose, not temporal location.",0,high,"The verb 'had been promised' entails a change of social/legal status (betrothal) that remains in effect at the reference time, triggering the set_to_0_if condition.",0,high,"The stative copula construction 'had been promised' describes Mary's state of being betrothed rather than encoding a transition into that state, and the clause reports a past arrangement without entailing a persisting binding effect at the reference time.",0,high,"The verb 'had been promised' describes a transition into a betrothal state (the focus is on the act of promising/arranging the marriage) rather than a continuous situation holding over time, matching the negative example pattern of state-transition verbs.",1,high,"The passive form 'had been promised' presents a bounded transition (the act of promising/betrothal) as a completed whole event, matching the positive example 'Many have been made sinners' and satisfying the intuition criterion.",0,high,"The gram 'had been promised' asserts a realized fact in the actual world (Mary's betrothal to Joseph as a past event), with no modal, conditional, future, or wish context applying.",1.0,high,"The gram 'had been promised' is a past perfect construction (had + past participle), which encodes past tense marking rather than the canonical present perfect form, thus instantiating TLTS.",1,high,"The target 'had been promised' exhibits overt passive morphology (auxiliary 'had been' + past participle 'promised'), the grammatical subject 'Mary' is the semantic patient (the one promised), and the agent is either omitted or expressed implicitly, satisfying all conditions for VcPass.",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,1,high,"The verb 'had commanded' introduces an overt internal argument ('him') as the recipient of the command, satisfying the two-participant transitive event structure with an external argument (angel) directing an action toward an internal argument (him).",0,high,"The verb 'commanded' licenses an external argument (the angel as agent/initiator) and introduces an overt direct object ('him to do'), violating both set_to_0_if conditions.",0,high,"The verb 'commanded' licenses an internal argument (the infinitival complement 'him to do'), violating the requirement that no internal argument be licensed.",0,high,"'Commanded' denotes a punctual speech act or directive without a durative process phase leading to a defined result state, making it an achievement rather than an accomplishment.",1,high,"The event 'had commanded' denotes a punctual transition into a directive state (the angel issuing a command as a discrete speech act), which is a boundary transition regardless of any preparatory context, fitting the achievement criterion.",0,high,"The verb 'had commanded' denotes a bounded perceptual/cognitive event marking the onset of a directive (the angel's command), which is a single completed occurrence with a defined result state, triggering the set_to_0_if condition.",0,high,The event 'had commanded' entails a resulting state (a command that Joseph must obey) and is not construed as a single punctual occurrence but rather as a prior action with lasting consequences.,0,high,"The verb 'had commanded' denotes a change-of-state event (issuing a command) involving dynamic progression and an inherent endpoint, which violates the stative requirement of AktState.",,,,0.0,high,"The negator 'did' in the sentence negates the matrix verb 'did what', not the target gram 'had commanded'; the negation does not apply to the eventuality of commanding itself, which is presented as having occurred.",1,high,"The clause contains the clausal adverbial 'When Joseph woke up', which explicitly anchors the event 'had commanded' to a specific past time interval (the moment when Joseph woke up).",0,high,"The verb 'had commanded' entails a change in the subject's obligations/directives that remains in effect at the reference time (Joseph acts on the command), making it non-experiential per the set_to_0_if rule regarding resulting states.",1,high,The verb 'had commanded' encodes a transition from a state where no command existed to a state where a binding directive is in effect; Joseph's subsequent action ('he did what...he had commanded him to do') confirms the command persists as an operative directive at the reference time.,0,high,"The verb 'had commanded' describes a discrete bounded event (the angel's command) that Joseph then acted upon, not a continuous situation holding over time.",1,high,"The past perfect 'had commanded' presents a completed transition (the angel's act of commanding) as a bounded whole event prior to Joseph's waking, meeting the intuition criterion for TLAspPfv.",0,high,"The past perfect 'had commanded' asserts a realized fact in the actual world (the angel's prior command), not a hypothetical, conditional, or projected situation; it is embedded in a narrative of actual events.",1.0,high,"The gram 'had commanded' is a past perfect construction (had + past participle), which encodes a tense specification other than the simple present perfect, thus instantiating TLTS.",0,high,"The grammatical subject 'he' corresponds to the semantic agent (the one doing the commanding), and the grammatical object 'him' corresponds to the semantic patient; this is active voice, not passive voice, as there is no passive morphology (no 'been' + past participle sequence).",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,0,high,"The verb 'has come near' is intransitive and does not introduce an overt internal argument (direct or indirect object); the subject 'the kingdom of heaven' is the entity undergoing the change of state, not an external agent directing an action toward an affected patient.",1,high,"The verb 'come near' encodes a one-participant event (the kingdom of heaven) functioning as an internal argument with no external agent licensed, matching the intuition for ASUncc.",0,high,"The verb 'come near' denotes a change-of-location/change-of-state event where the sole argument ('kingdom of heaven') functions as an internal argument (theme) undergoing the change, not as an external argument (agent), matching the second set_to_0_if condition.",0,high,"'Has come near' denotes a punctual boundary transition (arrival at proximity) rather than a durative process with an inherent culmination point, analogous to 'arrive'.",1,high,"The event 'has come near' denotes a punctual transition into a new state (the kingdom of heaven moving from distant to proximate), representing a definable threshold crossing rather than an unfolding process.",0,high,"The situation entails a specific, inherent endpoint (the kingdom reaching proximity) and denotes a bounded perceptual/cognitive event marking the onset of awareness, which are both set_to_0_if conditions.",0,high,"The event 'has come near' entails a transition into a resulting state (the kingdom moving from distant to proximate), which violates the set_to_0_if condition that excludes events with resulting state changes.",0,high,"The verb 'has come near' denotes a change-of-state and bounded dynamic event (the kingdom transitioning from distant to near), which involves dynamic progression and an inherent endpoint, violating the stative requirement.",,,,0.0,high,"The target gram 'has come near' expresses a positive eventuality (the kingdom of heaven approaching); no negator negates this gram, so ClNegPol is not instantiated.",0,high,"The clause contains no overt temporal adverbial anchoring the event to a specific past time interval; 'near' is a spatial/proximity adjective, not a temporal anchor.",0,high,"The verb 'come near' entails a change of location/state (the kingdom transitioning to proximity), and that resulting state holds at the reference time, triggering the set_to_0_if condition.",1,high,"The verb 'has come near' encodes a change of location/state (the kingdom of heaven transitioning from distant to proximate) with the resulting state (nearness) persisting at the reference time, matching the resultative pattern.",0,high,"The verb 'has come near' describes a transition into a new state (the kingdom moving from distant to near) rather than a situation holding continuously over time, matching the set_to_0_if condition on state transitions.",1,high,"The gram 'has come near' presents a transition event (the kingdom of heaven approaching) as a bounded, completed whole without profiling internal temporal development, matching the perfective aspect feature.",0,high,"The phrase 'has come near' asserts the kingdom of heaven as a realized fact in the actual world within the speaker's proclamation, not as hypothetical, conditional, future, or desired.",0.0,high,"The gram 'has come near' is formed with present-tense 'has' followed by past participle 'come' with no modal, future, or progressive marking, matching the set_to_0_if condition for simple present perfect.",0,high,The construction 'has come near' lacks passive morphology (no 'been' + past participle); it is active voice with the grammatical subject 'kingdom of heaven' as the semantic agent performing the action of coming near.,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,1,high,"The verb 'have approved' introduces an overt internal argument ('whom', referring to 'my Son'), satisfying the requirement for a two-participant transitive event with an affected patient.",0,high,"The verb 'have approved' licenses an external argument (the implicit first-person subject 'I') as the agent/initiator performing the approval action, and introduces an overt direct object ('whom'), violating both set_to_0_if conditions.",0,high,"The verb 'approved' licenses an internal argument (the relative pronoun 'whom' functioning as the direct object), violating the requirement for zero internal arguments.",0,high,"'Approve' denotes a punctual mental/evaluative judgment or decision without a durative process phase leading to a defined terminal result state, making it an achievement rather than an accomplishment.",1,high,"The event 'have approved' denotes a punctual transition into a new result state (the state of being approved), representing a definable threshold moment rather than an unfolding process, consistent with the achievement feature AktAch.",0,high,"The verb 'have approved' denotes a bounded perceptual/cognitive event marking the onset of approval as a completed occurrence, and entails a defined result state (the Son being approved), triggering the set_to_0_if conditions.",0,high,"The event 'have approved' entails a resulting state of approval (a change from non-approval to approval) and does not constitute a single punctual occurrence, thus failing the semelfactive criteria.",0,high,"The verb 'have approved' denotes a bounded perceptual/cognitive event marking the completion of an approval action, which involves dynamic change and eventive progression rather than a static, unchanging state.",,,,0.0,high,The target gram 'have approved' is not negated; it expresses a positive realized state with no negator present in the sentence.,0,high,"The target 'have approved' contains no overt temporal adverbial anchoring it to a specific past time interval; 'Then' at the clause start is a logical connector introducing reported speech, not a temporal anchor for the embedded clause.",0,high,"The verb 'have approved' entails a change in social/legal status (the Son becoming approved by the Father), and this resulting state of approval holds at the reference time as part of the Father's current relationship to the Son.",1,high,"The verb 'have approved' encodes a change of state (from not-approved to approved) with the resulting state of approval persisting at the reference time, indicating a completed transition with current effect.",0,high,"The verb 'have approved' describes a discrete bounded event (an act of approval) rather than a continuous state or activity holding over time, matching the negative example pattern of punctual results.",1,high,"The gram 'have approved' presents approval as a completed bounded transition (a discrete act of approving), construed as a whole without profiling internal temporal development, matching the perfective aspect feature.",0,high,"The clause 'whom I have approved' is asserted as a realized fact within direct speech from a divine voice, not projected as hypothetical, conditional, future, or desired.",0.0,high,"The gram 'have approved' is formed with present-tense 'have' followed by the past participle 'approved' with no additional modal, future, or progressive marking, matching the set_to_0_if condition for simple present perfect.",0,high,The construction 'have approved' is active voice with the grammatical subject 'I' as the semantic agent (doer) and the object 'whom' as the semantic patient; there is no passive morphology (no 'been' + past participle sequence).,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,1,high,"The passive construction 'had been arrested' introduces an overt internal argument (John as the affected patient), satisfying the intuition of a two-participant event directed toward and affecting an internal argument, consistent with the positive example 'The world has been loved.'",0,high,"The clause is morphologically passive ('had been arrested'), and the lexical verb 'arrest' licenses an external argument (an agent who performed the arrest), triggering the set_to_0_if condition.",0,high,"The verb 'arrest' licenses an internal argument (John as the theme/patient), and the sole argument functions as an internal argument rather than an external agent, triggering the set_to_0_if condition for change-of-state events where the argument is a patient.",0,high,'Arrested' denotes a punctual boundary transition (the moment of being taken into custody) without a durative process phase inherent to the event itself.,1,high,"The event 'had been arrested' denotes a punctual transition into a new result state (from free to detained), representing a definable threshold crossing rather than an unfolding process, consistent with achievement semantics.",0,high,"The situation 'had been arrested' entails a specific, inherent endpoint (the completion of the arrest action) and a defined result state (being in arrested status), which violates the core requirement for AktAct of an open-ended, durative situation without inherent completion.",0,high,"The event 'had been arrested' entails a transition into a new resulting state (the state of being arrested/detained), which violates the semelfactive requirement of no resulting change of state.",0,high,"The gram 'had been arrested' is morphologically marked as progressive aspect (past perfect progressive) and denotes a bounded change-of-state event (arrest), both of which entail dynamic change incompatible with AktState.",,,,0.0,high,"The target gram 'had been arrested' is not negated; the sentence states that John was arrested as a positive fact, and the negation does not apply to this eventuality.",0,high,"The clause 'Jesus heard that John had been arrested' contains no overt temporal adverbial (lexical, phrasal, or clausal) that explicitly anchors the event to a specific past time interval.",0,high,"The verb 'had been arrested' entails a change of state (John entering custody) that remains in effect at the reference time, and this resulting state is narratively relevant for triggering Jesus's subsequent withdrawal, satisfying the set_to_0_if condition and the edge_cases narrative progression rule.",1,high,"The clause 'had been arrested' encodes a transition from a free state to an arrested state, with the resulting state (John being in custody) persisting at the reference time when Jesus heard the news and withdrew.",0,high,"The clause describes a discrete bounded event (John's arrest) rather than a continuous situation holding over time, triggering the set_to_0_if condition for 'one or more discrete bounded events.'",1,high,"The gram 'had been arrested' presents a passive bounded transition (arrest as a completed event) as a single whole without profiling internal temporal development, matching the positive example 'Many have been made sinners.'",0,high,"The clause 'John had been arrested' asserts a realized fact in the actual world as the reason for Jesus's subsequent action, with no modal, conditional, future, or wish context applying.",1.0,high,"The gram 'had been arrested' is a past perfect progressive construction with the finite operator 'had' (past tense) rather than present-tense 'have', which constitutes tense shifting and instantiates TLTS.",1,high,"The target 'had been arrested' exhibits overt passive morphology (auxiliary 'had been' + past participle 'arrested'), the grammatical subject 'John' is the semantic patient (undergoer of arrest), and the agent is omitted, satisfying all conditions for VcPass.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,1,high,"The verb 'have heard' introduces an overt internal argument ('it'), which is a direct object representing the affected patient of the hearing event, satisfying the core requirement for ASTrns.",0,high,"The verb 'heard' licenses an external argument (the subject 'You' as the experiencer/agent of the hearing event) and takes an overt direct object ('it'), violating both the external argument and overt object conditions.",0,high,"The verb 'heard' licenses an internal argument (the clause 'it was said...'), violating the requirement that no internal argument be licensed.",0,high,"'Have heard' denotes a punctual perceptual/cognitive transition into awareness without a durative process phase leading to a defined endpoint, classifying it as an achievement rather than an accomplishment.",1,high,"The verb 'have heard' denotes a punctual perceptual transition into awareness of a statement, matching the positive example 'They have heard the news' and satisfying the intuition of a boundary-point transition rather than an unfolding process.",0,high,"The verb 'heard' denotes a bounded perceptual event marking the onset of awareness of a specific utterance ('it was said'), which is treated as a single completed occurrence rather than a dynamic durative situation.",0,high,"The perfect aspect 'have heard' construes the event as a state resulting from a prior hearing experience, entailing a resulting change of state (transition to a state of having knowledge), which violates the semelfactive requirement of no consequent result condition.",0,high,"The gram 'have heard' denotes a bounded perceptual event marking the onset of awareness (hearing/receiving information), which encodes eventive change rather than a static condition, triggering the set_to_0_if rule for perceptual events.",,,,0.0,high,"The negation 'not' applies to 'commit adultery' (the embedded eventuality), not to the target gram 'have heard', which is affirmed as occurring.",0,high,"The clause 'You have heard it was said' contains no overt temporal adverbial (lexical, phrasal, or clausal) that anchors the event to a specific past time interval.",1,high,"The gram 'have heard' presents the event of hearing as part of the subject's life history without asserting that a resulting state currently holds; it answers whether the event occurred, similar to the positive example 'We have seen the Eiffel Tower.'",0,high,"The verb 'have heard' reports a past perceptual event without entailing a resulting state that persists at the reference time; hearing something does not create an enduring change of state comparable to breaking or receiving, matching the pattern of 'They have visited Paris.'",0,high,"The clause describes a discrete bounded event of hearing/receiving a saying at a past point, not a continuous situation holding over time, and the focus is on the reception of the utterance rather than duration.",1,high,"The gram 'have heard' presents the auditory event as a bounded, completed whole without profiling its internal temporal development, matching the perfective aspect feature.",0,high,"The gram 'have heard' asserts a realized fact in the actual world—the addressee has actually heard the saying—and is not embedded in modal, conditional, future, or wish contexts.",0.0,high,"The gram 'have heard' is formed with present-tense 'have' followed by the past participle 'heard' with no additional modal, future, or progressive marking, matching the set_to_0_if condition for simple present perfect.",0,high,The construction 'have heard' is active voice with the grammatical subject 'You' as the semantic agent (doer) and 'it' as the object; there is no passive morphology (no 'been' + past participle sequence) required for VcPass.,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,1,high,"The verb 'have heard' introduces an overt internal argument ('it said'), satisfying the two-participant transitive event structure with an external argument (you) and an affected internal argument.",0,high,"The verb 'heard' licenses an external argument (the subject 'you' as the agent/experiencer who performs the hearing), violating the core requirement that the sole argument must be internal; additionally, the clause contains an overt direct object 'it' introduced by the target verb.",0,high,"The verb 'heard' licenses an internal argument ('it said'), violating the requirement for zero internal arguments.",0,high,"'Have heard' denotes a punctual perceptual/cognitive transition into awareness without a durative process phase leading to a defined endpoint, classifying it as an achievement.",1,high,"The verb 'have heard' denotes a punctual perceptual transition into awareness (matching the positive example 'They have heard the news'), representing an instantaneous crossing of the threshold from not-knowing to knowing, rather than an unfolding durative process.",0,high,"The verb 'heard' denotes a bounded perceptual event marking the onset of awareness (hearing the saying), which is treated as a single completed occurrence rather than a dynamic durative situation, triggering the set_to_0_if condition for bounded perceptual events.",0,high,"The present perfect 'have heard' construes the event as a state resulting from a past action (a change from not-having-heard to having-heard), entailing a resulting state rather than a punctual occurrence without consequence.",0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset of awareness (hearing/perceiving something), which encodes eventive change rather than a static condition, triggering the set_to_0_if rule for perceptual events.",,,,0.0,high,"The target gram 'have heard' is not negated; the sentence is positive and describes an actual event of hearing, with no negator applying to this verb.",0,high,"The clause 'You have heard it said' contains no overt temporal adverbial (lexical, phrasal, or clausal) that anchors the event to a specific past time interval.",1,high,The gram 'have heard' presents the event as part of the subject's life history (entry into experiential record) without asserting that a resulting state of hearing currently holds; it answers whether the addressee has encountered this saying at least once.,0,high,"The verb 'have heard' reports a past perceptual event without entailing a resulting state that persists at the reference time; hearing something does not create an enduring change of state comparable to breaking, receiving, or arriving.",0,high,"The clause describes a discrete bounded event (hearing a saying) rather than a continuous situation holding over time, and the focus is on the punctual act of perception rather than duration.",1,high,"The gram 'have heard' presents the auditory event as a completed, bounded whole without profiling its internal temporal development, matching the perfective aspect feature.",0,high,"The gram 'have heard' asserts a realized state of affairs in the actual world (you have experienced hearing this saying), with no modal, conditional, future, or wish context that would project it as non-actual.",0.0,high,"The gram 'have heard' is formed with present-tense 'have' followed by past participle 'heard' with no modal, future, or progressive marking, matching the set_to_0_if condition for simple present perfect.",0,high,"The construction 'have heard' is active voice with the grammatical subject 'You' as the semantic agent (doer) and 'it' as the object; passive voice requires the auxiliary sequence 'have' + 'been' + past participle, which is absent here.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,1,high,"The verb 'have heard' introduces an overt internal argument ('it'), which is a direct object representing the affected patient of the hearing event, satisfying the core requirement for ASTrns.",0,high,"The verb 'heard' licenses an external argument (the subject 'you' as the experiencer/agent of the hearing event) and takes an overt direct object ('it'), violating both the external argument and overt object conditions.",0,high,"The verb 'heard' licenses an internal argument (the direct object 'it'), which violates the first set_to_0_if condition requiring no internal argument.",0,high,"'Have heard' denotes a punctual or near-instantaneous perceptual/cognitive transition into awareness without a durative process phase leading to a defined endpoint, classifying it as an achievement rather than an accomplishment.",1,high,"The verb 'have heard' denotes a punctual perceptual transition into awareness at a specific moment, matching the positive example 'They have heard the news' and satisfying the intuition of a boundary-point transition rather than an unfolding process.",0,high,"The verb 'heard' denotes a bounded perceptual event marking the onset of awareness of a specific utterance, which is treated as a single completed occurrence rather than a dynamic durative situation.",0,high,"The present perfect 'have heard' construes a state resulting from a prior event (the hearing), not a single punctual occurrence without change of state, and the context implies a durative or repeated experience rather than a single bounded instantaneous event.",0,high,"The gram 'have heard' denotes a bounded perceptual event marking the onset of awareness (hearing/perceiving something), which is explicitly listed in set_to_0_if as incompatible with AktState.",,,,0.0,high,"The target gram 'have heard' is not negated; the sentence is positive and the eventuality of hearing is presented as realized, not absent.",0,high,"The clause 'You have heard it said' contains no overt temporal adverbial (lexical, phrasal, or clausal) that anchors the event to a specific past time interval.",1,high,The gram 'have heard' presents the event as part of the subject's life history (entry into experiential record) without asserting that a resulting state currently holds; hearing something does not entail a persistent change of state or location that remains at reference time.,0,high,"The verb 'have heard' reports a past perceptual event without entailing a resulting state that persists at the reference time; it is a bare perception event indicating prior exposure to information, not a transition to a state currently in effect.",0,high,"The clause describes a discrete bounded event (hearing a saying) rather than a continuous situation holding over time, matching the set_to_0_if condition for 'one or more discrete bounded events.'",1,high,"The gram 'have heard' presents the auditory event as a bounded, completed whole without profiling its internal temporal development, matching the perfective aspect feature.",0,high,"The phrase 'You have heard it said' asserts a realized fact in the actual world—that the addressee has experienced hearing this statement—with no modal, conditional, future, or wish context applying.",0.0,high,"The gram 'have heard' is formed with present-tense 'have' followed by the past participle 'heard' with no additional modal, future, or progressive marking, matching the set_to_0_if condition for simple present perfect.",0,high,The construction 'have heard' is active voice with the grammatical subject 'You' as the semantic agent (doer) and 'it' as the grammatical object/semantic patient; there is no passive morphology (no 'been' + past participle sequence).,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,1,high,"The passive construction 'have been paid' introduces an overt internal argument (the implied subject 'they' as the affected patient), and the passive voice preserves the two-participant transitive structure with an affected internal argument, meeting the ASTrns criteria.",0,high,"The clause is morphologically passive ('have been paid') and the lexical verb 'pay' licenses an external argument (the agent performing the payment, suppressed in passive voice), triggering the set_to_0_if condition.",0,high,"The verb 'paid' licenses an internal argument (the implicit object 'reward/compensation'), and the sole argument 'they' functions as a theme/patient undergoing a change-of-state rather than as an external agent, triggering the set_to_0_if condition.",0,high,"The verb 'have been paid' denotes a punctual boundary transition (the act of payment) without a durative process phase leading to completion, classifying it as an achievement rather than an accomplishment.",1,high,"The event 'have been paid in full' denotes a punctual transition into a new result state (receiving payment/reward), construed as a completed boundary point rather than an unfolding process.",0,high,"The situation entails a specific, inherent endpoint (receiving full payment as a defined result state) and lacks dynamic durative unfolding; it denotes a completed bounded event with a clear result state.",0,high,"The event 'have been paid in full' entails a resulting change of state (transition from unpaid to paid condition), which violates the set_to_0_if condition and disqualifies it as semelfactive.",0,high,"The gram 'have been paid' is morphologically marked with progressive aspect ('have been'), which entails dynamic unfolding and is incompatible with stative readings per the set_to_0_if criteria.",,,,0.0,high,The target gram 'have been paid' is in a positive declarative statement ('they have already been paid in full') with no negator directly negating this eventuality; the negation in the sentence ('Do not loudly announce') applies to a different verb and does not negate the target gram.,0,high,"The clause 'they have already been paid in full' contains 'already', which is a vague temporal adverbial that does not anchor the event to a specific past time interval, triggering the set_to_0_if condition for vague adverbials.",0,high,"The verb 'have been paid' entails a change of state (receiving payment/reward) that holds at the reference time, triggering the set_to_0_if condition that vetoes experiential reading.",1,high,"The clause 'they have already been paid in full' entails a change of state (from unpaid to paid) with the resulting state (being paid/having received payment) persisting at the reference time, satisfying the DtRes feature.",0,high,"The clause describes a completed transition into a new state (receiving payment as a result) rather than a situation holding continuously over time, and the adverb 'already' emphasizes the punctual completion of this bounded event.",1,high,"The gram 'have been paid' presents a bounded transition (the completion of payment) as a whole without profiling internal temporal development, matching the perfective aspect feature TLAspPfv.",0,high,"The phrase 'they have already been paid in full' asserts a realized state of affairs in the actual world as a completed fact, with no modal, conditional, future, or wish context applying.",0.0,high,"The gram 'have been paid' is formed with present-tense 'have' followed by a past participle ('been paid'), with no additional modal, future, or progressive marking beyond the passive voice, matching the set_to_0_if condition for simple present perfect.",1,high,"The target 'have been paid' instantiates VcPass: it contains the passive auxiliary sequence 'have' + 'been' + past participle 'paid', the grammatical subject 'they' is the semantic patient (undergoer of payment), and the agent is omitted, satisfying all passive voice criteria.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,1,high,"The passive construction 'have been paid' introduces an overt internal argument (the implicit subject 'they' as the affected patient), and passive voice preserves the transitive structure of the underlying active verb 'pay,' which requires an internal argument.",0,high,"The clause is morphologically passive ('have been paid'), and the lexical verb 'pay' licenses an external argument (the hypocrites as implicit agent), triggering the set_to_0_if condition.",0,high,"The verb 'paid' licenses an internal argument (the implicit object 'them' as the theme/patient receiving payment), and the sole overt argument 'they' functions as the internal argument in this passive construction, violating the requirement for an external argument sole participant.",0,high,"The verb 'have been paid' denotes a punctual boundary transition (the act of payment) without an inherent durative process phase, analogous to the negative example 'He has paid the server.'",1,high,"The event 'have been paid in full' denotes a punctual transition into a result state (receiving complete payment), representing a definable threshold crossing rather than an unfolding process.",0,high,"The situation entails a specific, defined result state ('paid in full') with an inherent endpoint, and the verb denotes a bounded perceptual/cognitive event marking completion of a transaction rather than a dynamic durative activity.",0,high,"The event 'have been paid in full' entails a resulting change of state (transition from unpaid to paid status), which violates the set_to_0_if condition and disqualifies it as semelfactive.",0,high,"The gram 'have been paid' is morphologically marked as progressive perfect aspect ('have been'), which entails dynamic unfolding and eventive change incompatible with stative readings, triggering the set_to_0_if condition.",,,,0.0,high,"The target gram 'have been paid' is not negated; the negation 'Do not pray' applies to a different verb and does not negate the eventuality of being paid, which is presented as occurring.",0,high,"The clause 'they have been paid in full' contains no overt temporal adverbial anchoring the event to a specific past time interval; 'in full' is a manner/degree phrase, not a temporal anchor.",0,high,"The verb 'have been paid' entails a change of possession/financial status that remains in effect at the reference time (they currently possess their reward), triggering the set_to_0_if condition.",0,high,The stative copula construction 'have been paid' describes a resulting state (paid status) rather than encoding a transition; it reports a completed condition without entailing a persisting change of state that holds at reference time in the sense required for DtRes.,0,high,"The phrase 'have been paid in full' describes a completed transition into a new state (receiving payment) rather than a situation holding continuously over time, matching the negative example 'I have eaten the rice (and now it is gone)'.",1,high,"The gram 'have been paid' presents a passive bounded transition (receiving payment as a completed event) as a single whole without profiling internal temporal development, matching the positive example 'We have been discharged.'",0,high,"The phrase 'they have been paid in full' is asserted as a realized fact in the actual world within the speaker's assurance, with no modal, conditional, future, or wish context applying.",1.0,high,"The gram 'have been paid' contains progressive marking ('been') between the present-tense auxiliary 'have' and the past participle 'paid', which constitutes additional marking beyond the canonical present perfect form and thus instantiates TLTS.",1,high,"The construction 'have been paid' exhibits overt passive morphology (auxiliary 'have' + 'been' + past participle 'paid'), the grammatical subject 'they' is the semantic patient (recipient of payment), and the agent is omitted, satisfying all conditions for VcPass.",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
