TokenID,FullText,Target,ASTrns,ASTrns_conf,ASTrns_explanation,ASUncc,ASUncc_conf,ASUncc_explanation,ASUnrg,ASUnrg_conf,ASUnrg_explanation,AktAcc,AktAcc_conf,AktAcc_explanation,AktAch,AktAch_conf,AktAch_explanation,AktAct,AktAct_conf,AktAct_explanation,AktSemel,AktSemel_conf,AktSemel_explanation,AktState,AktState_conf,AktState_explanation,ClCntfcl,ClCntfcl_conf,ClCntfcl_explanation,ClNegPol,ClNegPol_conf,ClNegPol_explanation,DtDTAM,DtDTAM_conf,DtDTAM_explanation,DtExp,DtExp_conf,DtExp_explanation,DtRes,DtRes_conf,DtRes_explanation,DtUniv,DtUniv_conf,DtUniv_explanation,TLAspPfv,TLAspPfv_conf,TLAspPfv_explanation,TLMdIrr,TLMdIrr_conf,TLMdIrr_explanation,TLTS,TLTS_conf,TLTS_explanation,VcPass,VcPass_conf,VcPass_explanation
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,1,high,"The clause is morphologically passive ('had been promised'), and the lexical verb 'promise' licenses both an external argument (agent: implied subject performing the promise) and an internal argument (patient: 'Mary', the one promised), satisfying the passive condition in set_to_1_if.",0,high,"The clause is morphologically passive ('had been promised'), and the lexical verb 'promise' licenses an external argument (the agent who made the promise, suppressed in passive voice), thus failing the unaccusative criteria.",0,high,"The verb 'had been promised' licenses an internal argument (Mary as the theme/patient receiving the promise), making it transitive and thus not an unergative one-participant event with an external argument.",0,high,"The verb 'had been promised' denotes a punctual speech act or commitment that constitutes a boundary transition into a betrothal state, lacking a durative process phase leading to completion.",0,high,The passive construction 'had been promised' denotes a durative state of betrothal or commitment rather than a punctual transition into a new state; the event unfolds over measurable duration and does not represent a single temporal boundary crossing.,0,high,"The verb 'had been promised' denotes a bounded perceptual/cognitive event marking the completion of a promise agreement, with an inherent endpoint and result state (Mary being in a promised state), not a dynamic durative activity.",0,high,"The event 'had been promised' entails a resulting state change (Mary transitioning into a state of being betrothed to Joseph), which disqualifies it from semelfactive status.",0,high,"The gram 'had been promised' is morphologically marked as progressive perfect aspect (had been + -ed participle in passive voice), which entails dynamic eventive unfolding and is incompatible with stative readings per the set_to_0_if criteria.",0,high,"The clause 'had been promised to Joseph in marriage' uses past perfect to express temporal anteriority within a narrative (Mary's betrothal occurred before the subsequent events), not to indicate a counterfactual situation; the event actually occurred in the narrative world.",0.0,high,"The target gram 'had been promised' is not negated; the sentence affirms that Mary was promised to Joseph, with no negator ('not', 'n't', 'never', or negative quantifier) directly modifying this eventuality.",,,,,,,0,high,"The stative copular construction 'had been promised' describes a state rather than encoding a transition; it reports a past condition without indicating that a resulting state persists at the reference time, especially given the subsequent clause 'But before they were married' which indicates the promise was not yet fulfilled.",0,high,"The clause describes a discrete bounded event (the act of promising Mary to Joseph in marriage) rather than a situation holding continuously over time; the focus is on the transition into a betrothal state, not on duration.",1,high,"The clause 'Mary had been promised to Joseph in marriage' presents a bounded passive transition event (the act of promising/betrothal as a completed whole) rather than an ongoing state, matching the set_to_1_if criterion for passive bounded transitions.",0,high,"The gram 'had been promised' asserts a realized past fact (Mary was betrothed to Joseph) without modal, conditional, counterfactual, or future marking, and does not occur in a desire or hypothetical context.",1,high,"The gram 'had been promised' contains the morphologically past auxiliary 'had' combined with 'been' and a past participle, instantiating both past perfect and progressive marking, which satisfies the set_to_1_if criteria.",1,high,"The target 'had been promised' instantiates VcPass: it has the form auxiliary 'have' + 'been' + past participle of transitive verb 'promised', the grammatical subject 'Mary' is the semantic patient (the one promised), and the passive morphology is overt."
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,1,high,"The verb 'had commanded' introduces an overt external argument (the angel of God) and an overt internal argument (him), satisfying the two-participant transitive pattern with both subject and direct object present.",0,high,"The verb 'commanded' licenses an external argument (the angel as agent/initiator) and introduces an internal argument (him as the object of the command), satisfying the set_to_0_if criterion that the verb licenses an external argument.",0,high,"The verb 'commanded' licenses an internal argument (the infinitival complement 'him to do'), making it transitive and thus not an unergative one-participant event.",0,high,"The verb 'commanded' denotes a punctual speech act that establishes a directive at a single moment, lacking a durative process phase or inherent endpoint that defines completion of the commanding itself.",1,high,"The verb 'had commanded' denotes a punctual transition into a directive state (the angel issuing a command at a specific moment), which is a cognitive/communicative achievement that establishes a new result state, satisfying the criteria for AktAch.",0,high,"The verb 'had commanded' denotes a bounded perceptual/cognitive event with a specific endpoint (the issuance of a command) and an inherent result state (the command having been given), not a dynamic durative activity.",0,high,"The event 'had commanded' entails a resulting state (a command that Joseph must obey) and does not constitute a single punctual occurrence without consequent result, thus it is not semelfactive.",0,high,"The verb 'had commanded' denotes a bounded dynamic event involving volitional action and change-of-state (issuing a command), which represents eventive unfolding rather than a static condition that holds over time.",0,high,"The clause 'had commanded' expresses temporal anteriority within a narrative (the angel's command preceded Joseph's action), describing an event that actually occurred in the story world, without any indication of counterfactuality.",0.0,high,"The negation 'did' applies to the matrix clause 'he did what...', not to the embedded target gram 'had commanded'; the angel's commanding is presented as realized, not negated.",,,,,,,1,high,"The verb 'had commanded' describes a directive (change of social/legal status or binding instruction) that remains in effect at the reference time, as evidenced by Joseph's subsequent compliance with the command in the narrative.",0,high,"The clause 'had commanded him to do' describes a discrete past event (the angel's command) that Joseph then executed, not a situation holding continuously from a past point to the reference time.",1,high,"The past perfect 'had commanded' presents a completed transition event (the angel's act of commanding) as a bounded whole prior to Joseph's action, fitting the perfective construal of a discrete, bounded occurrence.",0,high,"The gram 'had commanded' is a past perfect form asserting a realized fact in the actual world (the angel had previously given a command that Joseph then obeyed), with no modal, conditional, counterfactual, or future marking.",1,high,"The auxiliary 'had' is morphologically past, making this a past perfect form rather than a simple present perfect, which satisfies the set_to_1_if condition.",0,high,The target 'had commanded' is active voice with the grammatical subject 'the angel of God' as the semantic agent (doer) and 'him' as the grammatical object (semantic patient); it lacks the passive morphology 'have/had + been + past participle'.
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,0,high,"The verb 'has come near' is intransitive with no overt internal argument (direct or indirect object); 'the kingdom of heaven' is the grammatical subject, not an object affected by the verb.",1,high,"The verb 'come near' denotes directed motion/change-of-location where the sole argument (the kingdom of heaven) undergoes displacement as an internal argument, and no external argument is licensed.",0,high,"The verb 'come near' denotes a change-of-location/change-of-state event where the sole argument 'kingdom of heaven' functions as an internal argument (theme/patient) undergoing a change, not as an external argument (agent/initiator), matching the set_to_0_if criterion for unaccusative verbs.",0,high,"The verb 'has come near' denotes a punctual boundary transition into a proximal state without a durative process phase; it marks the instantaneous moment when the kingdom transitions from distant to near, not a gradual approach with measurable duration.",1,high,"The verb 'has come near' denotes a punctual transition into a new state (the kingdom of heaven reaching proximity), can be modified by specific time-point adverbials ('has come near at that moment'), and represents a definable threshold crossing rather than an unfolding process.",0,high,"The verb 'has come near' denotes a bounded perceptual/cognitive event marking the onset of a state (the kingdom's arrival/proximity), with an inherent endpoint and defined result state, not a dynamic durative activity.",0,high,"The event 'has come near' entails a transition into a resulting state (the kingdom of heaven moving from distant to proximate), which violates the semelfactive requirement of no resulting change of state.",0,high,"The verb 'has come near' denotes a change-of-state event marking the onset or arrival of the kingdom of heaven, involving dynamic progression from a prior state of distance to a state of proximity, which is incompatible with AktState.",0,high,"The clause presents the situation as having actually occurred in the actual world ('the kingdom of heaven has come near'), without any indication that it is contrary to fact, and does not occur in a counterfactual conditional structure.",0.0,high,"The target gram 'has come near' is not negated; the sentence is a positive assertion that the kingdom of heaven has come near, with no negator ('not', 'n't', 'never', or negative quantifier) modifying it.",,,,,,,1,high,"The motion verb 'come near' describes a change of location/state where the kingdom of heaven has moved to a proximate position and remains near at the reference time, satisfying the resultative condition that the resulting state holds currently.",0,high,"The predicate 'has come near' denotes a transition into a new state (the kingdom moving from distant to near) rather than a situation holding continuously across a time span, and there is no duration adverbial indicating extension to the reference time.",1,high,"The predicate 'come near' is a transition event construed as a completed whole, presenting the kingdom of heaven's approach as a single bounded occurrence rather than an ongoing process.",0,high,"The gram 'has come near' is a present perfect that asserts the kingdom of heaven as having arrived in the actual world, not as projected, hypothetical, or desired; it is a realized fact presented without modal, conditional, or future marking.",0,high,"The gram 'has come near' is formed with present-tense 'has' followed by past participle 'come' with no modal, future, or progressive marking, matching the simple present perfect form.",0,high,"The construction 'has come near' is active voice with an intransitive verb 'come'; it lacks the passive morphology 'have + been + past participle' and the grammatical subject 'kingdom of heaven' is the semantic agent/experiencer, not the patient."
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,1,high,"The verb 'have approved' introduces an overt grammatical subject (I) and an overt direct object (whom, referring to 'my Son'), satisfying the transitive requirement.",0,high,"The verb 'have approved' licenses an external argument (the implicit first-person subject 'I') as an agent/initiator, and takes a direct object 'whom', making it a transitive verb that does not meet unaccusative criteria.",0,high,"The verb 'have approved' licenses an internal argument ('whom'), making it transitive and thus not an unergative one-participant event.",0,high,"The verb 'approve' denotes a punctual mental act or decision that constitutes a boundary transition into a state of approval, lacking a durative process phase leading to a defined endpoint.",1,high,"The verb 'have approved' denotes a punctual transition into a new state of endorsement or acceptance, representing a definable threshold moment of approval rather than an unfolding process, and can be naturally modified by a specific time-point adverbial (e.g., 'have approved at that moment').",0,high,"The verb 'have approved' denotes a bounded perceptual/cognitive event marking the onset of approval as a completed occurrence with a defined result state, lacking dynamic durative unfolding.",0,high,The event 'have approved' entails a resulting change of state (transition from not-approved to approved) and does not constitute a single punctual occurrence without consequent result.,0,high,"The verb 'have approved' denotes a bounded change-of-state event (the act of approving, which marks a transition from non-approval to approval) involving dynamic eventive unfolding, not a static condition that holds uniformly over time.",0,high,"The clause presents a situation that has actually occurred in the actual world (a voice from heaven stating an approval that has taken place), without any indication of counterfactual meaning, conditional structure, or unfulfilled wish.",0.0,high,"The target gram 'have approved' is not negated; it appears in a positive declarative statement with no negator ('not', 'n't', negative quantifier, or 'never') modifying it.",,,,,,,1,high,"The verb 'have approved' describes a change of social/legal status (approval granted to the Son) that is currently held at the reference time, as indicated by the present-tense context and the divine declaration that this approval is in effect.",0,high,"The clause 'whom I have approved' describes a discrete bounded event (an act of approval) rather than a continuous situation holding over time, with no duration adverbials or habitual iteration indicating extension to the reference time.",0,high,"The predicate 'have approved' denotes a stative situation (approval as a state of favor or endorsement) without a construed boundary or transition event, and the clause does not present a bounded occurrence but rather an ongoing state of approval.",0,high,"The gram 'have approved' is asserted as a realized fact within direct speech from a divine voice, presenting the approval as an actual state of affairs in the world of the text, with no modal, conditional, future, or hypothetical marking.",0,high,"The gram 'have approved' is formed with present-tense 'have' followed by a past participle with no modal, future, or progressive marking, matching the canonical present perfect form.",0,high,The construction 'have approved' is active voice with the grammatical subject 'I' as the semantic agent (the one doing the approving) and the object 'whom' as the semantic patient; it lacks the passive morphology 'have + been + past participle' required for VcPass.
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,1,high,"The clause is morphologically passive and the lexical verb 'arrest' licenses both an external argument (agent) and an internal argument (patient/John), satisfying the passive condition in set_to_1_if.",0,high,"The clause is morphologically passive ('had been arrested'), and the lexical verb 'arrest' licenses an external argument (the agent who performed the arrest), which triggers the set_to_0_if condition for passive clauses.",0,high,"The verb 'arrested' licenses an internal argument (John functions as the theme/patient of the arrest action), and the construction is passive voice where the sole overt argument is the internal argument rather than an external argument.",0,high,"Arrest denotes a punctual boundary transition (the moment someone is taken into custody) without a durative process phase, making it an achievement rather than an accomplishment.",1,high,"The verb 'arrested' denotes a punctual transition into a new state (from freedom to custody) that occurs at a definable temporal boundary, satisfying the achievement criteria despite the past perfect tense marking.",0,high,"The verb 'arrest' entails a specific, inherent endpoint (the completion of the arrest action) and a defined result state (being in custody), making it a bounded accomplishment rather than a dynamic, durative activity.",0,high,"The event 'had been arrested' entails a transition into a new resulting state (the state of being arrested/imprisoned), which violates the semelfactive requirement of no resulting change of state.",0,high,"The gram 'had been arrested' is morphologically marked as progressive perfect aspect ('had been + -ed'), which entails dynamic eventive unfolding and change-of-state (the transition from free to arrested), incompatible with stative readings.",0,high,"The clause 'had been arrested' presents a factual past event (John's arrest actually occurred) and uses past perfect to express temporal anteriority within a narrative, not a counterfactual situation contrary to fact.",,,,,,,,,,1,high,"The verb 'arrested' describes a change of state (from free to detained), and the construction 'had been arrested' indicates that John remains in the arrested state at the reference time when Jesus heard the news.",0,high,"The clause describes a discrete bounded event (John's arrest) rather than a situation holding continuously over time; the focus is on the transition into the state of being arrested, not on a duration or habitual series.",1,high,"The gram 'had been arrested' is a passive form asserting a bounded transition event (arrest as a completed whole) that serves as a discrete narrative step triggering the subsequent action ('So Jesus withdrew'), meeting the criteria for TLAspPfv.",0,high,"The gram 'had been arrested' asserts a realized fact in the actual world (John's arrest as a past event that occurred before Jesus heard about it), with no modal, conditional, future, or wish context present.",1,high,"The auxiliary is morphologically past ('had') and the gram includes 'been' followed by a past participle ('arrested'), matching both the past auxiliary criterion and the progressive perfect criterion.",1,high,"The target 'had been arrested' instantiates VcPass: it has the form auxiliary 'have' + 'been' + past participle of transitive verb 'arrest', the grammatical subject 'John' is the semantic patient (entity affected by arrest), and overt passive morphology is present."
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,1,high,"The target verb 'have heard' introduces an overt grammatical subject ('You') and an overt direct object ('it'), satisfying the first condition for ASTrns=1.",0,high,"The verb 'heard' licenses an external argument (the subject 'You' as agent/experiencer) and takes a direct object ('it'), thus failing the unaccusative criteria.",0,high,"The verb 'heard' licenses an internal argument (the direct object 'it'), which violates the ASUnrg feature requirement of no internal argument.",0,high,"The verb 'hear' denotes a punctual perceptual transition into awareness without a durative process phase; the event is construed as an instantaneous boundary crossing into the state of having perceived, not a gradual process culminating in a defined result state.",1,high,"The verb 'have heard' denotes a punctual perceptual transition into awareness (hearing/receiving information), which is a near-instantaneous crossing of a cognitive threshold, matching the positive example 'They have heard the news.'",0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset of awareness of a specific utterance ('it was said'), which is treated as a single completed occurrence rather than a dynamic durative situation.",0,high,"The present perfect 'have heard' entails a resulting state of knowledge/awareness that persists from a past event to the present, which constitutes a change of state, thus failing the semelfactive criterion.",0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset of awareness (hearing/receiving information), which encodes eventive change rather than a static condition, triggering the set_to_0_if criterion.",0,high,"The clause 'You have heard it was said' presents a situation as having actually occurred in the actual world (you did hear something), without any indication that it is contrary to fact, so it does not instantiate the counterfactual feature.",0.0,high,"The negation 'not' in the sentence applies to 'commit adultery' (the embedded clause), not to the target gram 'have heard', which remains positive.",,,,,,,0,high,The verb 'have heard' reports a past perceptual event without entailing a resulting state that persists at the reference time; hearing something does not create an ongoing state condition like possession or location change.,0,high,"The clause describes a discrete bounded event of hearing/receiving information rather than a situation holding continuously over time, and lacks duration adverbials indicating extension to the reference time.",0,high,The predicate 'heard' denotes a stative situation (perception/knowledge state) without a construed boundary or transition; the clause presents an ongoing state of knowledge rather than a bounded completed event.,0,high,"The gram 'have heard' asserts a realized fact in the actual world—the addressee has actually heard the saying—and contains no modal auxiliary, conditional, future, or wish context that would mark it as irrealis.",0,high,"The gram 'have heard' is formed with present-tense 'have' followed by the past participle 'heard', with no modal, future, or progressive marking, matching the canonical present perfect form.",0,high,The construction 'have heard' lacks the required passive morphology (auxiliary 'have' + 'been' + past participle); it is active voice with 'you' as the semantic agent performing the action of hearing.
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,1,high,"The verb 'have heard' introduces an overt grammatical subject ('You') and an overt direct object ('it'), satisfying the first condition for ASTrns=1.",0,high,"The verb 'heard' licenses an external argument (the subject 'you' as the agent/experiencer) and takes a direct object ('it said'), thus failing the unaccusative criteria.",0,high,"The verb 'heard' licenses an internal argument (the direct object 'it'), which violates the ASUnrg feature requirement of no internal argument.",0,high,"The verb 'heard' denotes a punctual perceptual event—a near-instantaneous transition into awareness—without a durative process phase leading to a defined endpoint, fitting the achievement category rather than accomplishment.",1,high,"The verb 'have heard' denotes a punctual perceptual transition into awareness (hearing/receiving information), which matches the positive example 'They have heard the news' and satisfies the criterion for punctual perceptual cognitive transitions.",0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset of awareness of a specific utterance ('it said'), which is treated as a single completed occurrence rather than a dynamic durative situation.",0,high,"The present perfect 'have heard' construes the event as a state resulting from a prior action (a change from not-having-heard to having-heard), entailing a resulting change of state, not a single punctual occurrence without consequences.",0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset of awareness (hearing/receiving information), which encodes eventive change rather than a static condition, triggering the set_to_0_if criterion for bounded perceptual events.",0,high,"The clause 'You have heard it said' presents a situation as having actually occurred in the actual world (a factual past experience), with no indication that it is contrary to fact, counterfactual, or expressing an unfulfilled wish.",0.0,high,"The target gram 'have heard' is not negated; the sentence is positive and describes an event that has occurred, with no negator ('not', 'n't', 'never', or negative quantifier) directly negating the auxiliary or the eventuality.",,,,,,,0,high,The verb 'have heard' is a perception verb that does not entail a resulting state persisting at the reference time; it merely reports a past perceptual event without encoding a transition to a new state that currently holds.,0,high,"The clause describes a discrete bounded event (hearing a saying) rather than a situation holding continuously over time, and lacks duration adverbials indicating extension to the reference time.",0,high,"The predicate 'have heard' denotes a stative situation (knowing/being aware of something) without a construed boundary or transition, and the clause does not present the situation as a single bounded occurrence with an endpoint.",0,high,"The gram 'have heard' is a present perfect that asserts a realized fact in the actual world—the addressee has actually heard the saying—with no modal, conditional, future, or hypothetical marking.",0,high,"The gram 'have heard' is formed with present-tense 'have' followed by past participle 'heard' with no modal, future, or progressive marking, matching the simple present perfect form that sets the feature to 0.",0,high,The form 'have heard' lacks the required passive morphology (auxiliary 'have' + 'been' + past participle); it is active voice with the grammatical subject 'You' as the semantic agent performing the action of hearing.
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,1,high,"The verb 'have heard' introduces an overt internal argument ('it'), satisfying the requirement for a direct object in a transitive construction.",0,high,"The verb 'heard' licenses an external argument (the subject 'you' as the agent/experiencer) and introduces an internal argument (the direct object 'it'), thus failing the unaccusative criteria.",0,high,"The verb 'heard' licenses an internal argument (the direct object 'it'), which violates the ASUnrg feature requirement of no internal argument.",0,high,"The verb 'hear' denotes a punctual perceptual transition into awareness without a durative process phase; the event is construed as a single instantaneous moment of coming to perceive or understand, not a gradual process culminating in a defined result state.",1,high,"The verb 'have heard' denotes a punctual perceptual transition into awareness of the saying, matching the positive example 'They have heard the news' and satisfying the criterion for punctual perceptual/cognitive transitions into recognition.",0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset of awareness of a specific utterance, which is treated as a single completed occurrence rather than a dynamic durative situation.",0,high,"The present perfect 'have heard' construes a state resulting from a prior event (the hearing), not a single punctual occurrence without change of state, and the context implies a durative or repeated experience rather than a single bounded instantaneous event.",0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset of awareness (hearing/receiving information), which encodes eventive change rather than a static condition, triggering the set_to_0_if criterion for bounded perceptual events.",0,high,"The clause 'You have heard it said' presents a situation as having actually occurred in the actual world (a factual past experience), with no indication that it is contrary to fact, counterfactual, or expressing an unfulfilled wish.",0.0,high,"The target gram 'have heard' is not negated; the negation ('not') appears in the embedded clause 'not to go' equivalent structure, and the main clause 'You have heard it said' presents the event as occurring, not absent from reality.",,,,,,,0,high,"The verb 'have heard' is a perception verb that reports a past auditory experience without entailing a resulting state that persists at the reference time; the clause merely documents that the addressee encountered this saying previously, not that any change of state currently holds.",0,high,"The clause describes a discrete bounded event (hearing a saying) rather than a continuous situation holding over time, and lacks duration adverbials indicating extension to the reference time.",0,high,"The predicate 'hear' is a stative verb denoting a mental state of perception without a construed boundary or transition, and the clause does not present a bounded occurrence but rather an unbounded experiential state.",0,high,"The gram 'have heard' asserts a realized fact in the actual world—the addressee has actually heard the saying—and contains no modal auxiliary, conditional, future, or wish context that would mark it as irrealis.",0,high,"The gram 'have heard' is formed with present-tense 'have' followed by the past participle 'heard', with no modal, future, or progressive marking, matching the canonical present perfect form.",0,high,The target 'have heard' lacks the required passive morphology (auxiliary 'have' + 'been' + past participle); it is active voice with 'you' as the semantic agent performing the action of hearing.
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,1,high,"The clause is morphologically passive ('have been paid'), and the lexical verb 'pay' licenses both an external argument (agent: 'men' implied from context) and an internal argument (patient: 'they'), satisfying the passive construction criterion for ASTrns.",0,high,"The clause is morphologically passive ('have been paid'), and the lexical verb 'pay' licenses an external argument (the agent performing the payment, suppressed in passive voice), thus failing the unaccusative criteria.",0,high,"The verb 'have been paid' is passive and licenses an internal argument (the implicit theme 'they' receiving payment), making it transitive rather than a one-participant unergative event with an external argument.",0,high,"The verb 'have been paid' denotes a punctual boundary transition into a state of completion without a durative process phase; it marks the instantaneous moment when payment is received, not a gradual change-of-state or directed process toward a goal.",1,high,"The verb 'have been paid' denotes a punctual transition into a new state (receiving payment/reward) that occurs at a definable temporal boundary, satisfying the achievement criterion of instantaneous change-of-state.",0,high,"The phrase 'have been paid in full' entails a specific, inherent endpoint (full payment received) and a defined result state, making it a bounded accomplishment rather than a dynamic durative activity.",0,high,"The event 'have been paid in full' entails a resulting change of state (transition from unpaid to paid condition), which disqualifies it from semelfactive status.",0,high,"The gram 'have been paid' is morphologically marked with progressive/perfect aspect ('have been') indicating a completed dynamic event of receiving payment, which involves change-of-state and eventive unfolding rather than a static condition.",0,high,"The clause 'they have already been paid in full' presents a situation as having actually occurred in the actual world (the hypocrites have received their reward), without any indication that it is contrary to fact.",0.0,high,The target gram 'have been paid' is not negated; the negation in the sentence ('Do not loudly announce') applies to a different clause and does not negate the eventuality of being paid.,,,,,,,1,high,"The verb 'have been paid' describes a change of possession/status (receiving payment) where the resulting state of being paid holds at the reference time, as indicated by the context 'they have already been paid in full.'",0,high,"The clause 'they have already been paid in full' describes a completed transition into a new state (receiving payment) rather than a situation holding continuously over time, and contains no duration adverbials indicating extension to the reference time.",1,high,"The clause 'they have already been paid in full' presents a bounded passive transition event (the completion of payment) as a single accomplished whole, with the adverbial 'already' and 'in full' emphasizing the bounded, completed nature of the situation.",0,high,"The gram 'have been paid' asserts a realized state of affairs in the actual world (the hypocrites have already received their reward), with no modal, conditional, future, or wish context present.",1,high,"The gram 'have been paid' includes 'been' followed by a past participle in a progressive-like construction, which instantiates the TLTS feature according to the rule for progressive perfect forms.",1,high,"The target 'have been paid' instantiates VcPass: it has the form auxiliary 'have' + 'been' + past participle of transitive verb 'paid', the grammatical subject 'they' corresponds to the semantic patient (those receiving payment), and the agent is omitted, satisfying all criteria for passive voice morphology."
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,1,high,"The clause is morphologically passive ('have been paid') and the lexical verb 'pay' licenses both an external argument (agent—those who paid them) and an internal argument (patient—'they', the hypocrites receiving payment), satisfying the passive condition in set_to_1_if.",0,high,"The clause is morphologically passive ('have been paid'), and the lexical verb 'pay' licenses an external argument (the agent performing the payment), which triggers the set_to_0_if condition for passive clauses.",0,high,"The verb 'have been paid' is passive and licenses an internal argument (the implicit agent 'by [someone]'), and the subject 'they' functions as a theme/patient undergoing the action of being paid rather than as an external agent/initiator.",0,high,"The event 'have been paid in full' denotes a punctual boundary transition into a state of completion without a durative process phase; it is a near-instantaneous change-of-state marking the moment payment is rendered, not a gradual process directed toward an endpoint.",1,high,"The verb 'have been paid' denotes a punctual transition into a new state (receiving payment/reward) that can be modified by specific time-point adverbials ('they have been paid at that moment') and does not permit interruption as an ongoing process, satisfying the achievement criteria.",0,high,"The phrase 'have been paid in full' denotes a bounded event with an inherent endpoint (full payment received) and a defined result state, not a dynamic durative activity.",0,high,"The event 'have been paid in full' entails a resulting change of state (transition from unpaid to paid status), which disqualifies it from semelfactive classification.",0,high,"The gram 'have been paid' is morphologically marked as progressive perfect aspect ('have been'), which entails dynamic unfolding and eventive change incompatible with stative readings; additionally, 'paid' denotes a bounded change-of-state event.",0,high,"The clause 'they have been paid in full' presents a situation as having actually occurred in the actual world (the hypocrites have received their reward), without any counterfactual marking, conditional structure, or indication that the event did not occur.",0.0,high,"The negator 'not' in 'Do not pray' negates the imperative verb 'pray', not the target gram 'have been paid', which appears in a separate clause expressing a positive assertion about payment received.",,,,,,,0,high,The target is a stative copula construction ('have been paid') describing a state rather than encoding a transition; it reports a completed payment state without entailing a persisting resulting state that holds at the reference time in the sense required by DtRes.,0,high,"The clause 'they have been paid in full' describes a completed transition into a new state (receiving payment) rather than a situation holding continuously over time, matching the negative example pattern of transition-focused verbs.",1,high,"The clause 'they have been paid in full' presents a passive bounded transition event (payment as a completed whole) with a completion-measure adverbial ('in full') that profiles the situation as bounded, matching the set_to_1_if criteria for passive transitions and completion-measure adverbials.",0,high,"The gram 'have been paid' asserts a realized state of affairs in the actual world within a statement of fact ('I assure you they have been paid in full'), with no modal, conditional, future, or wish context present.",1,high,"The gram 'have been paid' includes 'been' followed by a past participle in a progressive perfect construction, which matches the set_to_1_if criterion for progressive marking.",1,high,"The target 'have been paid' instantiates VcPass: it has the form auxiliary 'have' + 'been' + past participle of transitive verb 'paid', the grammatical subject 'they' is the semantic patient (recipients of payment), and the agent is omitted."
