TokenID,FullText,Target,ASTrns,ASTrns_conf,ASTrns_explanation,ASUncc,ASUncc_conf,ASUncc_explanation,ASUnrg,ASUnrg_conf,ASUnrg_explanation,AktAcc,AktAcc_conf,AktAcc_explanation,AktAch,AktAch_conf,AktAch_explanation,AktAct,AktAct_conf,AktAct_explanation,AktSemel,AktSemel_conf,AktSemel_explanation,AktState,AktState_conf,AktState_explanation,ClCntfcl,ClCntfcl_conf,ClCntfcl_explanation,ClNegPol,ClNegPol_conf,ClNegPol_explanation,DtDTAM,DtDTAM_conf,DtDTAM_explanation,DtExp,DtExp_conf,DtExp_explanation,DtRes,DtRes_conf,DtRes_explanation,DtUniv,DtUniv_conf,DtUniv_explanation,TLAspPfv,TLAspPfv_conf,TLAspPfv_explanation,TLMdIrr,TLMdIrr_conf,TLMdIrr_explanation,TLTS,TLTS_conf,TLTS_explanation,VcPass,VcPass_conf,VcPass_explanation,DtExp/DtRes,DtExp/DtUniv,DtRes/DtUniv,DtExp/DtRes/DtUniv,DtHP,DtHP_excused,ASTrns/ASUncc,ASTrns/ASUnrg,ASUncc/ASUnrg,ASTrns/ASUncc/ASUnrg,ASHP,AktState/AktAct,AktAcc/AktAch,AktMultiple,AktHP,TLAspPfv/DtUniv,TLAspPfv/AktState,TLAspPfv/AktAct
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,1,high,"The verb 'had been promised' introduces an overt internal argument ('to Joseph in marriage'), making it a transitive construction that instantiates ASTrns.",0,high,"The clause contains an overt direct grammatical object ('Mary') introduced by the target verb 'had been promised', triggering the set_to_0_if condition.",0,high,"The verb 'had been promised' licenses an internal argument (Mary as the theme/patient of the promise), triggering the first set_to_0_if condition.",0,high,"The verb 'had been promised' denotes a punctual speech act or commitment event (the act of promising) that establishes a state, lacking a durative process phase, which triggers the set_to_0_if condition for punctual change-of-state.",0.0,high,"The event 'had been promised' is a state resulting from a past action rather than an achievement with a transition into a new result state; it describes a durative condition (Mary's betrothal status) rather than a punctual accomplishment, triggering the second set_to_0_if condition.",0.0,high,"The situation 'had been promised to Joseph in marriage' entails a specific, inherent endpoint (the completion of the promise/betrothal agreement) and marks the onset of a cognitive/communicative event, satisfying two set_to_0_if conditions.",0,high,"The event 'had been promised' entails a transition into a new resulting state (Mary moving from unpromised to promised status), which triggers the set_to_0_if condition.",0,high,"The gram 'had been promised' is morphologically marked as progressive perfect aspect (had been + -ed), which entails dynamic eventive unfolding and is incompatible with stative readings per the set_to_0_if condition.",0,high,"The clause presents the situation as having actually occurred in the actual world (Mary was promised to Joseph), using past perfect morphology to express temporal anteriority within a narrative without any indication of counterfactuality.",0.0,high,No negator occurs in the clause containing 'had been promised'; the sentence is affirmative and expresses that Mary was promised to Joseph without negation.,0,high,"No temporal adverbial is present in the clause containing 'had been promised'; the temporal relationship is established by the pluperfect verb form itself, not by an adverbial modifier.",0,high,"The verb 'had been promised' entails a change of social/legal status (betrothal) that remains in effect at the reference time ('before they were married'), triggering the set_to_0_if condition.",1,high,"The verb 'had been promised' entails a resulting state (Mary is in a state of being promised to Joseph) that holds at the reference time of the narrative, satisfying the DtRes feature.",0,high,"The verb 'had been promised' entails a transition into a new state (the state of being promised/betrothed), and the focus is on that transition event rather than on a situation holding continuously over time.",0,high,The clause 'had been promised to Joseph in marriage' denotes a stative situation (a betrothal state) without a construed boundary; it describes Mary's state of being promised rather than presenting the act of promising as a bounded perfective event.,1,high,"The target 'had been promised' is in past perfect tense describing a completed action in the past, not asserting a realized situation in the actual world as a simple past fact, thus the set_to_0_if condition does not apply.",1.0,high,"The target 'had been promised' is a past perfect passive construction (had + been + past participle), which does not match the set_to_0_if condition that requires present-tense 'have/has' with only a past participle and no additional marking; the presence of 'been' constitutes additional marking beyond the simple present perfect form.",1.0,high,"The target 'had been promised' is a passive construction where Mary is the grammatical subject but the semantic patient (the one being promised), and the agent (Joseph) is implicit; 'promised' is a verbal past participle functioning as a passive, not a copular complement.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,1,high,"The verb 'had commanded' introduces an overt internal argument: the infinitival clause 'him to do', where 'him' is the indirect object and the infinitive phrase is the direct object, satisfying the requirement for ASTrns.",0,high,"The verb 'had commanded' licenses an external argument (the angel as agent) and introduces an overt direct object ('him to do'), satisfying two set_to_0_if conditions.",0,high,"The verb 'had commanded' licenses an internal argument ('him to do'), satisfying the first set_to_0_if condition.",0,high,"The verb 'had commanded' denotes a punctual speech act with a defined boundary (the moment of issuance) and lacks a durative process phase, triggering the first set_to_0_if condition.",0.0,high,"The event 'had commanded' is punctual and does not entail a transition into a new result state; it denotes a speech act of issuing a command at a single temporal boundary, not an achievement with a resultant state.",0.0,high,"The situation 'had commanded him to do' entails a specific, inherent endpoint (the command was issued and completed) and can be modified by 'in X time' (e.g., 'had commanded in a moment'), satisfying set_to_0_if conditions 1 and 2.",0,high,"The past perfect 'had commanded' describes a completed action with a resulting state (the command remains in effect), which triggers the first set_to_0_if condition regarding transition into a new resulting state.",0,high,"The verb 'had commanded' denotes a change-of-state event (the angel issuing a command) involving dynamic activity and event boundary, which triggers the set_to_0_if condition for verbs denoting change-of-state and eventive progression.",0,high,"The clause uses past perfect morphology ('had commanded') to express temporal anteriority within a narrative (the angel's command preceded Joseph's action), without any indication that the situation is contrary to fact; Joseph actually did what was commanded.",0.0,high,"The negator 'did' in 'did what the angel of God had commanded' is a positive auxiliary that affirms Joseph's compliance with the command, not a negation of 'had commanded' itself.",0,high,"There is no temporal adverbial of any sort present in the text; 'had commanded' is a past perfect verb form, not a temporal adverbial.",0,high,"The verb 'had commanded' entails a change of state (a command issued) that remains in effect at the reference time (Joseph follows the command), triggering the set_to_0_if condition.",1,high,The past perfect 'had commanded' entails a resulting state (a command exists and remains in effect at the reference time when Joseph woke up) and does not trigger any set_to_0_if conditions.,0,high,"The past perfect 'had commanded' describes a discrete bounded event (the angel's command) that occurred prior to Joseph's action, not a situation holding continuously across time.",1,high,"The form 'had commanded' is a past perfect construction that presents the angel's commanding as a completed, bounded event prior to Joseph's waking, and none of the set_to_0_if conditions apply.",0,high,"The gram 'had commanded' asserts a realized situation in the actual world (past perfect describing what actually happened), with no modal, conditional, future, or wish contexts applying.",1.0,high,"The target 'had commanded' is past perfect (had + past participle), not present perfect with 'have/has', so the set_to_0_if condition does not apply.",0.0,high,"The grammatical subject 'the angel of God' is the semantic agent (doer) of 'commanded', and 'him' is the semantic patient, matching active voice semantics rather than passive voice.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,0,high,The verb 'has come near' does not introduce an overt internal argument; it is an intransitive verb used in an activity/state reading where no affected patient is syntactically realized.,0,high,"The verb 'has come near' licenses an external argument (the kingdom of heaven as agent/initiator of the coming), triggering the first set_to_0_if condition.",0,high,"The verb 'has come near' denotes appearance or coming-into-being (the kingdom of heaven approaching/arriving) where the sole argument 'the kingdom of heaven' functions as the internal argument (theme) rather than external argument, matching the second set_to_0_if condition.",0,high,"The verb 'has come near' denotes a punctual boundary transition (arrival at proximity) without a durative process phase, triggering the first set_to_0_if condition.",0.0,high,"The event 'has come near' is punctual (occurring at a single temporal boundary—the moment of arrival/approach) and does not entail a transition into a new result state in the sense required for AktAch, triggering the set_to_0_if condition for punctual events without result state transitions.",0.0,high,"The situation entails a specific, inherent endpoint (the kingdom reaching nearness as a defined result state), and the event can be modified by 'in X time' adverbials ('has come near in recent days'), indicating a bounded completion rather than an ongoing activity.",0,high,"The event 'has come near' entails a transition into a new resulting state (the kingdom moving from distant to near), which triggers the set_to_0_if condition for AktSemel.",0,high,"The verb 'has come near' denotes a change-of-state and dynamic progression (movement from distant to proximate), which instantiates eventive unfolding rather than a static condition, triggering the set_to_0_if condition.",0,high,"The clause presents the situation as having actually occurred in the actual world (the kingdom of heaven has come near as a factual statement), without any indication that it is contrary to fact.",0.0,high,No negator appears in the sentence; the target gram 'has come near' is not negated.,0,high,"There is no temporal adverbial of any sort present in the clause 'has come near'; the adverbial 'near' is spatial/proximal, not temporal.",0,high,"The verb 'has come near' entails a change of location (the kingdom moving into proximity), and that resulting state holds at the reference time, triggering the first set_to_0_if condition.",1,high,"The verb 'has come near' entails a resulting state (the kingdom of heaven is now near/close) that holds at the reference time, and none of the set_to_0_if conditions apply.",0,high,"The verb 'has come near' entails a transition into a new state (the kingdom moving from distant to near), with focus on that transition rather than a continuous situation, triggering the third set_to_0_if condition.",1,high,"The present perfect 'has come near' presents a completed transition (the kingdom arriving at proximity) as a bounded whole with current relevance, not as an ongoing internal process, stative situation, duration, negated incompletion, or overlap with another event.",0,high,"The gram 'has come near' asserts a realized situation in the actual world with no modal, conditional, future, or wish contexts present, triggering the set_to_0_if condition.",0.0,high,"The target 'has come near' is formed with present-tense 'has' followed by past participle 'come', with no additional modal, future, or progressive marking, which matches the set_to_0_if condition.",0.0,high,"The target 'has come near' is active voice: the grammatical subject 'the kingdom of heaven' is the semantic agent (the entity that has come near), and there is no grammatical object, so the first set_to_0_if condition applies.",N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,1,high,"The verb 'have approved' introduces an overt internal argument ('whom', referring to 'my Son'), making it a transitive construction that instantiates ASTrns.",0,high,"The target verb 'have approved' licenses an external argument (the implicit first-person subject 'I') and introduces an overt direct object ('whom'), satisfying two set_to_0_if conditions.",0,high,"The verb 'have approved' licenses an internal argument ('whom', referring to the Son), which triggers the set_to_0_if condition that vetoes assignment of the ASUnrg feature.",0,high,"The verb 'have approved' denotes a punctual change-of-state (the moment of approval/endorsement) without a durative process phase, triggering the first set_to_0_if condition.",0.0,high,"The event 'have approved' unfolds over a measurable duration (the approval process) rather than occurring at a single temporal boundary, triggering the first set_to_0_if condition.",0.0,high,"The situation entails a specific, inherent endpoint (approval as a completed state of having endorsed/accepted someone), satisfying the first set_to_0_if condition.",0,high,"The event 'have approved' entails a transition into a resulting state (the Son becoming approved), which triggers the first set_to_0_if condition.",0,high,"The present perfect 'have approved' denotes a completed action with resultant state, but the verb 'approve' itself encodes a change-of-state event (moving from non-approval to approval), which is a dynamic eventive transition incompatible with AktState.",0,high,"The clause presents the situation as having actually occurred in the actual world (a divine statement of approval), without any indication that it is contrary to fact.",0.0,high,No negator occurs in the sentence; the target gram 'have approved' is in a positive polarity context with no negation applied to it.,0,high,"The target 'have approved' is a perfect aspect verb phrase within a direct speech quotation that expresses a timeless state of approval, not a temporal relationship anchored by the adverbial 'Then' which functions as a logical connector introducing the speech act rather than establishing a specific temporal anchor for the verb.",0,high,"The verb 'have approved' entails a change of social/legal status (approval granted to the Son) that remains in effect at the reference time, triggering the set_to_0_if condition.",1,high,"The verb 'have approved' is a present perfect that entails a resulting state (approval) holding at the reference time, with no negation, duration adverbial, or return condition present.",0,high,"The verb 'have approved' entails a transition into a state of approval, with focus on that resultant state rather than a continuous situation, and the context presents a discrete divine utterance rather than a continuous holding situation.",1,high,"The present perfect 'have approved' presents the approval as a completed action with relevance to the present moment, construing it as a bounded whole rather than an internal temporal development, stative situation, duration span, open transition, or overlap.",0,high,"The gram 'have approved' asserts a realized situation in the actual world (a voice from heaven stating a fact about approval) with no modal, conditional, future, or wish context applying.",0.0,high,"The target 'have approved' is formed with present-tense 'have' followed by past participle 'approved' with no additional modal, future, or progressive marking, which matches the set_to_0_if condition exactly.",0.0,high,"The grammatical subject 'I' is the semantic agent (the one doing the approving) and the grammatical object 'whom' is the semantic patient (the one being approved), matching active voice structure, not passive voice.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,1,high,"The verb 'arrested' introduces an overt internal argument (John as the affected patient), satisfying the requirement for ASTrns despite the passive voice construction.",0,high,"The clause is morphologically passive (had been arrested) and the lexical verb 'arrest' licenses an external argument (the agent performing the arrest), triggering the third set_to_0_if condition.",0,high,"The verb 'arrested' licenses an internal argument (John functions as the theme/patient of the arrest action), triggering the first set_to_0_if condition.",0,high,"The verb 'arrested' denotes a punctual boundary transition (change from free to detained state) without a durative process phase, triggering the first set_to_0_if condition.",1.0,high,"The event 'had been arrested' entails a transition into a new result state (John's state changed from free to arrested) and does not unfold over measurable duration or function as a complement to 'finish', satisfying the criteria for AktAch.",0.0,high,"The situation 'had been arrested' entails a specific, inherent endpoint (the completion of the arrest action) and can be modified by 'in X time' (e.g., 'had been arrested in an hour'), satisfying set_to_0_if conditions.",0,high,"The event 'had been arrested' entails a transition into a new resulting state (the state of being arrested), which triggers the set_to_0_if condition.",0,high,"The gram 'had been arrested' is morphologically marked as progressive perfect aspect and denotes a change-of-state event (arrest as a bounded action marking a transition to a new state), both of which trigger set_to_0_if conditions.",0,high,"The clause presents the situation as having actually occurred in the actual world (John's arrest is a factual event in the narrative), without any indication that it is contrary to fact.",0.0,high,No negator occurs in the sentence; 'had been arrested' is a positive passive construction with no negation applied to it.,0,high,There is no temporal adverbial of any sort present in the clause 'had been arrested'; the past perfect tense alone does not constitute a temporal adverbial feature.,0,high,"The verb 'had been arrested' entails a change of state (John transitioning from free to arrested) that remains in effect at the reference time, triggering the first set_to_0_if condition.",1,high,"The past perfect 'had been arrested' entails a resulting state (John is in a state of arrest) that holds at the reference time of the narrative, and none of the set_to_0_if conditions apply.",0,high,"The clause describes a discrete bounded event (John's arrest as a completed action) rather than a situation holding continuously, and the verb entails a transition into a new state (from free to arrested) with focus on that transition.",1,high,"The past perfect passive 'had been arrested' presents arrest as a completed, bounded event prior to the reference time (Jesus hearing about it), instantiating perfective aspect; none of the set_to_0_if conditions apply.",0,high,"The gram 'had been arrested' asserts a realized situation in the actual world (past perfect indicative) with no modal, conditional, future, or wish contexts present.",1.0,high,"The target 'had been arrested' is past perfect progressive (past 'had' + past participle 'been' + past participle 'arrested'), which does not match the set_to_0_if condition that requires present-tense 'have/has' with only a past participle and no additional marking.",1.0,high,"The target 'had been arrested' is a passive voice construction where the grammatical subject 'John' is the semantic patient (one who is arrested), not the agent, and 'arrested' is a verbal past participle functioning as a passive, not a copular complement.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,1,high,"The verb 'have heard' introduces an overt internal argument: the direct object 'it' (referring to the clause 'it was said...'), satisfying the requirement for ASTrns.",0,high,"The target verb 'have heard' licenses an external argument (the subject 'You' as the experiencer/agent of hearing), which triggers the first set_to_0_if condition, vetoing ASUncc.",0,high,"The verb 'have heard' licenses an internal argument ('it'), which triggers the first set_to_0_if condition.",0,high,"The verb 'have heard' denotes a punctual or near-instantaneous change-of-state (the moment of perceiving/learning information) without a durative process phase, triggering the first set_to_0_if condition.",0.0,high,"The event 'have heard' unfolds over a measurable duration (the act of hearing/perceiving something) rather than occurring at a single temporal boundary, triggering the first set_to_0_if condition.",0.0,high,"The verb phrase 'have heard' denotes a bounded perceptual event marking the onset of awareness (hearing/learning that something was said), which is a single completed occurrence rather than a dynamic activity with sustained engagement.",0,high,"The event 'have heard' entails a transition into a new resulting state (the state of having acquired knowledge/perception), which triggers the set_to_0_if condition for AktSemel.",0,high,"The verb 'heard' denotes a bounded perceptual event marking the onset of awareness, which encodes eventive change rather than a static condition, triggering the set_to_0_if rule for perceptual events.",0,high,"The clause 'You have heard it was said' presents the situation as having actually occurred in the actual world without any indication of counterfactuality, matching the first set_to_0_if condition.",0.0,high,"The negator 'not' in the sentence negates 'commit adultery', not the target gram 'have heard', which remains affirmative.",0,high,There is no temporal adverbial of any sort present in the text; the phrase 'have heard' is a perfect aspect verb form without an accompanying temporal adverbial modifier.,1,high,"The present perfect 'have heard' expresses a past experience relevant to the present without entailing a resulting state, change of possession, change of location, or duration adverbial, thus instantiating the experiential perfect feature DtExp.",1,high,"The verb 'have heard' entails a resulting state (knowledge/awareness of what was said) that holds at the reference time, and none of the set_to_0_if conditions apply.",0,high,"The phrase 'have heard' describes a discrete bounded event of receiving/perceiving information in the past, rather than a situation holding continuously across a time span.",1,high,"The present perfect 'have heard' presents a past event (hearing) as completed and relevant to the present moment, construing it as a bounded whole rather than profiling internal temporal development, and none of the set_to_0_if conditions apply.",0,high,"The gram 'have heard' asserts a realized situation in the actual world (past experience of hearing) with no modal, conditional, future, or wish context applying, triggering the set_to_0_if condition.",0.0,high,"The target 'have heard' is formed with present-tense 'have' followed by the past participle 'heard' with no additional modal, future, or progressive marking, which matches the set_to_0_if condition.",1.0,high,"The target 'have heard' is a present perfect passive construction where the grammatical subject 'You' is the semantic patient (recipient of the hearing/information), not the agent, and 'heard' is a verbal past participle functioning as passive, meeting the criteria for VcPass.",Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,1,high,"The verb 'have heard' introduces an overt internal argument ('it said'), which is a direct object that represents the affected patient of the hearing action.",0,high,"The target verb 'have heard' licenses an external argument (the subject 'You' as the experiencer/agent) and introduces an overt direct object ('it'), satisfying two set_to_0_if conditions.",0,high,"The verb 'have heard' licenses an internal argument ('it said'), which triggers the first set_to_0_if condition.",0,high,"The verb phrase 'have heard' denotes a punctual or near-instantaneous change-of-state (the moment of hearing/perceiving something) without a durative process phase, triggering the first set_to_0_if condition.",0.0,high,"The event 'have heard' unfolds over a measurable duration (the period during which one has been hearing/learning this saying) rather than occurring at a single temporal boundary, triggering the first set_to_0_if condition.",0.0,high,"The verb phrase 'have heard' denotes a bounded perceptual event marking the onset of awareness (hearing the saying), which is a single completed occurrence rather than a dynamic activity with sustained engagement.",0,high,"The event 'have heard' entails a transition into a new resulting state (the state of having heard/knowing something), which triggers the set_to_0_if condition for AktSemel.",0,high,"The verb 'heard' denotes a bounded perceptual event marking the onset of awareness, which encodes eventive change rather than a static condition, triggering the set_to_0_if rule for perceptual events.",0,high,"The clause 'You have heard it said' presents a situation as having actually occurred in the actual world without any counterfactual marking, thus failing the ClCntfcl feature.",0.0,high,No negator appears in the sentence to negate 'have heard'; the sentence is a positive statement about hearing something said.,0,high,There is no temporal adverbial of any sort present in the text; 'have heard' is a perfect aspect verb phrase but lacks a temporal adverbial modifier to instantiate DtDTAM.,1,high,"The present perfect 'have heard' expresses a past experience relevant to the present without entailing a resulting state, change of possession, change of location, or duration adverbial, thus instantiating the DtExp (Distant Time Experience) feature.",1,high,"The present perfect 'have heard' entails a resulting state (knowledge of having heard the saying) that holds at the reference time, and none of the set_to_0_if conditions apply.",0,high,"The verb 'have heard' describes a discrete bounded event (the act of hearing something said) rather than a situation holding continuously across time, triggering the first set_to_0_if condition.",1,high,"The present perfect 'have heard' presents a past event (hearing the saying) as completed and relevant to the present moment, construing it as a bounded whole rather than profiling internal temporal development, and none of the set_to_0_if conditions apply.",0,high,"The gram 'have heard' asserts a realized situation in the actual world (present perfect indicating a completed past action with present relevance) with no modal, conditional, future, or wish contexts present.",0.0,high,"The target 'have heard' is formed with present-tense 'have' followed by the past participle 'heard' with no additional modal, future, or progressive marking, which matches the set_to_0_if condition exactly.",0.0,high,"The grammatical subject 'You' is the semantic agent (the one who heard), and the grammatical object 'it' is the semantic patient (what was heard), matching active voice structure rather than passive voice.",Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,1,high,"The verb 'have heard' introduces an overt internal argument: the direct object 'it' (referring to the quoted statement), satisfying the requirement for ASTrns.",0,high,"The target verb 'have heard' licenses an external argument (the subject 'You' as the experiencer/agent) and introduces an overt direct object ('it'), triggering set_to_0_if conditions 1 and 2.",0,high,"The verb 'have heard' licenses an internal argument (the direct object 'it'), which triggers the first set_to_0_if condition.",0,high,"The perfective present 'have heard' denotes a completed change-of-state (transition from not having heard to having heard) without a durative process phase, matching the first set_to_0_if condition.",0.0,high,"The event 'have heard' unfolds over a measurable duration (the period during which one has been hearing/has heard something) rather than occurring at a single temporal boundary, triggering the first set_to_0_if condition.",0.0,high,"The verb phrase 'have heard' denotes a bounded perceptual event marking the onset of awareness (hearing/becoming aware of a saying), which is treated as a single completed occurrence rather than an activity with dynamic unfolding.",0,high,"The target 'have heard' is a present perfect form describing a completed perceptual event with no transition into a new resulting state, no measurable duration, and no iterative construal in context.",0,high,"The verb 'heard' denotes a bounded perceptual event marking the onset of awareness, which encodes eventive change rather than a static condition, triggering the set_to_0_if rule for perceptual events.",0,high,"The clause presents the situation as having actually occurred in the actual world (you have heard it said), without any indication that it is contrary to fact.",0.0,high,No negator occurs in the sentence that negates 'have heard'; the sentence is affirmative and contains no negation operator.,0,high,There is no temporal adverbial of any sort present in the text; 'have heard' is a perfect aspect verb form but lacks a temporal adverbial modifier to instantiate DtDTAM.,1,high,"The present perfect 'have heard' expresses a past experience relevant to the present without entailing a resulting state, change of possession, change of location, or duration adverbial, thus instantiating the DtExp (Distant Time Experience) feature.",1,high,"The present perfect 'have heard' entails a resulting state (knowledge/experience of having heard the saying) that holds at the reference time, and none of the set_to_0_if conditions apply.",0,high,The phrase 'have heard it said' describes a discrete bounded event of hearing/receiving information rather than a continuous situation holding over time.,1,high,"The present perfect 'have heard' presents a past event (hearing) with relevance to the present moment as a bounded, completed whole, not as an ongoing internal development, and none of the set_to_0_if conditions apply.",0,high,"The gram 'have heard' asserts a realized situation in the actual world (present perfect indicating a completed past action with present relevance) with no modal, conditional, future, or wish contexts applying.",0.0,high,"The target 'have heard' is formed with present-tense 'have' followed by the past participle 'heard' with no additional modal, future, or progressive marking, which matches the set_to_0_if condition.",0.0,high,"The grammatical subject 'You' is the semantic agent (the one who heard), and the grammatical object 'it' is the semantic patient (what was heard), matching active voice structure rather than passive voice.",Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,1,high,"The verb 'have been paid' introduces an overt internal argument 'in full' (adverbial complement specifying the manner/extent of payment), and the passive construction implies an affected patient (the hypocrites receiving payment), satisfying the requirements for ASTrns.",0,high,"The target verb 'have been paid' is morphologically passive and the lexical verb 'pay' licenses an external argument (the agent performing the payment, suppressed in the passive construction), triggering the third set_to_0_if condition.",0,high,"The verb 'have been paid' licenses an internal argument ('they' as the patient/theme of the passive construction), triggering the first set_to_0_if condition.",0,high,"The verb 'have been paid' denotes a punctual change-of-state (transition to a paid state) without a durative process phase, triggering the first set_to_0_if condition.",0.0,high,The event 'have been paid in full' is punctual and does not entail a transition into a new result state; it describes a completed payment as a single bounded event rather than an achievement with a resultant state change.,0.0,high,"The phrase 'have been paid in full' denotes a bounded event with a specific endpoint (full payment received), satisfying the first set_to_0_if condition, and can be modified by 'in X time' (e.g., 'have been paid in full in one day'), satisfying the second condition.",0,high,"The target 'have been paid' entails a transition into a new resulting state (the hypocrites moving from unpaid to paid), which triggers the set_to_0_if condition for AktSemel.",0,high,"The gram 'have been paid' is morphologically marked as progressive perfect aspect ('have been'), which entails dynamic unfolding and eventive progression incompatible with stative readings, triggering the set_to_0_if condition.",0,high,"The clause 'they have already been paid in full' presents a situation as actually occurring in the actual world (the hypocrites have received their reward), without any indication that it is contrary to fact.",0.0,high,"The negator 'not' in the sentence applies to 'announce', not to the target gram 'have been paid', which is in a separate clause expressing a positive assertion about reward.",0,high,"The adverbial 'already' is vague and does not establish a specific temporal anchor point, triggering the set_to_0_if condition for vague temporal expressions.",0,high,"The verb 'have been paid' entails a change of possession/status (receiving payment) that remains in effect at the reference time, triggering the set_to_0_if condition.",1,high,"The verb 'have been paid' entails a resulting state (payment received) that holds at the reference time, and none of the set_to_0_if conditions apply: the verb entails a resulting state, there is no return involved, the clause is affirmative, and there is no duration adverbial.",0,high,"The verb phrase 'have been paid' describes a completed transition into a state of having received payment, focusing on the resultant state rather than a continuous situation, and the adverbial 'already' emphasizes the bounded completion of this event.",0,high,"The clause 'they have already been paid in full' contains the present perfect passive form 'have been paid', which profiles the internal temporal development of a process (the paying) rather than presenting a bounded whole, and the adverbial 'already' emphasizes the ongoing relevance of the state rather than a perfective boundary.",0,high,"The gram 'have been paid' asserts a realized situation in the actual world (the hypocrites have already received their reward), with no modal, conditional, future, or wish context applying.",0.0,high,"The target 'have been paid' contains present-tense 'have' followed by a past participle 'been paid' with no additional modal, future, or progressive marking, matching the set_to_0_if condition exactly.",1.0,high,"The target 'have been paid' is a passive construction where the grammatical subject 'they' is the semantic patient (recipients of payment) rather than the agent, and 'paid' is a verbal past participle functioning as a passive, not a copular complement.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,1,high,"The verb 'have been paid' introduces an overt internal argument ('their reward'), making it transitive; the passive construction does not eliminate the underlying object relation.",0,high,"The target verb 'have been paid' is morphologically passive and the lexical verb 'pay' licenses an external argument (the agent performing the payment), triggering the third set_to_0_if condition.",0,high,"The verb 'have been paid' licenses an internal argument ('they' functions as the theme/patient receiving payment), triggering the first set_to_0_if condition.",0,high,"The verb 'have been paid' denotes a completed change-of-state (transition to a paid condition) without a durative process phase, matching the first set_to_0_if condition for punctual boundary transitions.",0.0,high,"The event 'have been paid in full' unfolds over a measurable duration (the process of payment) rather than occurring at a single temporal boundary, triggering the first set_to_0_if condition.",0.0,high,"The situation entails a specific, inherent endpoint (receiving full payment), can be modified by 'in X time' adverbials ('they have been paid in full in one day'), and marks completion of a bounded event rather than dynamic unfolding.",0,high,"The event 'have been paid' entails a transition into a new resulting state (the state of being paid/compensated), which triggers the set_to_0_if condition.",0,high,"The gram 'have been paid' is morphologically marked as progressive perfect aspect, which entails dynamic eventive unfolding (the process of receiving payment) and is incompatible with stative readings per the set_to_0_if conditions.",0,high,"The clause presents the situation as having actually occurred in the actual world ('they have been paid in full' is asserted as fact), without any indication that it is contrary to fact.",0.0,high,"The negator 'not' in the sentence negates 'pray', not the target gram 'have been paid', which expresses a positive assertion about receiving full payment.",0,high,"There is no temporal adverbial of any sort present in the clause 'they have been paid in full'; 'in full' is a manner/degree adverbial, not a temporal one.",0,high,"The verb 'have been paid' entails a change of possession (receiving payment) that remains in effect at the reference time, triggering the set_to_0_if condition.",1,high,"The present perfect 'have been paid' entails a resulting state (payment is complete and holds at reference time) with no negation, duration adverbial, or motion-return condition present.",0,high,"The phrase 'have been paid in full' describes a completed transition into a state of payment rather than a situation holding continuously over time, triggering the set_to_0_if condition about transitions into new states.",1,high,"The target 'have been paid' is a present perfect passive form that presents the completion of a bounded event (receiving payment in full) as a whole, without profiling internal temporal development, stative continuity without transition, duration, negation with 'not yet', or overlap with another situation.",0,high,"The target 'have been paid' asserts a realized situation in the actual world within the speaker's assurance, with no modal, conditional, future, or wish contexts applying.",0.0,high,"The target 'have been paid' is formed with present-tense 'have' followed by a past participle 'been paid', matching the set_to_0_if condition exactly, with no additional modal, future, or progressive marking.",1.0,high,"The target 'have been paid' is a passive construction where the grammatical subject 'they' is the semantic patient (recipients of payment), not the agent, and 'paid' is a verbal past participle functioning as a passive auxiliary complement, not a copular predicate.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
