TokenID,FullText,Target,ASTrns,ASTrns_conf,ASTrns_explanation,ASUncc,ASUncc_conf,ASUncc_explanation,ASUnrg,ASUnrg_conf,ASUnrg_explanation,AktAcc,AktAcc_conf,AktAcc_explanation,AktAch,AktAch_conf,AktAch_explanation,AktAct,AktAct_conf,AktAct_explanation,AktSemel,AktSemel_conf,AktSemel_explanation,AktState,AktState_conf,AktState_explanation,ClCntfcl,ClCntfcl_conf,ClCntfcl_explanation,ClNegPol,ClNegPol_conf,ClNegPol_explanation,DtDTAM,DtDTAM_conf,DtDTAM_explanation,DtExp,DtExp_conf,DtExp_explanation,DtRes,DtRes_conf,DtRes_explanation,DtUniv,DtUniv_conf,DtUniv_explanation,TLAspPfv,TLAspPfv_conf,TLAspPfv_explanation,TLMdIrr,TLMdIrr_conf,TLMdIrr_explanation,TLTS,TLTS_conf,TLTS_explanation,VcPass,VcPass_conf,VcPass_explanation,DtExp/DtRes,DtExp/DtUniv,DtRes/DtUniv,DtExp/DtRes/DtUniv,DtHP,DtHP_excused,ASTrns/ASUncc,ASTrns/ASUnrg,ASUncc/ASUnrg,ASTrns/ASUncc/ASUnrg,ASHP,AktState/AktAct,AktAcc/AktAch,AktMultiple,AktHP,TLAspPfv/DtUniv,TLAspPfv/AktState,TLAspPfv/AktAct
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,1,high,"The verb phrase 'had been promised' includes an overt internal argument 'to Joseph', indicating an affected argument is present.",0,high,"The clause contains an overt direct grammatical object 'to Joseph' introduced by the target verb 'had been promised', triggering the set_to_0_if condition.",1,high,"The verb phrase 'had been promised' licenses an external argument (Mary) who is the recipient of the promise, and the verb does not denote change-of-state, change-of-location, or existence without an external argument.",0,high,"The verb phrase 'had been promised' denotes a punctual change-of-state (a promise given) without a durative process or inherent endpoint, matching the set_to_0_if condition for punctual change-of-state verbs.",0,high,'had been promised' describes a state resulting from a prior event rather than a punctual event with a transition into a new result state.,0,high,"The phrase 'had been promised' describes a state resulting from a prior action, indicating a completed, inherent endpoint (a promise made), thus matching the 'set_to_0_if' condition for a specific, inherent endpoint.",0,high,"The event 'had been promised' entails a transition into a new resulting state (Mary being promised to Joseph), so per the rules it is set to 0.",1,high,"'had been promised' describes a stative condition (a prior promise) without dynamic change or eventive unfolding, thus instantiating AktState.",0,high,The clause presents the situation as having actually occurred in the actual world without any indication that it is contrary to fact.,0,high,"No negator appears in the sentence negating the eventuality expressed by 'had been promised'; thus, ClNegPol is not instantiated.",0,high,"The phrase 'had been promised' does not contain any temporal adverbial or marker establishing a specific temporal anchor, and no temporal information is present in the clause.",1,high,The phrase 'had been promised' indicates a completed life experience (a past promise) without any duration adverbial or change of state/location entailed at the reference time.,1,high,"The phrase 'had been promised' entails a resulting state of a promise holding at the reference time, with no negation, duration adverbial, or motion verb conditions present.",0,high,"The clause describes a discrete event of promise rather than a continuous situation, and the verb 'had been promised' entails a transition into a new state.",0,high,"The gram 'had been promised' is in the form 'be' + -ing (past perfect passive), denoting a stative situation without a construed boundary and no transition is introduced; thus, it does not instantiate TLAspPfv.",0,high,"The phrase 'had been promised' asserts a past situation as realized in the actual world without any modal, conditional, future, or wish context, triggering the set_to_0_if condition.",0,high,"The gram 'had been promised' is formed with past-tense 'had' plus 'been' and a past participle, not present-tense 'have' or 'has', so the set_to_0_if condition does not apply; however, the presence of 'been' indicates a perfect progressive or passive construction, which is not the simple present perfect targeted by TLTS.",1,high,"The phrase 'had been promised' includes 'been' as an auxiliary forming a passive construction with the past participle 'promised'; the subject 'Mary' is the patient, not the agent, so it instantiates VcPass.",Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,1,high,"The verb 'had commanded' introduces an overt internal argument 'him' which is the affected patient, satisfying the ASTrns feature.",0,high,"The target verb 'had commanded' licenses an external argument ('the angel of God'), so per the set_to_0_if rule, annotation is 0.",0,high,"The verb 'had commanded' licenses an internal argument 'him' (indirect object), so per the set_to_0_if rule, ASUnrg is 0.",1,high,"'had commanded' denotes a completed action with an inherent endpoint (the issuing of a command), not a punctual change-of-state or a durative event without endpoint.",0,high,"'had commanded' describes a past action that does not unfold over a measurable duration nor is it a punctual event leading to a new result state; it is a stative or perfective past action without transition, thus set_to_0_if conditions apply.",0,high,"The verb phrase 'had commanded' describes a completed, bounded event with a specific inherent endpoint (the issuing of a command), fitting the set_to_0_if conditions.",1,high,"'had commanded' describes a single completed action (a command given) without indicating a transition to a new state, duration, or iteration.",0,high,"'had commanded' is morphologically past perfect, indicating a completed action (event boundary) rather than a stative condition, thus it does not instantiate AktState.",0,high,"The clause presents the situation as having actually occurred in the actual world, with no indication that it is contrary to fact.",0,high,No negator appears in the sentence that negates the eventuality expressed by 'had commanded'; the sentence affirms the command.,0,high,"The clause contains no temporal adverbial or temporal anchor; 'had commanded' is a past perfect form indicating anteriority but without explicit temporal adverbial, so DtDTAM is not instantiated.",1,high,"'had commanded' indicates a completed action prior to the reference time, instantiating a definite past experience without any duration adverbial or change of state/location entailed.",1,high,"The verb 'had commanded' entails a resulting state of having given a command that holds at the reference time, with no negation, duration adverbial, or motion verb conditions applying.",0,high,"The clause describes a discrete bounded event (Joseph doing what was commanded) rather than a continuous situation, triggering a set_to_0_if condition.",1,high,"'had commanded' is a past perfect form indicating a completed, bounded action prior to another past event, not a stative or ongoing situation.",0,high,"The phrase 'had commanded' refers to a past event that is presented as realized and factual in the actual world, with no modal, conditional, future, or wish context indicated.",1,high,"'had commanded' is past perfect tense, not present-tense 'have' or 'has' plus past participle, so it instantiates TLTS.",1,high,"The subject 'the angel of God' is the semantic agent who performed the action of commanding, and 'had commanded' is a past perfect verb phrase indicating a passive auxiliary construction is not present, so it instantiates VcPass.",Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,0,high,The verb phrase 'has come near' does not introduce an overt internal argument; it is used intransitively without a direct or indirect object.,1,high,"The target verb phrase 'has come near' does not license or introduce an external argument, there is no overt direct or indirect object, and the clause is not morphologically passive.",0,high,"The verb phrase 'has come near' denotes a change-of-location event with the sole argument functioning as an internal argument (theme/patient), thus triggering the set_to_0_if condition.",0,high,"The verb phrase 'has come near' denotes a punctual or near-instantaneous boundary transition (arriving near), which matches the set_to_0_if condition for punctual change-of-state verbs.",1,high,"'has come near' describes a punctual event indicating a transition into a new state (the kingdom of heaven approaching), not unfolding over a measurable duration or serving as a complement of 'finish'.",0,high,"The phrase 'has come near' entails a specific, inherent endpoint (arriving near), is a single punctual event without durative unfolding, and can be viewed as a bounded event marking a state change, thus fitting multiple set_to_0_if conditions.",1,high,"The phrase 'has come near' describes a punctual event indicating a transition into a new state (the kingdom of heaven approaching), with no indication of duration or iteration.",0,high,"The phrase 'has come near' denotes a change-of-state or event boundary indicating dynamic progression, which vetoes the AktState feature.",0,high,The clause 'the kingdom of heaven has come near' presents a situation as having actually occurred without any indication that it is contrary to fact.,0,high,"The sentence contains no negation; 'has come near' is affirmed, so ClNegPol is not instantiated.",1,high,"The phrase 'has come near' includes a perfect tense form indicating a temporal aspect, and the full text contains a temporal adverbial phrase 'for the kingdom of heaven has come near' establishing a temporal anchor.",1,high,"The phrase 'has come near' indicates the kingdom of heaven has arrived or approached, instantiating a definite experience without a duration adverbial or ongoing state, and no change of possession or location that holds at reference time.",0,high,"The verb phrase 'has come near' is a motion verb where the mover has arrived near the reference point, implying the mover is now near (a resulting state), but according to the rules, motion verbs where the mover has returned are set to 0; thus, DtRes is not instantiated.",1,high,"The phrase 'has come near' describes a continuous situation holding across the time span rather than discrete bounded events or explicitly bounded repetition, and the focus is on the state of proximity, not a transition event.",1,high,"The phrase 'has come near' presents a bounded event (the kingdom of heaven arriving near) without any stative or progressive form, duration adverbials, negation, or temporal overlap indicating an open or ongoing situation.",0,high,"The phrase 'has come near' asserts the situation as realized in the actual world with no modal, conditional, future, or wish context present.",0,high,"The target gram is formed with present-tense 'has' followed by a past participle 'come' with no additional modal, future, or progressive marking, triggering the set_to_0_if condition.",0,high,"'has come near' involves an intransitive verb with no passive construction; the subject is the semantic agent and there is no verbal past participle passive complement, so it does not instantiate VcPass.",N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,1,high,The verb phrase 'have approved' introduces an overt internal argument 'my Son' who is the affected patient of the approving action.,0,high,"The target verb 'have approved' licenses an external argument (the subject 'I'), so per the set_to_0_if rule, the feature ASUncc is 0.",1,high,"The verb phrase 'have approved' does not license or realize an internal argument as a direct or indirect object; it denotes an external argument (the approver) acting on a theme (the approved), thus instantiating agency.",1,high,"'have approved' denotes a completed approval event with an inherent result state (the Son being approved), not a punctual change or durative without endpoint.",1,high,"'have approved' denotes a punctual event entailing a transition into a new result state (approval), and does not unfold over a measurable duration nor serve as a complement of 'finish'.",0,high,"The phrase 'have approved' entails a specific, inherent endpoint (the approval) and can be seen as a bounded event without sustained dynamic engagement, thus matching set_to_0_if conditions.",1,high,"The event 'have approved' is a single, punctual occurrence without a transition into a new resulting state or durative/iterative context.",1,high,"'have approved' denotes a stative condition of having given approval, with no dynamic change or eventive unfolding indicated.",0,high,The clause presents the situation as having actually occurred in the actual world without any indication that it is contrary to fact.,0,high,"No negator appears in the sentence negating 'have approved'; the phrase expresses affirmation, so ClNegPol is not instantiated.",0,high,"The adverbial 'Then' is a logical connector indicating sequence rather than a specific temporal anchor, and no explicit temporal adverbial is present in the clause containing 'have approved'.",1,high,"The verb 'have approved' indicates a completed life experience (approval granted) without any duration adverbial or change of state/location that holds at the reference time, so it instantiates DtExp.",1,high,"'have approved' entails a resulting state of approval that holds at the reference time, with no negation or duration adverbial present.",0,high,"The verb phrase 'have approved' entails a transition into a new state (approval), focusing on the event of approval rather than a continuous situation, thus triggering a set_to_0_if condition.",1,high,"The verb phrase 'have approved' is a present perfect form indicating a completed, bounded event of approval, not a stative or ongoing situation, and none of the set_to_0_if conditions apply.",0,high,"The phrase 'have approved' asserts a situation realized in the actual world with no modal, conditional, future, or wish context present.",0,high,"The target gram 'have approved' is formed with present-tense 'have' followed by a past participle, with no additional modal, future, or progressive marking, triggering the set_to_0_if condition.",0,high,"The grammatical subject 'I' is the semantic agent who performs the action of approving, so the verb phrase 'have approved' is active, not passive.",Y,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,Y,N
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,1,high,"The verb phrase 'had been arrested' includes the overt internal argument 'John', who is the affected patient of the arrest event.",1,high,"The target verb phrase 'had been arrested' is morphologically passive and the clause contains no overt external argument or direct/indirect object introduced by the verb, so it instantiates ASUncc.",0,high,"The verb 'had been arrested' licenses an internal argument (John as the patient/theme), so per the set_to_0_if rule, ASUnrg is 0.",1,high,"'had been arrested' denotes a completed change-of-state event with an inherent endpoint (the arrest), and the event is not durative without endpoint nor modifiable by 'for X time' without implying completion.",1,high,"The phrase 'had been arrested' describes a punctual event entailing a transition into a new result state (being under arrest), and it does not unfold over a measurable duration nor serve as a complement of 'finish'.",0,high,"The phrase 'had been arrested' entails a specific, inherent endpoint (the arrest event is completed) and denotes a bounded event without dynamic unfolding.",1,high,"The event 'had been arrested' is a single, completed occurrence without indication of duration, iteration, or transition into a new resulting state beyond the arrest itself.",0,high,"'had been arrested' is morphologically progressive (past perfect progressive), indicating a dynamic change of state (arrest), which vetoes AktState.",0,high,"The clause presents the situation as having actually occurred in the actual world, with no indication it is contrary to fact.",0,high,"The sentence contains no negation; therefore, the target gram 'had been arrested' is not negated.",1,high,"The target verb phrase 'had been arrested' is in the past perfect tense, which encodes a definite temporal anchor prior to another past event, thus instantiating DtDTAM.",1,high,"The verb phrase 'had been arrested' indicates a completed life experience without duration adverbials or ongoing state, and does not entail a change of possession, social/legal status that remains at reference time, or a change of location.",1,high,The verb phrase 'had been arrested' entails a resulting state (being under arrest) that holds at the reference time; no set_to_0_if conditions apply.,0,high,"The clause describes a discrete bounded event (the arrest) rather than a continuous situation, and the verb 'had been arrested' entails a transition into a new state focusing on that event.",1,high,"The target gram 'had been arrested' is a past perfect passive form indicating a completed, bounded event; it is not a 'be' + -ing form, does not denote a stative situation without boundary, contains no duration adverbials, is not negated with 'not yet', and is not temporally overlapping with another situation.",0,high,"The phrase 'had been arrested' asserts a past event as realized in the actual world with no modal, conditional, future, or wish context present.",1,high,"'had been arrested' is past perfect passive, not present-tense 'have' or 'has' plus past participle, so the set_to_0_if condition does not apply.",1,high,"'had been arrested' contains 'been' followed by a verbal past participle 'arrested' indicating a passive construction, and the subject 'John' is the patient, not the agent.",Y,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,1,high,"The target verb 'have heard' introduces an overt internal argument 'it', indicating an affected patient.",0,high,The target verb 'have heard' licenses an external argument ('You') and the clause contains an overt direct object ('it').,1,high,"The verb phrase 'have heard' does not license or realize an internal argument as a theme or patient, nor does it denote a change-of-state, change-of-location, or existence/appearance event; it denotes a perception event with an external argument.",0,high,"'have heard' denotes a stative/perfective state without a durative process or inherent endpoint, and can be modified by 'for X time' without implying completion, thus failing the AktAcc feature.",0,high,"'have heard' is a stative/perfective construction indicating a past experience, not a punctual event with a transition into a new result state.",0,high,"The verb phrase 'have heard' denotes a bounded perceptual event marking the onset of awareness, which fits the set_to_0_if condition for AktAct.",1,high,"'have heard' is a punctual event of perceiving information, not iterative or durative, nor does it entail a transition to a new state.",0,high,"'have heard' denotes a bounded perceptual/cognitive event marking the completion of awareness, which is incompatible with AktState.",0,high,The clause presents the situation as having actually occurred without any indication that it is contrary to fact.,0,high,"The negation 'not' in the sentence applies to 'commit adultery', not to the target gram 'have heard', so the target gram is not negated.",0,high,The phrase 'have heard' does not contain any temporal adverbial or marker establishing a specific temporal anchor; it is a perfect aspect verb without explicit DtDTAM feature.,1,high,"The verb 'have heard' indicates a completed life experience without any duration adverbial or change of state/location, thus instantiating DtExp.",0,high,The verb phrase 'have heard' is a bare perception event that does not entail a resulting state holding at the reference time.,0,high,"The clause 'You have heard it was said' describes a discrete event of hearing rather than a continuous situation, and the verb 'have heard' entails a transition into a new state of knowledge, triggering the set_to_0_if conditions.",1,high,"The target 'have heard' is a present perfect form indicating a completed event with relevance to the present, not a stative or durative form, and no set_to_0_if conditions apply.",1,high,"The phrase 'have heard' is in the present perfect, indicating a past event relevant to the present, and the context is a reported statement, not asserting the situation as realized in the actual world but rather referencing hearsay, thus instantiating TLMdIrr.",0,high,"The target gram 'have heard' is formed with present-tense 'have' followed by a past participle with no additional modal, future, or progressive marking, matching the set_to_0_if condition.",1,high,"The phrase 'have heard' is a perfect construction with 'heard' as a past participle verb indicating a passive or experiential meaning; the subject 'You' is the experiencer, not the agent, and the verb is not copular, so it instantiates VcPass.",N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,1,high,"The verb phrase 'have heard' includes the overt internal argument 'it', indicating an affected patient is syntactically realized.",0,high,"The target verb 'have heard' licenses an external argument ('You'), and the clause contains an overt direct object ('it').",1,high,"The verb phrase 'have heard' does not license an internal argument as a theme or patient in the sense of a change-of-state or change-of-location event, nor does it denote existence or appearance without an external argument; it involves an external experiencer argument, thus instantiating ASUnrg.",0,high,"'have heard' denotes a stative perfect aspect indicating a past experience without a durative process or inherent endpoint, and it cannot be naturally modified by a durative 'for X time' adverbial implying completion.",0,high,"'have heard' describes a past experience without indicating a punctual event or a transition into a new result state, and it can occur as the complement of 'finish' (e.g., 'He finished hearing'), thus matching set_to_0_if conditions.",0,high,"The verb phrase 'have heard' denotes a bounded perceptual event marking the onset of awareness, treated as a single completed occurrence, triggering a set_to_0_if condition.",0,high,The event 'have heard' unfolds over a measurable duration rather than occurring as a single punctual occurrence.,0,high,"'have heard' denotes a bounded perceptual event marking the completion of awareness, which is incompatible with a stative AktState reading.",0,high,"The clause 'You have heard it said' presents a situation that has actually occurred without any indication of being contrary to fact, so it is not counterfactual.",0,high,The sentence contains no negation; 'have heard' is affirmed and not negated.,0,high,"The phrase 'have heard' lacks any temporal adverbial and does not establish a specific temporal anchor, so it does not instantiate DtDTAM.",1,high,"'have heard' indicates a completed life experience without any duration adverbial or change of state/location, fitting DtExp positively.",0,high,'have heard' is a bare perception event that does not entail a resulting state holding at the reference time,1,high,The clause 'You have heard it said' describes a continuous state of having knowledge or experience rather than discrete bounded events or transitions.,1,high,"The target 'have heard' is a present perfect form indicating a completed event with relevance to the present, not a stative situation or ongoing internal development, and no set_to_0_if conditions apply.",0,high,"The phrase 'have heard' asserts a past event as realized in the actual world without any modal, conditional, future, or wish context.",0,high,"The gram is formed with present-tense 'have' followed by a past participle with no additional modal, future, or progressive marking, triggering the set_to_0_if condition.",1,high,"The subject 'You' is the experiencer, not the agent causing the hearing, and 'have heard' is a verbal past participle indicating a passive-like construction, with no evidence of a copular 'been' or non-verbal predicate.",N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,N
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,1,high,"The verb phrase 'have heard' includes the overt internal argument 'it', indicating an affected patient.",0,high,"The target verb 'have heard' licenses an external argument (the subject 'You'), and the clause contains an overt direct object 'it' introduced by the target verb.",1,high,"The verb phrase 'have heard' does not license or realize an internal argument as its object 'it' is external to the verb's core event, and it does not denote a change-of-state, change-of-location, or existence/appearance without an external argument.",1,high,"'have heard' denotes a completed action with an inherent result state (having received information), and is not punctual or durative without endpoint, thus instantiating AktAcc.",0,high,"'have heard' is a stative/perfective construction indicating a state of having received information, not a punctual event with a transition to a new result state.",0,high,"'have heard' denotes a bounded cognitive event marking the onset of awareness, fitting the set_to_0_if condition for a punctual event without durative unfolding.",1,high,"The event 'have heard' is a single, punctual occurrence without a resulting state or durative/iterative context.",0,high,"The verb 'have heard' denotes a bounded perceptual event marking the completion of awareness, which is incompatible with the AktState feature.",0,high,"The clause 'You have heard it said' presents a situation that has actually occurred without any indication that it is contrary to fact, so it is not counterfactual.",0,high,The sentence contains no negation affecting 'have heard'; the negator 'not' is absent and no negation applies to the target gram.,0,high,The full text contains no temporal adverbial or temporal anchor associated with 'have heard'; the phrase is a simple perfect construction without explicit DtDTAM feature.,1,high,"'have heard' here indicates a completed experience without duration adverbials or change of state/location, fitting DtExp feature.",0,high,The verb phrase 'have heard' is a bare perception event that does not entail a resulting state holding at the reference time.,1,high,"The clause 'You have heard it said' describes a situation holding continuously across the time span of having heard, not a discrete bounded event or explicitly bounded repetition, nor focusing on a transition into a new state.",1,high,"The target 'have heard' is a present perfect form indicating a completed event with relevance to the present, not a stative or durative form, and does not meet any set_to_0_if conditions.",0,high,"The phrase 'You have heard' asserts a past event as realized in the actual world without any modal, conditional, future, or wish context.",0,high,"The target gram is formed with present-tense 'have' followed by a past participle 'heard' with no additional modal, future, or progressive marking, matching the set_to_0_if condition.",1,high,"The subject 'You' is the experiencer, not the agent causing the hearing, and 'have heard' is a verbal past participle indicating a passive-like construction where the event is received rather than initiated.",N,Y,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Y,N,N
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,0,high,The verb phrase 'have been paid' is used without an overt internal argument; the patient is not syntactically realized.,0,high,"The clause contains an overt direct grammatical object 'in full' associated with the target verb 'have been paid', and the verb licenses an external argument (the implicit payer), so the feature ASUncc is set to 0.",1,high,"'have been paid' is a passive construction indicating a completed action with an external argument (the recipient), and does not denote a change-of-state or existence without an external argument.",1,high,"'have been paid' denotes a completed change-of-state with an inherent endpoint (payment completed), so it instantiates AktAcc.",0,high,"'have been paid' describes a completed state rather than a punctual event with a transition; it does not unfold over a measurable duration but indicates a resultant state, thus failing the AktAch feature criteria.",0,high,"The phrase 'have been paid' describes a completed, bounded state with a specific endpoint (being fully paid), fitting the set_to_0_if conditions.",0,high,"The phrase 'have been paid' entails a resulting state (already having received payment), not a punctual single occurrence.",1,high,"'have been paid' is a perfect passive form indicating a completed state rather than dynamic change or eventive unfolding, thus instantiating AktState.",0,high,The clause 'they have already been paid in full' presents the situation as having actually occurred in the actual world without any indication that it is contrary to fact.,1,high,"The phrase 'have been paid' is negated in the sense that the payment is already completed, indicating a negative polarity on the eventuality of being paid; no negator in the sentence negates a different event than the target gram.",1,high,"The phrase 'have already been paid' includes the temporal adverb 'already,' which establishes a specific temporal anchor indicating the action is completed prior to now.",0,high,"The verb phrase 'have been paid' entails a change of possession that remains in effect at the reference time, triggering a set_to_0_if condition.",1,high,"'have been paid' entails a resulting state of having received payment that holds at the reference time, with no negation or duration adverbial present.",0,high,"The phrase 'have been paid' entails a transition into a new state (being paid), focusing on the completion of payment rather than a continuous situation.",1,high,"The phrase 'have been paid' is a perfect passive construction indicating a completed, bounded event, not a stative or ongoing situation, and no set_to_0_if conditions apply.",0,high,"The phrase 'have already been paid' asserts the situation as realized in the actual world with no modal, conditional, future, or wish context.",0,high,"The gram 'have been paid' is formed with present-tense 'have' followed by a past participle, with no additional modal, future, or progressive marking, triggering the set_to_0_if condition.",1,high,"'have been paid' is a verbal passive construction where the subject ('they') is the patient, not the agent, and 'paid' is a verbal past participle, not a non-verbal predicate.",N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,0,high,"The target verb phrase 'have been paid' is used without an overt internal argument, as the phrase 'in full' is an adverbial phrase and no direct or indirect object is syntactically realized.",1,high,"The target verb phrase 'have been paid' is passive and does not license or introduce an external argument, nor is there an overt direct or indirect object introduced by the target verb.",0,high,"The verb phrase 'have been paid' licenses an internal argument (the recipient of payment), so per the rules, ASUnrg is set to 0.",1,high,"'have been paid' denotes a completed change-of-state with an inherent result state (payment completed), thus instantiating AktAcc.",1,high,"'have been paid' describes a completed event resulting in a new state (payment completed), it is punctual and does not unfold over a measurable duration.",0,high,"The phrase 'have been paid' entails a specific, inherent endpoint (payment completed) and denotes a bounded event without durative unfolding, triggering set_to_0_if conditions.",1,high,"The phrase 'have been paid' describes a completed event without indicating a transition into a new resulting state, durative unfolding, or iterative repetition, thus instantiating AktSemel.",1,high,"'have been paid' is a perfect passive construction indicating a completed state resulting from a prior action, with no dynamic unfolding or change currently taking place, thus instantiating AktState.",0,high,The clause 'they have been paid in full' presents the situation as having actually occurred without any indication that it is contrary to fact.,1,high,"The phrase 'have been paid' is negated in the sentence by the context implying a negative evaluation, and no negator in the sentence negates a different eventuality than the target gram.",0,high,"The phrase 'have been paid' lacks any temporal adverbial or marker establishing a specific temporal anchor, and no temporal information is present in the full text.",1,high,"'have been paid' indicates a completed life experience (payment received) without any duration adverbial or ongoing state, so it instantiates DtExp.",1,high,"'have been paid' entails a resulting state (being paid) that holds at the reference time, with no negation or duration adverbial present.",0,high,"The phrase 'have been paid' entails a completed transition into a new state (being paid), focusing on the result rather than a continuous situation, triggering a set_to_0_if condition.",1,high,"'have been paid' is a perfect passive construction presenting a completed, bounded event, not a stative or ongoing situation.",0,high,"The phrase 'have been paid' asserts a completed situation in the actual world with no modal, conditional, future, or wish context present.",0,high,"The target gram 'have been paid' is formed with present-tense 'have' followed by a past participle, with no additional modal, future, or progressive marking, triggering the set_to_0_if condition.",1,high,"'have been paid' is a passive verbal construction where the subject 'they' is the patient, not the agent, and 'paid' is a verbal past participle indicating passive voice.",Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N
