TokenID,FullText,Target,ASTrns,ASTrns_conf,ASTrns_explanation,ASUncc,ASUncc_conf,ASUncc_explanation,ASUnrg,ASUnrg_conf,ASUnrg_explanation,AktAcc,AktAcc_conf,AktAcc_explanation,AktAch,AktAch_conf,AktAch_explanation,AktAct,AktAct_conf,AktAct_explanation,AktSemel,AktSemel_conf,AktSemel_explanation,AktState,AktState_conf,AktState_explanation,ClCntfcl,ClCntfcl_conf,ClCntfcl_explanation,ClNegPol,ClNegPol_conf,ClNegPol_explanation,DtDTAM,DtDTAM_conf,DtDTAM_explanation,DtExp,DtExp_conf,DtExp_explanation,DtRes,DtRes_conf,DtRes_explanation,DtUniv,DtUniv_conf,DtUniv_explanation,TLAspPfv,TLAspPfv_conf,TLAspPfv_explanation,TLMdIrr,TLMdIrr_conf,TLMdIrr_explanation,TLTS,TLTS_conf,TLTS_explanation,VcPass,VcPass_conf,VcPass_explanation,DtExp/DtRes,DtExp/DtUniv,DtRes/DtUniv,DtExp/DtRes/DtUniv,DtHP,DtHP_excused,ASTrns/ASUncc,ASTrns/ASUnrg,ASUncc/ASUnrg,ASTrns/ASUncc/ASUnrg,ASHP,AktState/AktAct,AktAcc/AktAch,AktMultiple,AktHP,TLAspPfv/DtUniv,TLAspPfv/AktState,TLAspPfv/AktAct
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,1,high,"The target 'had been promised' is a passive construction with an overt internal argument ('to Joseph in marriage'), instantiating the transitive feature ASTrns.",1,high,"The target 'had been promised' is a past participle in passive voice construction expressing an uncanceled state (Mary remained in the state of being promised to Joseph), which instantiates the ASUncc feature.",1,high,"The target 'had been promised' is a past participle in passive voice expressing an unrealized or unfulfilled state (Mary was promised to Joseph but the marriage did not occur as planned), which instantiates the ASUnrg feature indicating an unresolved or pending semantic state.",0,high,"The past perfect 'had been promised' describes a single punctual transition into a state of betrothal commitment rather than an event unfolding over measurable duration, classifying it as an achievement.",0.0,high,"The target 'had been promised' is a stative passive construction denoting a state of commitment rather than a punctual boundary transition, thus it does not instantiate the achievement (AktAch) feature.",0,high,"The target 'had been promised' is a passive perfect construction with an internal argument 'to Joseph in marriage' that is a bounded, non-quantized entity (a specific person and state), which entails completion rather than an ongoing activity.",0.0,high,The past perfect 'had been promised' describes a state resulting from a prior action rather than a single bounded occurrence; the context does not construe this as a semelfactive event but as a durative state of being betrothed.,0,high,"The target 'had been promised' is a passive perfect construction describing a completed state of betrothal rather than an action in progress, lacking the dynamic aktional quality required for AktState.",0,high,"The target 'had been promised' is a passive past perfect construction describing a completed action in the past (Mary's betrothal to Joseph), not a counterfactual conditional expressing an unrealized or hypothetical situation.",0,high,"The target 'had been promised' is a passive past perfect construction with no negation markers or negative polarity items, thus does not instantiate ClNegPol.",0,high,"The target 'had been promised' is a past perfect passive verb phrase describing a state of betrothal, not a temporal deictic marker indicating 'at that time' like the DTAM feature requires.",0,high,"The past perfect 'had been promised' establishes a narrative state (Mary's betrothal to Joseph) that is relevant for the subsequent plot point about her pregnancy, following the edge case pattern of non-experiential narrative progression.",0,high,"The stative copular construction 'had been promised' describes Mary's state of being betrothed rather than encoding a transition into that state, and the clause reports a past arrangement without entailing a persisting directive currently in effect.",0,high,"The target 'had been promised' describes a discrete past event (Mary being betrothed to Joseph) rather than a universal or continuous situation, and no 'since' adverbial is present to trigger the edge case rule.",0,high,"The target 'had been promised' is a past perfect passive form expressing a prior completed state rather than a perfective aspect marking; it denotes anteriority and stative condition, not the TLAspPfv feature which marks perfective aspect.",0,high,"The passive perfect 'had been promised' describes a completed state of affairs in the past (Mary was betrothed to Joseph), asserting a realized event in the narrative world rather than projecting unrealized, hypothetical, or desired outcomes.",0,high,"The target 'had been promised' is a past perfect passive construction with a finite past tense auxiliary 'had', not a modal operator, so it does not instantiate tense-locus-time-shift (TLTS) as defined in the edge case rule.",1,high,"The target 'had been promised' instantiates VcPass as it contains the required auxiliary sequence 'have' (had) + 'been' + past participle (promised), marking passive voice with no exclusionary features present.",N,N,N,N,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,1,high,"The verb 'had commanded' has an overt internal argument ('him to do'), satisfying the requirement for ASTrns marking in ambitransitive verbs.",0,high,"The target 'had commanded' is a past perfect form expressing a completed action prior to another past event, not an unaccusative construction (ASUncc), which requires a single argument with patient/theme semantics and no external agent.",1,high,"The target 'had commanded' is a past perfect form expressing an unrealized grammatical subject (the angel's command as a prior completed action relative to Joseph's waking), instantiating the ASUnrg feature.",0,high,The past perfect 'had commanded' describes a completed speech act that is punctual in nature—the issuing of a command constitutes a single transition into a directive state rather than an event unfolding over measurable duration.,0.0,high,"The past perfect 'had commanded' denotes a durative state of obligation or instruction rather than a punctual boundary transition, and does not instantiate the achievement feature.",0,high,"The target 'had commanded' is a perfective past perfect form with a bounded, completed internal argument (the infinitival complement 'him to do'), which entails completion rather than an ongoing activity state.",0.0,high,"The past perfect 'had commanded' describes a prior directive action that Joseph follows, construed as a durative activity rather than a single bounded occurrence, as it establishes an ongoing instruction rather than an instantaneous event.",1,high,"The target 'had commanded' is a past perfect form expressing a completed action state prior to the main narrative event, instantiating the AktState feature.",0,high,"The target 'had commanded' is a past perfect form expressing prior completed action without counterfactual meaning; it describes what actually occurred, not a hypothetical or contrary-to-fact scenario.",0,high,"The target 'had commanded' is a past perfect affirmative construction with no negation markers, negative morphology, or negative polarity items, so it does not instantiate ClNegPol.",0,high,"The target 'had commanded' is a past perfect verb phrase describing a prior action, not a deictic temporal adverbial marking a specific point in time (DtDTAM requires temporal deixis like 'then', 'now', 'here', etc.).",0,high,"The past perfect 'had commanded' establishes a prior state (the angel's command) that is relevant for the subsequent action ('he did what...'), functioning as narrative setup rather than experiential focus.",1,high,"The communication verb 'had commanded' entails a directive that remains in effect—Joseph's subsequent action ('He took Mary to be his wife') demonstrates that the command's result persists as a binding instruction he follows, satisfying the resultative condition.",0,high,"The target 'had commanded' is a past perfect verb in a relative clause describing a specific prior action by the angel, not a universal quantification over entities or situations.",1,high,"The target 'had commanded' is a past perfect form expressing a perfective aspect, indicating a completed action prior to the main narrative event (Joseph waking up and obeying), which instantiates TLAspPfv.",0,high,"The past perfect 'had commanded' describes a realized event in the actual world (the angel's prior command that Joseph actually received and then obeyed), not a hypothetical, counterfactual, or projected situation, so it does not instantiate irrealis.",0,high,"The target 'had commanded' is a past perfect construction with the finite operator 'had' (past tense auxiliary), not a modal operator, so it does not instantiate tense-locus-tense-shift (TLTS) as defined in the edge case rule.",0,high,"The target 'had commanded' is active voice (subject 'angel' performs the action of commanding), not passive voice, which requires the auxiliary sequence 'have' + 'been' + past participle.",N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,0,high,"The verb phrase 'has come near' is intransitive with no overt internal argument; 'near' functions as an adverbial modifier rather than a direct object, so ASTrns (argument structure transitivity) is not instantiated.",1,high,"The target 'has come near' is a present perfect construction expressing a recently completed action with present relevance, which instantiates the ASUncc (aspectual uncanceled) feature indicating an event whose relevance extends to the speech time.",1,high,"The target 'has come near' instantiates ASUnrg (aspectual unergative) as it expresses a perfective action with present relevance using the present perfect construction, indicating a completed event with current significance.",0,high,"The verb 'has come near' describes a punctual transition into a state of proximity rather than an event unfolding over measurable duration, classifying it as an achievement.",1.0,high,The phrase 'has come near' denotes a punctual boundary transition—the kingdom of heaven moving from a state of being distant to being near—which constitutes an achievement despite any preparatory activity preceding it.,0,high,"The target 'has come near' describes a punctual, bounded event of the kingdom of heaven reaching proximity, not an unbounded activity; the internal argument 'the kingdom of heaven' is a definite, quantized entity that entails completion rather than ongoing activity.",0.0,high,"The phrase 'has come near' describes a state or durative process of approach rather than a single bounded occurrence, and the context does not explicitly construe it as a semelfactive event.",1,high,"The target 'has come near' instantiates AktState as it describes a completed action (perfective aspect via present perfect) resulting in a state of proximity, characteristic of aktionsart features that encode the temporal structure and completion of events.",0,high,"The target 'has come near' is a simple present perfect construction describing a completed action with present relevance, not a counterfactual conditional expressing hypothetical or contrary-to-fact meaning.",0,high,"The target 'has come near' is a positive polarity construction expressing proximity/arrival of the kingdom of heaven, with no negation morphology or negative polarity markers present.",1,high,"The target 'has come near' is a present perfect verb phrase indicating a completed action with present relevance, expressing that the kingdom of heaven has arrived at or near the current time, which instantiates the DtDTAM feature for temporal deixis marking a proximal time reference.",1,high,"The phrase 'has come near' expresses a change of state experienced or perceived in the present moment (the kingdom's arrival/approach), which is experiential rather than merely setting a scene for subsequent discourse.",1,high,"The perfect aspect 'has come near' encodes a resultative meaning where the kingdom of heaven has transitioned from a distant/future state to a proximate state that persists in the present moment, entailing a current relevant result rather than merely reporting a past event.",0,high,"The target 'has come near' describes a discrete event (the arrival/approach of the kingdom) rather than a continuous universal state, and the edge case rule about 'since' adverbials does not apply here as there is no 'since' clause in the text.",1,high,"The target 'has come near' is a present perfect construction expressing a completed action with present relevance, which instantiates the perfective aspect feature (TLAspPfv).",0,high,"The present perfect 'has come near' asserts a realized state of affairs in the actual world (the kingdom of heaven has approached), not a hypothetical, desired, or projected event, making it realis rather than irrealis.",0,high,"The target 'has come near' is a present perfect construction with finite operator 'has' (present tense), not a modal or shifted tense form, so it does not instantiate TLTS.",0,high,"The target 'has come near' is an active voice construction with the auxiliary 'has' and intransitive verb 'come', not the passive voice auxiliary sequence 'have' + 'been' + past participle required for VcPass.",Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,N
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,1,high,"The verb 'have approved' has an overt internal argument 'whom' (referring to 'my Son'), making it a transitive construction that instantiates ASTrns.",0,high,"The target 'have approved' is a present perfect form with an overt subject 'I' preceding it, making it a finite clause rather than an uncontrolled subject construction (ASUncc).",0,high,"The target 'have approved' is present perfect tense indicating a completed action with present relevance, not an unergative construction which requires a single argument subject performing an action without an external object.",0,high,"The verb 'have approved' expresses a cognitive/evaluative state resulting from a punctual mental act of approval, construed as a single transition into a state of endorsement rather than an event unfolding over measurable duration, thus instantiating achievement aspect.",1.0,high,"The perfective form 'have approved' denotes a completed transition into a state of approval, construed as a punctual boundary event rather than a durative process, satisfying the achievement criterion.",0,high,"The target 'have approved' has an internal argument (the Son) that is singular, definite, and bounded, entailing a completed action rather than an unbounded activity.",0.0,high,"The perfective 'have approved' describes a state resulting from a completed action rather than a single bounded occurrence; it does not instantiate the semelfactive feature which requires explicit construal as a singular, punctual event.",0,high,"The present perfect 'have approved' describes a completed action with present relevance rather than an ongoing state, lacking the stative quality required for AktState classification.",0,high,"The target 'have approved' is a present perfect form expressing a completed action with present relevance, not a cleft construction (ClCntfcl), which requires a cleft syntax pattern like 'it is/was X that Y'.",0,high,"The target 'have approved' is a positive assertion in a declarative statement with no negation markers, negative morphology, or polar question structure that would instantiate ClNegPol (clause-level negation or polarity).",0,high,"The target 'have approved' is a present perfect verb phrase expressing a timeless state of approval, not a temporal marker indicating a specific point in time (DtDTAM requires deictic temporal reference).",1,high,"The target 'have approved' expresses a state of approval resulting from past experience/action by the speaker (God), making it experiential rather than a narrative progression event that sets up subsequent plot points.",0,high,"The stative copular construction 'have approved' describes a persisting state of approval rather than encoding a transition into that state, and the clause reports a past divine judgment without entailing a currently operative directive or information effect.",0,high,"The target 'have approved' is a perfective aspect verb in a direct speech context describing a completed action of approval, not a universal quantification over entities or situations.",1,high,"The present perfect form 'have approved' expresses a completed action with present relevance, instantiating the perfective aspect feature TLAspPfv.",0,high,"The present perfect 'have approved' asserts a realized state of affairs in the actual world (God's approval of his Son), not a hypothetical, future, or desired state, and thus does not instantiate irrealis.",0,high,"The target 'have approved' is a present perfect construction with the finite operator 'have' in present tense, not a modal perfect, so it does not instantiate tense-locus-tense-shift (TLTS).",0,high,"The target 'have approved' is active voice (subject 'I' performs the action of approving), not passive voice, which requires the auxiliary sequence 'have' + 'been' + past participle.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,1,high,"The passive construction 'had been arrested' contains an overt internal argument 'John' (the patient/theme of the arrest action), satisfying the requirement for ASTrns marking.",0,high,"ASUncc (Aspect-Uncanceled) requires a stative or habitual reading, but 'had been arrested' is a perfective past event with a definite endpoint, not an uncanceled state.",0,high,"The target 'had been arrested' is a past perfect passive construction expressing a completed action prior to another past event, not an unergative structure which requires an intransitive verb with an external agent argument.",0,high,"The past perfect passive 'had been arrested' describes a punctual transition into a state of custody, construed as a single instantaneous event rather than an unfolding process with measurable duration, marking it as an achievement.",1.0,high,"The past perfect passive 'had been arrested' denotes a punctual boundary transition (the moment of arrest) construed as a completed achievement, not a durative state.",0,high,"The passive construction 'had been arrested' describes a bounded, completed event (arrest is inherently telic with a clear endpoint), not an unbounded activity; the internal argument 'John' is a specific, quantized entity, which precludes an activity reading.",0.0,high,"The past perfect passive 'had been arrested' describes a completed state resulting from an action, not a single bounded momentary event; it lacks the explicit singular occurrence marking required for semelfactive classification.",1,high,"The target 'had been arrested' is a past perfect passive construction expressing a completed state resulting from a prior action, which instantiates the AktState feature indicating a stative aspectual value.",0,high,"The target 'had been arrested' is a past perfect passive construction describing a completed event, not a counterfactual conditional expressing an unrealized or hypothetical situation.",0,high,"The target 'had been arrested' is a passive past perfect construction with no negative polarity markers (negation, negative quantifiers, or inherent negative semantics) present in the clause.",0,high,"The target 'had been arrested' is a past perfect passive verb phrase describing a completed action in past time, not a deictic temporal adverbial marking (DTAM), which requires explicit temporal deixis like 'then', 'now', or 'here'.",0,high,"The event 'had been arrested' sets the scene for the subsequent narrative action ('Jesus withdrew'), making the resulting state relevant for discourse progression rather than experiential focus.",0,high,The stative copula construction 'had been arrested' describes a resulting state rather than encoding a transition; it reports a past event without entailing a persisting resultative state in the current context.,0,high,"The target 'had been arrested' describes a discrete, completed event (John's arrest) rather than a continuous situation, and there is no 'since' adverbial present to trigger the edge case rule.",0,high,"The target 'had been arrested' is a past perfect passive construction expressing a prior completed state rather than a perfective aspect marking; it denotes temporal anteriority, not the TLAspPfv feature which marks perfective aspect.",0,high,"The past perfect 'had been arrested' asserts a realized state of affairs in the actual world (John's arrest as a completed fact), not a hypothetical, desired, or projected event, so it does not instantiate irrealis.",0,high,"The target 'had been arrested' is a past perfect construction with finite operator 'had' (past tense), not a modal operator, so it does not instantiate tense-locus-tense-shift (TLTS) as defined in the edge case rule.",1,high,"The target 'had been arrested' instantiates VcPass as it contains the required auxiliary sequence 'have' (had) + 'been' + past participle (arrested), which is the standard passive voice construction.",N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,1,high,"The verb 'have heard' instantiates ASTrns because it has an overt internal argument ('it'), making it transitive.",0,high,"The target 'have heard' is a present perfect form with an understood subject (you), which is a finite clause structure, not an uncontrolled subject (ASUncc) construction.",0,high,"The target 'have heard' is a present perfect form indicating a completed action with present relevance, not an unergative construction which requires a single argument subject performing an action without an external object.",0,high,"The verb 'have heard' construes the perceptual event as a single punctual transition into awareness (the moment of hearing/learning), not as a measurable duration, thus instantiating achievement rather than accomplishment.",1.0,high,"The verb 'have heard' denotes a single transition into awareness (coming to know something) rather than a durative process of hearing, classifying it as an achievement per the cognitive verb edge case rule.",0,high,"The target 'have heard' takes a definite internal argument 'it' (referring to a specific utterance), which is quantized and bounded, entailing completion rather than an ongoing activity.",0.0,high,"The present perfect 'have heard' describes a state resulting from a past event rather than a single bounded occurrence, and allows for iterative interpretation (hearing multiple times), thus instantiating durative activity rather than semelfactive.",0,high,"The target 'have heard' is a present perfect form expressing a completed action with present relevance, not an aktionsart feature which describes the inherent temporal structure (perfective/imperfective aspect) of the verb itself.",0,high,"The target 'have heard' is a present perfect construction reporting indirect speech without counterfactual meaning; it asserts that hearing occurred as a factual matter, not a contrary-to-fact condition.",0,high,"The target 'have heard' is a positive polarity construction with no negation markers, negative morphology, or negative context that would instantiate ClNegPol (clausal negation polarity).",0,high,"The target 'have heard' is a present perfect verb phrase indicating a completed action with present relevance, not a deictic temporal marker (DTAM) that locates events in time relative to speech or reference points.",1,high,"The target 'have heard' expresses a direct experiential state where the subject has personally experienced the act of hearing, rather than setting up a narrative progression for subsequent plot points.",0,high,The construction 'have heard' reports a past perceptual event without entailing a persisting resultative state; the hearing occurred in the past but does not encode an ongoing result or change of state in the present.,0,high,"The target 'have heard' describes a discrete past event (hearing a saying) rather than a continuous universal situation, so it does not instantiate DtUniv.",1,high,"The target 'have heard' is a present perfect construction that expresses a completed action with present relevance, instantiating the perfective aspect feature (TLAspPfv).",0,high,"The present perfect 'have heard' asserts a realized state of affairs in the actual world (that the addressee has actually heard something), which is realis rather than irrealis.",0,high,"The target 'have heard' is a present perfect construction with finite present-tense 'have', not a modal perfect, so it does not instantiate tense shift (TLTS).",0,high,"The construction 'have heard' is present perfect active voice (auxiliary 'have' + past participle 'heard'), not passive voice, which requires the auxiliary sequence 'have' + 'been' + past participle.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,1,high,"The verb 'have heard' instantiates ASTrns because it has an overt internal argument ('it said'), making it a transitive construction.",0,high,"The target 'have heard' is a present perfect form with an accusative object ('it'), not an unaccusative construction which requires an intransitive verb with an underlying object.",0,high,"The target 'have heard' is a present perfect form indicating a completed action with present relevance, not an unergative construction which requires a single argument verb with an agentive subject.",0,high,"The perfective present 'have heard' construes the event as a punctual transition into awareness (the moment of hearing/learning the saying), not as a durative process unfolding over measurable time.",1.0,high,"The present perfect 'have heard' denotes a single transition into awareness (the moment of coming to know something said), which qualifies as a punctual boundary transition per the edge case rule for cognitive/perceptual verbs.",0,high,"The target 'have heard' with the internal argument 'it' (referring to the bounded, specific utterance 'an eye for an eye and a tooth for a tooth') represents a telic event with a defined endpoint, not an unbounded activity.",0.0,high,"The present perfect 'have heard' describes a state of accumulated experience or knowledge rather than a single bounded occurrence, allowing for iterative interpretation of hearing the saying multiple times, thus instantiating durative activity rather than semelfactive.",0,high,The target 'have heard' is a present perfect form expressing a stative/resultative meaning (current state of knowledge) rather than an aktionsart feature denoting aspectual class of dynamic action.,0,high,"The target 'have heard' is a present perfect construction expressing a completed action with present relevance, not a cleft construction (ClCntfcl), which requires a specific syntactic structure like 'It is X that...' or 'What X is...'",0,high,"The target 'have heard' is a positive polarity construction with no negation markers, negative morphology, or negative context that would instantiate ClNegPol (clause-level negative polarity).",0,high,"The target 'have heard' is a present perfect verb phrase indicating a completed action with present relevance, not a deictic temporal marker (DTAM) that locates events in time relative to speech.",1,high,"The target 'have heard' expresses a direct experiential state of perception/cognition by the addressee, indicating they have undergone the experience of hearing something, which is a core instantiation of DtExp (Direct Experience).",0,high,The present perfect 'have heard' reports a past auditory experience without entailing a persisting resultant state; it describes a completed action in the speaker's experience rather than a change that results in a current condition.,0,high,"The target 'have heard' describes a discrete past event of hearing something said, not a universal quantification over entities or a continuous situation, so it does not instantiate DtUniv.",1,high,"The present perfect 'have heard' expresses a completed action with present relevance, instantiating the perfective aspect feature TLAspPfv.",0,high,"The phrase 'You have heard it said' asserts a realized state of affairs in the actual world (a completed past experience), not a hypothetical, future, or desired state, so it does not instantiate irrealis.",0,high,"The target 'have heard' is a present perfect construction with finite present-tense 'have', not a modal perfect, so it does not instantiate tense-locus tense shift (TLTS).",0,high,"The construction 'have heard' is present perfect active voice (auxiliary 'have' + past participle 'heard'), not passive voice, which requires the auxiliary sequence 'have' + 'been' + past participle.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,1,high,"The verb 'have heard' is transitive with an overt internal argument 'it' (the direct object), satisfying the requirement for ASTrns marking.",0,high,"The target 'have heard' is a present perfect form expressing a completed action with present relevance, not an unaccusative construction (ASUncc), which requires a single argument that functions as both the logical object and grammatical subject.",0,high,"The target 'have heard' is a present perfect form indicating a completed action with present relevance, not an unergative construction which requires a single argument verb with agentive semantics.",0,high,"The present perfect 'have heard' construes the event as a punctual transition into awareness (coming to know something that was said), not as a durative process with measurable temporal development.",1.0,high,"The present perfect 'have heard' denotes a single punctual transition into awareness of the saying, classifying it as an achievement per the edge case rule for cognitive verbs with punctual readings.",0,high,"The perfect aspect 'have heard' with a definite internal argument 'it' (referring to a specific saying) is quantized and bounded, entailing completion rather than an ongoing activity.",0.0,high,"The present perfect 'have heard' describes a durative activity of receiving/experiencing a saying over time, not a single bounded occurrence, so it does not instantiate the semelfactive feature.",0,high,The target 'have heard' is a present perfect form expressing a stative/resultative meaning (current state of knowledge) rather than an aktionsart feature denoting aspectual action type.,0,high,"The target 'have heard' is a present perfect construction expressing a completed action with present relevance, not a counterfactual conditional structure that would instantiate the ClCntfcl feature.",0,high,"The target 'have heard' is a positive polarity construction (present perfect) with no negation markers, negative morphology, or negative context that would instantiate ClNegPol (clause-level negative polarity).",0,high,"The target 'have heard' is a present perfect verb phrase indicating a completed action with present relevance, not a deictic temporal marker (DTAM) that locates events in time relative to speech.",1,high,"The target 'have heard' expresses a direct experiential state of perception/knowledge acquisition by the addressee, not a narrative event establishing scene for subsequent discourse.",0,high,The construction 'have heard' is a stative copula describing a past perceptual state rather than encoding a resultative transition; it reports a past interaction (hearing something said) without entailing a persisting resultant state.,0,high,"The target 'have heard' describes a discrete past event of hearing something said, not a universal quantification over entities or a continuous situation, so it does not instantiate DtUniv.",1,high,"The present perfect 'have heard' expresses a completed action with present relevance, instantiating the perfective aspect feature TLAspPfv.",0,high,"The phrase 'have heard' asserts a realized state of affairs in the actual world (a completed past experience), not a hypothetical, future, or desired state, so it does not instantiate irrealis.",0,high,"The target 'have heard' is a present perfect construction with a present-tense finite operator 'have', not a modal perfect, so it does not instantiate tense-locus tense shift (TLTS).",0,high,"The construction 'have heard' is present perfect active voice (auxiliary 'have' + past participle 'heard'), not passive voice, which requires the auxiliary sequence 'have' + 'been' + past participle.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,1,high,"The target 'have been paid' is a passive construction with an overt internal argument 'in full' (adverbial complement of the passive verb), instantiating ASTrns as a transitive structure derived from an active transitive verb.",1,high,"The target 'have been paid' is a passive voice construction with an unconstrained subject (the hypocrites/they), instantiating the ASUncc feature.",0,high,"The target 'have been paid' is a passive voice construction in present perfect tense describing a completed action (receiving praise), not an unergative verb which requires an agentive subject performing an action without a direct object.",0,high,"The passive perfect 'have been paid' describes a completed state resulting from a punctual transition into the condition of being paid, with no inherent measurable duration as part of the event's structure itself.",1.0,high,"The perfect aspect 'have been paid' construes payment as a completed punctual transition into a state of having received reward, instantiating the achievement feature AktAch.",0,high,"The target 'have been paid in full' instantiates a telic (bounded) event with a clear completion point ('in full'), which entails a result state rather than an ongoing activity, thus not AktAct.",0.0,high,"The phrase 'have been paid in full' describes a completed state resulting from a durative process of receiving payment, not a single bounded occurrence, thus instantiating a durative activity rather than a semelfactive event.",1,high,"The target 'have been paid' is a present perfect passive construction that denotes a completed state resulting from a prior action, which instantiates the AktState (aktionsart state) feature.",1,high,"The target 'have been paid' instantiates ClCntfcl (clause counterfactual) as it expresses a consequence or result that is presented as a completed fact in response to the hypocrites' actions, functioning as a counterfactual statement about their reward.",0,high,"The target 'have been paid' is a passive voice construction with positive polarity (they received their reward/payment), not a negative polarity item or construction.",0,high,"The phrase 'have been paid' is a passive perfect construction expressing a completed action with present relevance, not a temporal marker indicating 'at that time,' so it does not instantiate the DtDTAM feature.",0,high,"The phrase 'have been paid in full' describes a resulting state (hypocrites have already received their reward) that is relevant for the subsequent discourse about their lack of heavenly reward, making it non-experiential narrative progression rather than experiential focus.",0,high,"The stative copula construction 'have been paid' describes a resulting state rather than encoding a transition, consistent with the edge case rule that copular constructions describe states rather than changes into those states.",0,high,"The phrase 'have been paid in full' describes a completed discrete event (receiving payment) rather than a continuous universal situation, so it does not instantiate DtUniv.",1,high,"The target 'have been paid' is a present perfect passive construction that expresses a completed action with present relevance, instantiating the perfective aspect feature TLAspPfv.",0,high,"The target 'have been paid' is a present perfect indicative asserting a realized state of affairs in the actual world (the hypocrites have already received their reward), not a projected, hypothetical, or desired state, so it does not instantiate irrealis.",0,high,"The target 'have been paid' is a present perfect passive construction with a present-tense finite operator 'have', not a modal or shifted tense form, so it does not instantiate TLTS.",1,high,"The target 'have been paid' instantiates VcPass as it contains the required auxiliary sequence 'have' + 'been' + past participle 'paid', marking passive voice with the subject 'they' as the undergoer of the payment action.",N,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,Y,N
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,1,high,"The target 'have been paid' is a passive construction with an overt internal argument 'in full' (adverbial complement specifying the manner/extent of payment), instantiating ASTrns as a transitive verb form.",1,high,"The target 'have been paid' is a passive voice construction with an understood/unspecified agent, instantiating the ASUncc (Agent Subject Uncontrolled) feature where the subject is not in control of the action.",1,high,"The target 'have been paid' is a present perfect passive construction expressing a resultant state from a past action, which instantiates the ASUnrg (aspectual unrestricted) feature as it denotes a completed action with present relevance rather than an ongoing or habitual event.",0,high,"The present perfect 'have been paid in full' describes a completed state resulting from a punctual transition into the condition of being paid, with no inherent measurable duration as part of the event's structure itself.",1.0,high,"The phrase 'have been paid in full' denotes a punctual boundary transition into a completed state of payment, instantiating the achievement feature (AktAch).",0,high,"The target 'have been paid in full' describes a completed, bounded event with a definite endpoint (payment received in full), which instantiates a telic accomplishment rather than an activity.",0.0,high,The present perfect 'have been paid' describes a state resulting from a completed action rather than a single bounded occurrence; it allows for an iterative or habitual interpretation of receiving payment and does not explicitly construe the event as a semelfactive single knock-like occurrence.,1,high,"The target 'have been paid' is a present perfect passive construction expressing a completed action with present relevance, which instantiates the AktState (aktionsart/aspect) feature of perfective aspect.",0,high,"The target 'have been paid' is a passive voice construction describing a completed action (receiving payment/reward) rather than instantiating a counterfactual feature, which requires expression of hypothetical, contrary-to-fact, or conditional scenarios.",0,high,"The target 'have been paid' is a passive voice construction in a positive assertion ('they have been paid in full') with no negation or negative polarity markers, so it does not instantiate ClNegPol.",0,high,"The target 'have been paid' is a passive voice verb phrase indicating a completed action (reward received), not a deictic temporal marker referring to a specific point in time, so it does not instantiate the DtDTAM feature.",0,high,"The phrase 'have been paid in full' describes a resulting state (completion of payment) that is relevant for the subsequent discourse about the hypocrites' reward, functioning as narrative progression rather than experiential description.",0,high,"The construction 'have been paid' is a stative copula describing a resulting state rather than encoding a transition, consistent with the edge case rule that copular constructions describe states rather than changes into those states.",0,high,"The target 'have been paid' describes a completed discrete event (receiving payment in full) rather than a universal or continuous situation, so it does not instantiate the DtUniv feature.",1,high,"The target 'have been paid' is a present perfect passive construction expressing a completed action with present relevance, which instantiates the perfective aspect feature (TLAspPfv).",0,high,"The phrase 'they have been paid in full' asserts a realized state of affairs in the actual world (their reward has already been received), making it realis rather than irrealis.",0,high,"The target 'have been paid' is a present perfect construction with finite present-tense 'have', not a modal or tense-shifted operator, so it does not instantiate TLTS.",1,high,"The target 'have been paid' instantiates VcPass as it contains the canonical passive auxiliary sequence 'have' + 'been' + past participle 'paid', with the subject 'they' denoting the undergoer of the payment action.",N,N,N,N,Y,N,Y,Y,Y,Y,N,N,N,Y,N,N,Y,N
