Book,Chapter,Verse,Text
მათე,1,1,"წიგნი წარმოშობისა იესო ქრისტესი: დაგითის ძისა,"
მათე,1,2,აბრაამმა შვა ისაკი; ისაკმა შვა იაკობი; იაკობმა შვა იუდა
მათე,1,3,იუდამ შვა ფერეცი და ზერახი თამარისგან; ფერეცმა შვა
მათე,1,4,რამმა შვა ამინადაბი; ამინადაბმა შვა ნახშონი; ნახშონმა
მათე,1,5,სალმონმა შვა ბოახი რახაბისგან; ბოაზმა შვა ობედი
მათე,1,6,იესემ შვა დავით მეფე; დავით მეფემ შვა სოლომონი
მათე,1,7,სოლომონმა შვა რეხობოამი; რეხობოამმა შვა აბია; აბიამ
მათე,1,8,ასამ შვა იო შაფატი; იოშმაფატმა შვგა იორამი; იორამმა შგა
მათე,1,9,ყუხიამ შვა იოთამი; იოთამმა შვა ახაზი; ახაზმა შვა
მათე,1,11,იომიამ შვა იეხონია და მისი ძმანი ბაბილონში გასახლების
მათე,1,12,ბაბილონში გადასახლების შემდგომ იეხონიამ შგა შეალ-
მათე,1,2,მათე 2
მათე,1,13,ზერუბაბელმა შვა აბიჰუდი; აბიჰუდმა შგა ელიაკიმი;
მათე,1,14,აზორმა შვა (ადოგი; ცადოკგმა შვა იახინი: იახინმა შგა
მათე,1,16,"იაკობმა შგა იოსები, ქმარი მირიამისა, რომლისაგანაც"
მათე,1,17,ამრიგად მთელი მოდგმა აბრაამიდან დაგითამდე
მათე,1,18,"ხოლო იესო ქრისტეს შმობა ასე მოხდა: მისი დედის, მარი-"
მათე,1,19,"ხოლო იოსები, მისი ქმარი, მართალი იყო, და არ ისურვა"
მათე,1,20,"როცა ამას ფიქრობდა, აჰა, ეჩვენა მას სიზმარში უფლის"
მათე,1,21,"ძეს შობს და დაარქმეგ მას სახელად იესოს, ვინაიდან იგი"
მათე,1,22,"ყოველივე ეს მოხდა, რათა აღსრულდეს უფლის ნათქვამი"
მათე,1,23,"„აპა, მუცლადიღებს ქალწული, მობს ძეს და უწოდებს"
მათე,1,24,"სიზმრისაგან გამოფხიზლებული იოსები ისე მოიქცა,"
მათე,1,25,"არ გაჰკარებია მას, ვიდრე არა შვა თავისი ძე და დაარ410)"
მათე,2,1,"როცა იესო იშვა იუდეის ბეთლემში, მეფე ჰეროდეს"
მათე,2,2,"„სად არის იუდეგელთა მეფე, რომ იშგა? ვინაიდან"
მათე,2,3,"ეს რომ გაიგონა, შეძრწუნდა მეფე ჰეროდე და მასთან"
მათე,2,4,შეკრიბა ყგელა მღგდელმთავარი და ხალხის მწიგნობარნი
მათე,2,5,მათ გი უთხრეს მას; „იუდეის ბეთლემში. გინაიდან ასგა
მათე,2,6,"""და შენ ბეთლემო, იუდას მიწავ, არაფრითა ხარ უმცირესი"
მათე,2,7,მაშინ ჰეროდემ მალულად დაიბარა მოგვები და გამოი-
მათე,2,8,"წარგზავნა ისინი ბეთლემს, და უთხრა: „წადით, გულმო-"
მათე,2,9,"მათაც მოუსმინეს მეფეს და წავიდნენ, და აპა, გარსკგ-"
მათე,2,10,"ვარსკვლავი რომ დაინახეს, მათ მეტისმეტი სიხარულით"
მათე,2,11,"როცა სახლში შეგიდნენ, დაინახეს ყრმა მარიამთან, თავის"
მათე,2,12,"და რაკი სიზმარში იყვნენ გაფრთხილებულნი, რომ არ"
მათე,2,13,"როცა ისინი წავიდნენ, უფლის ანგელოზი გამოეცხადა"
მათე,2,14,"ადგა, ღამით წაიყვანა ყრმა და დედამისი, და მიგიდა"
მათე,2,16,"ძაღიან თ«ანრისხდა ჰიროდი, როცა ნახა, რომ გააწბილის ლ ბ დააშეიიული ც ბ ღე"
მათე,2,4,მათე ვ
მათე,2,17,მაშინ აღსრულდა წინასწარმეტყველ იერემიას მიერ
მათე,2,19,"ჰეროდეს სიკგდილის შემდეგ კი, აჰა, ეგვიპტეში იოსებს"
მათე,2,20,"და უთხრა: „ადექი, წაიყვანე ყრმა და დედამისი, და წადი"
მათე,2,21,"იგი ადგა, წაიყვანა ყრმა და დედამისი და ავიდა ისრაელის"
მათე,2,22,"ხოლო როცა გაიგო, რომ მამამისის, ჰეროდეს ნაცგლად"
მათე,2,23,"მივიდა და დასახლდა ნაზარეთად წოდებულ ქალაქში, რათა"
მათე,3,1,იმ დღეებში მოგიდა იოანე ნათლისმცემელი და ქადაგებდა
მათე,3,2,"ამბობდა: „მოინანიეთ, ვინაიდან მოახლოებულია ცათა"
მათე,3,4,თვითონ იოანეს ემოსა აქლემის ბეწვის სამოსი და წელზე
მათე,3,5,"მაშინ მასთან გამოდიოდა იერუსალიმი, მთელი იუდეა და"
მათე,3,6,ინათლებოდნენ მისგან იორდანეში და აღიარებდნენ თავი-
მათე,3,7,როცა იოანემ დაინახა მისკენ მოსანათლავად მომავალი
მათე,3,8,"მაშ, შექმენით მონანიების ღირსი ნაყოფი;"
მათე,3,9,"და ნუ იფიქრებთ, თქვათ თქვენთვის: ჩვენ მამად აბრაამი"
მათე,3,10,"ცულიც უკვე დევს ხეთა ფესვთან. ყოველ ხეს, რომელიც კეთილ ნაყოფს არ გამოიღებს, მოჭრიან და ცეცხლში ჩააგდებენ."
მათე,3,11,მე წყლით გნათლავთ მოსანანიებლად; მაგრამ ჩემს შემდეგ
მათე,3,12,"მისი ნიჩაბი მის ხელთაა. ის გაწმედს თავის გალოს,"
მათე,3,13,"მაშინ გალილეიდან იორდანეს მოვიდა იესო იოანესთან,"
მათე,3,14,ხოლო იოანე წინაღუდგა და უთხრა: „მე უნდა მოვინათლო
მათე,3,15,"მაგრამ იესომ მიუგო პასუხად: „ასე იყოს, გინაიდან ასე"
მათე,3,16,"ნათელღებული იესო მაშინვე ამოვიდა წყლიდან და აჰა,"
მათე,3,17,"აჰა, ხმა (კიდან მეტყველი: „ეს არის ჩემი საყვარელი ძე,"
მათე,4,1,მაშინ სულმა წაიყვანა იესო უდაბნოში ეშმაკისაგან გამო-
მათე,4,3,მიუახლოგდა მას მაცდური და უთხრა: „თუ შენ ღვთის
მათე,4,4,"ხოლო მან მიუგო პასუხად: „დაწერილია, რომ არა პურითა"
მათე,4,6,მათე 4
მათე,4,5,მაშინ წაიყვანა იგი ეშმაკმა წმიდა ქალაქში და დააყენა
მათე,4,6,"უთხრა მას: „თუ ღგთის ძე ხარ, გადაიგდე თაგი ძირს,"
მათე,4,8,"ისევ წაიყვანა იგი ეშმაკმა ძალიან მაღალ მთაზე, უჩვენა"
მათე,4,9,"ე... „ყოველივე ამას შენ მოგცემ, თუ დამხობილი"
მათე,4,10,"მაშინ იესომ უთხრა: „განვედ, სატანავ, ვინაიდან"
მათე,4,11,"მაშინ მიატოვა იგი ეშმაკმა და, აჰა, ანგელოზები მიეახ-"
მათე,4,12,"გაიგო იესომ, რომ იოანე დაპატიმრებულია, და წავიდა"
მათე,4,14,რათა აღსრულდეს ესაია წინასწარმეტყველის მიერ
მათე,4,116,", ხებულუნის მიწა და ნეფთალის მიწა, ზღვისპირა გ ხა"
მათე,4,16,"ხაღხმა, რომელიც ბნელში იჯდა, იხილა დიდი ნათელი,"
მათე,4,17,იმ დროიდან მოყოლებული დაიწყო იესომ ქადაგება და
მათე,4,18,"როცა გალილეის ზღვის ნაპირას მიდიოდა, მან დაინახა"
მათე,4,19,უთხრა მათ: „მომყევით მე და ადამიანთა მებადურებად
მათე,4,21,"იქიდან წვა. და დაინახა სხვა ორი ძმა: იაკობი,"
მათე,4,22,მათ მყისვე მიატოვეს ნაგიც და მამაც და გაჰყგნენ მას.
მათე,4,23,"მიმოდიოდა იესო მთელ გალილეაში, ასწავლიდა მათ სინა-"
მათე,4,24,"მოედო მისი ამბავი მთელ სირიას, მოპყავდათ მასთან"
მათე,4,25,"დიდძალი ხალხი მისდევდა მას გალილეიდან და ათქალაქიდან,"
მათე,5,1,"დაინახა ხალხი და აგიდა მთაზე. როცა დაჯდა, მიგიდნენ"
მათე,5,2,"მან გახსნა ბაგე, ასწავლიდა მათ და ეუბნებოდა:"
მათე,5,3,"„ნეტარ არიან სულით ღარიბნი, ვინაიდან მათია (კათა"
მათე,5,4,"ნეტარ არიან მგლოვიარენი, ვინაიდან ისინი ნუგეშცე“"
მათე,5,5,"ნეტარ არიან თგინიერნი, ვინაიდან ისინი დაიმკვიდრებენ"
მათე,5,6,"ნეტარ არიან სიმართლისათვის მშიერ-მწყურვალნი, ვინა-"
მათე,5,7,"ნეტარ არიან მოწყალენი, ვინაიდან ისინი შეწყალებულ"
მათე,5,8,"ნეტარ არიან გულით სუფთანი, ვინაიდან ისინი ღმერთს"
