TokenID,language,paradigm,mode,gold,pred,correct,DtExp,DtRes,DtUniv,DtDTAM,TLTS,TLAspPfv,TLMdIrr,ClNegPol,ClCntfcl,VcPass,ASTrns,ASUnrg,ASUncc,AktState,AktAct,AktAcc,AktAch
40024043b,eng,participle,binary,1,1,True,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
43011011,eng,participle,binary,1,1,True,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
43002010b,eng,participle,binary,1,1,True,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
42019009,eng,participle,binary,1,1,True,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
44010014,eng,participle,binary,1,1,True,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
44002036,eng,participle,binary,1,1,True,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
44009012,eng,participle,binary,1,1,True,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
42017010d,eng,participle,binary,1,1,True,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0
43007031,eng,participle,binary,1,1,True,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
41006052,eng,participle,binary,1,1,True,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
44017028,eng,participle,binary,1,1,True,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
42001068a,eng,participle,binary,1,1,True,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
43003019,eng,participle,binary,1,1,True,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
42009036,eng,participle,binary,1,1,True,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1
44023014a,eng,participle,binary,1,1,True,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
43014007a,eng,participle,binary,1,1,True,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0
44010033a,eng,participle,binary,1,1,True,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
41012010,eng,participle,binary,1,1,True,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
43020015,eng,participle,binary,1,1,True,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
44016037b,eng,participle,binary,1,1,True,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
42023041,eng,participle,binary,1,1,True,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
41010020,eng,participle,binary,1,1,True,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
43006036,eng,participle,binary,1,1,True,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
42020039,eng,participle,binary,1,1,True,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
