TokenID,language,paradigm,mode,gold,pred,correct,DtExp,DtRes,DtUniv,DtDTAM,TLTS,TLAspPfv,TLMdIrr,ClNegPol,ClCntfcl,VcPass,ASTrns,ASUnrg,ASUncc,AktState,AktAct,AktAcc,AktAch
42007022b,eng,participle,binary,0,1,False,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
43006027,eng,participle,binary,0,1,False,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
42011020,eng,present_past_infinitive_modal,multiclass_required,present,past,False,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
43011037,eng,present_past_infinitive_modal,multiclass_required,present,past,False,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0
43004001,eng,present_past_infinitive_modal,multiclass_required,past,present,False,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
41006052,eng,present_past_infinitive_modal,multiclass_required,past,present,False,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
40003002,eng,present_past_infinitive_modal,multiclass_required,past,present,False,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
40011023b,eng,can_could_may_might_must_ought_to_shall_should_will_would,multiclass_optional,would,0,False,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0
43011037,eng,can_could_may_might_must_ought_to_shall_should_will_would,multiclass_optional,0,should,False,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0
40018013a,eng,can_could_may_might_must_ought_to_shall_should_will_would,multiclass_optional,would,might,False,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1
41014021b,eng,can_could_may_might_must_ought_to_shall_should_will_would,multiclass_optional,0,would,False,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1
42010013a,eng,can_could_may_might_must_ought_to_shall_should_will_would,multiclass_optional,0,might,False,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0
40026009,eng,can_could_may_might_must_ought_to_shall_should_will_would,multiclass_optional,could,might,False,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1
40026024b,eng,can_could_may_might_must_ought_to_shall_should_will_would,multiclass_optional,0,would,False,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1
41014005b,eng,can_could_may_might_must_ought_to_shall_should_will_would,multiclass_optional,could,might,False,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1
40018013b,eng,can_could_may_might_must_ought_to_shall_should_will_would,multiclass_optional,0,would,False,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
40011023b,deu,partizip,binary,0,1,False,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0
40011021b,deu,partizip,binary,1,0,False,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0
42010013b,deu,partizip,binary,1,0,False,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1
42010013a,deu,partizip,binary,1,0,False,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0
42023008,deu,partizip,binary,0,1,False,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
42001036,deu,partizip,binary,0,1,False,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
40024043a,deu,partizip,binary,0,1,False,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0
41014021a,deu,partizip,binary,0,1,False,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0
42004035,deu,partizip,binary,0,1,False,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
40015032,deu,partizip,binary,0,1,False,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
42013016,deu,partizip,binary,0,1,False,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
43003018b,deu,partizip,binary,1,0,False,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
42013007a,deu,partizip,binary,0,1,False,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
42012039c,deu,partizip,binary,0,1,False,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1
43009022,deu,inf_prasens_prat,multiclass_required,prat,prasens,False,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
42011020,deu,inf_prasens_prat,multiclass_required,prasens,prat,False,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
40018013a,deu,inf_prasens_prat,multiclass_required,prasens,prat,False,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1
