verse_id,english_text
01001031,"God saw all that he had made . It was very good . There was evening , and there was morning , the sixth day ."
01002002,By the seventh day God had finished his work . He rested from all his work on the seventh day .
01002003,God blessed the seventh day and made it holy . This is because he rested from all the work of creation he had done .
01002005,"No shrub of the field had yet appeared on the earth . No plant of the field had yet sprung up , for Jehovah God had not sent rain on the earth . There was no man to work the ground ."
01002008,"Now Jehovah God planted a garden in the east , in Eden . He put the man he had formed there ."
01002022,Then Jehovah made a woman from the rib he had taken out of the man . He brought her to the man .
01003001,"Now the serpent was craftier than any of the wild animals Jehovah God had made . He said to the woman : » Did God really say , you must not eat from any tree in the garden ? «"
01003011,And he said : » Who told you that you were naked ? Have you eaten from the tree that I commanded you not to eat from ? «
01003013,"Then Jehovah God said to the Eve : » What is this you have done ? « The woman answered : » The serpent deceived me , and I ate . «"
01003014,So Jehovah God said to the serpent : » Because you have done this you are cursed above all the livestock and all the wild animals ! You will crawl on your belly and you will eat dust all the days of your life .
01003022,"Jehovah said : » The man has now become like one of us , knowing good and evil . He must not be allowed to reach out his hand and take also from the tree of life and eat , and live forever . «"
01003023,Therefore Jehovah God banished him from the Garden of Eden to work the ground from which he had been taken .
01004001,Adam had sexual intercourse with his wife Eve . She became pregnant and gave birth to Cain . She said : » With the help of Jehovah I have brought forth a man . «
01004010,Jehovah said : » What have you done ? Listen ! Your brother’s blood life cries out to me from the ground .
01004023,"Lamech said to his wives : » Adah and Zillah , listen to me ; wives of Lamech , hear my words . I have killed a man for wounding me , a young man for injuring me ."
01004025,"Adam had intercourse with his wife again , and she gave birth to a son and named him Seth . She said : » God has granted me another child in place of Abel , since Cain killed him . «"
01005003,"When Adam had lived one hundred and thirty years , he had a son in his own likeness , in his own image ; and he named him Seth ."
01005028,"When Lamech had lived one hundred and eighty-two years , he had a son ."
01005029,He named him Noah . He said : » He will comfort us in the labor and painful toil of our hands caused by the ground Jehovah has cursed . «
01006005,Jehovah saw how great man’s wickedness on the earth had become . Every inclination of the thoughts of his heart was only evil all the time .
01006006,Jehovah was grieved that he had made man on the earth . His heart was grieved with pain .
01006007,"So Jehovah said : » I will wipe mankind , whom I have created , from the face of the earth . All of them : men and animals , and creatures that move along the ground , and birds of the air . I am sorry that I created them . «"
01006012,God saw how corrupt the earth had become . All the people on earth had corrupted their ways .
01007001,"Jehovah said to Noah : » Go into the ark , you and your whole family . For I have found you righteous in this generation ."
01007004,» Seven days from now I will send rain on the earth for forty days and forty nights . I will wipe from the face of the earth every living creature I have made . «
01007009,"male and female came to Noah and entered the ark , as God had commanded Noah ."
01007016,"The animals going in were male and female of every living thing , just as God had commanded Noah . Then Jehovah shut him in ."
01008003,Water receded steadily from the earth . At the end of the hundred and fifty days the water had gone down .
01008008,Then he sent out a dove to see if the water had receded from the surface of the ground .
01008011,"When the dove returned to him in the evening , there in its beak was a freshly plucked olive leaf ! Then Noah knew that the water had receded from the earth ."
01008013,"By the first day of the first month of Noah’s six hundred and first year , the water had dried up from the earth . Noah then removed the covering from the ark and saw that the surface of the ground was dry ."
01008021,"Jehovah smelled the pleasing aroma and said in his heart : » Never again will I curse the ground because of man , for the intent of his heart is evil from childhood . I will never again destroy every living creature , as I have done ."
01009017,God said : » This is the sign of the covenant I have established with all life on the earth . «
01009024,Noah awoke from his wine and found out what his youngest son had done to him .
01011006,"Jehovah said : » If they become one people speaking the same language , nothing will be impossible for them . They have begun to do this ."
01012005,"He took his wife Sarai , his nephew Lot , all the possessions they had accumulated and the people they had acquired in Haran . They set out for the land of Canaan and soon arrived there ."
01012007,"Jehovah appeared to Abram and said : » I will give this land to your offspring seed . « He built an altar there to Jehovah , who had appeared to him ."
01012018,So Pharaoh summoned Abram . » What have you done to me ? « he asked . » Why did you not tell me she was your wife ?
01013002,Abram had become very wealthy in livestock and in silver and gold .
01013003,"He traveled from place to place from the Negev until he came to Bethel , to the place between Bethel and Ai where his tent had been earlier ."
01013004,This was where he had first built an altar . There Abram called on the name of Jehovah .
01013014,"After Lot had parted from Abram , Jehovah said to Abram : » Lift up your eyes from where you are and look north and south , east and west ."
01014013,"Then one who had escaped came and told Abram the Hebrew . He was living by the oaks of Mamre the Amorite , brother of Eshcol and of Aner . They were Abram’s allies ."
01014014,"Abram heard that his nephew had been taken captive . Abram led his trained men , born in his house , three hundred eighteen of them , in pursuit as far as Dan ."
01014020,"» Blessed be God Most High , who has delivered your enemies into your hand ! « Abram gave him one tenth of everything ."
01014022,"But Abram said to the king of Sodom : » I have sworn to Jehovah , God Most High , maker of heaven and earth :"
01014023,""" I will take nothing . Not a thread or a sandal strap . You will not be able to say : ' I have made Abram rich . ’"
01015003,Abram also said : » You have given me no offspring . So a slave born in my house is to be my heir . «
01016001,"Sarai , Abram’s wife , had borne him no children . She had an Egyptian maidservant named Hagar ."
01016002,She said to Abram : » Jehovah has kept me from having children . Go sleep with my maidservant . Perhaps I can build a family through her . « Abram agreed to what Sarai said .
01016011,Jehovah’s angel also said : » You are now with child and you will have a son . You shall name him Ishmael means : God hears . Jehovah has heard of your misery .
01016013,"She called the name of Jehovah , who spoke to her : » You are the God who sees me , for she said , ‘ I have not seen the one who sees me . ’ """
01016015,Hagar bore Abram a son . Abram gave the name Ishmael to the son she had borne .
01017005,» You will no longer be called Abram Exalted Father . Your name will be Abraham means Father of Many . I have made you a father of many nations .
01017014,» Any male not circumcised in the flesh will be cut off from his people . He has broken my covenant . «
01017020,"» Concerning Ishmael , I have heard you : I will surely bless him . I will make him fruitful and will greatly increase his numbers . He will be the father of twelve rulers , and I will make him into a great nation ."
01018003,"Abraham said : » My Lord , if I have now found favor in your sight , do not pass by your servant ."
01018005,"» I will bring a bite to eat to refresh you . Stay a while before you continue your journey . « They responded : » Very well , do as you have said . «"
01018008,"He took butter and milk and the calf that he had prepared , and set it before them . He stood by them under the tree as they ate ."
01018011,"Abraham and Sarah were old , well advanced in age . Sarah had passed the age of childbearing ."
01018012,"Therefore Sarah laughed within herself . She said to herself : "" After I have grown old , shall I have a baby ? My lord is old also . """
01018019,"» I have chosen him , that he may command his children and his household ; and that they may remain in the righteous and just way of Jehovah . Jehovah will bring to Abraham what he told him . «"
01018021,» I will go down now and see whether they have done the bad things I have been told . Then I will know . «
01018027,"Then Abraham answered and said : » Indeed now , I who am only dust and ashes have taken it upon myself to speak to Jehovah :"
01018031,"Abraham then said : » Indeed now , I have taken it upon myself to speak to Jehovah : Suppose twenty should be found there ? « God replied : » I will not destroy it for the sake of twenty . «"
01019013,» We will destroy the city completely . The stench of the place has reached Jehovah . He has sent us to destroy it . «
01019019,"» You have been so kind to me and saved my life , and you have granted me such mercy . But I cannot go to the mountains . Disaster would catch up to me there , and I would soon die ."
01019023,The sun had just risen over the land as Lot came to Zoar .
01019027,Early the next morning Abraham came to the place where he had stood in front of Jehovah .
01020003,"God appeared to the king in a dream and said : » You are going to die , because you have taken this woman . She is already married . «"
01020004,"Abimelech had not come near her . He said : » Lord , I am innocent ! Would you destroy my people and me ?"
01020005,» Abraham said that she was his sister . She said the same thing . I did this with a clear conscience . I have done no wrong ! «
01020009,Then Abimelech called Abraham . He said to him : » What have you done to us ? And how have I sinned against you ? You have brought a great sin on me and on my kingdom . You have done to me things that ought not to be done . «
01020016,He said to Sarah : » Do not forget that I have given your brother twenty-five pounds of silver . This is to silence any criticism against you from everyone with you . You are completely cleared . «
01020018,Jehovah had made it impossible for any woman in Abimelech’s household to have children because of Abraham’s wife Sarah .
01021001,"Jehovah was gracious to Sarah , as he had said . Jehovah did for Sarah what he had promised ."
01021002,Sarah became pregnant and bore a son to Abraham in his old age . It was at the very time God had promised him .
01021004,"When his son Isaac was eight days old , Abraham circumcised him as God had commanded him ."
01021007,She added : » Who would have said to Abraham that Sarah would nurse children ? Yet I have borne him a son in his old age . «
01021009,Sarah saw that the son whom Hagar the Egyptian had borne to Abraham was laughing in mockery .
01021017,"God heard the lad crying . The angel of God called to Hagar from heaven and said to her : » What is the matter with you , Hagar ? Do not fear ! God has heard the voice of the lad where he is ."
01021023,» Swear to me here by God that you will not deal falsely with me or with my offspring or with my posterity . Consider the kindness that I have shown to you . Please show it to me and to the land in which you have sojourned . «
01021025,Abraham complained to Abimelech because of the well of water that the servants of Abimelech had seized .
01021026,"Abimelech said : » I do not know who has done this thing . You did not tell me , nor did I hear of it until today . «"
01021029,"Abimelech asked Abraham : » What do these seven ewe lambs mean , which you have set by themselves ? «"
01022003,Early the next morning Abraham saddled his donkey . He took two of his servants and his son Isaac with him . He had cut the wood for the burnt offering . Then he set out for the place that God had told him about .
01022016,"He said : » I am taking an oath on my own name , declares Jehovah , that because you have done this and have not refused to give me your son , your only son ,"
01022018,‘ » All the nations will ask me to bless them as I have blessed your descendants . This is because you obeyed my command . ’ «
01022019,Abraham and Isaac went back to the servants who had come with him . They returned to Abraham’s home in Beer-sheba .
01022020,"Abraham’s brother Nahor had married Milcah , and Abraham was later told that they had eight sons ."
01023016,"Abraham listened to Ephron . Abraham weighed out for Ephron the silver that he had named in the hearing of the sons of Heth , four hundred shekels of silver , commercial standard ."
01023018,His property included the field with the cave in it as well as all the trees inside the boundaries of the field . The Hittites together with all who had entered the city gate were the official witnesses for the agreement .
01024001,"By now Abraham was old , and Jehovah had blessed him in every way ."
01024014,"» Let there be the girl to whom I say : ‘ Please let down your jar so that I may drink , ' and who answers : ' Drink , and I will water your camels also . ' May she be the one whom you have appointed for your servant Isaac . By this I will know that you have shown loving-kindness to my master . «"
01024016,"The girl was a very attractive virgin . No man had ever had sexual intercourse with her . She went to the spring and filled her jar , and came back ."
01024019,"When she finished giving him a drink , she said : » I will also keep drawing water for your camels until they have had enough to drink . «"
01024022,"When the camels had finished drinking , the man took out a gold nose ring weighing a fifth of an ounce and two gold bracelets weighing four ounces ."
01024027,"He said : » Praise Jehovah , the God of my master Abraham . He has faithfully kept his promise to my master . Jehovah has led me straight to my master’s relatives . «"
01024030,"Laban had seen the nose ring and the bracelets on his sister’s arms and had heard her say what the man told her . He went to Abraham’s servant , who was standing by his camels at the well ,"
01024031,and said : » Come home with me . You are a man Jehovah has blessed . Why are you standing out here ? I have a room ready for you in my house . There is a place for your camels . «
01024033,Food was brought . The man said : » I will not eat until I have said what I have to say . « Laban responded : » Go ahead and speak . «
01024035,"» Jehovah has greatly blessed my master and made him a rich man . He has given him flocks of sheep and goats , cattle , silver , gold , male and female slaves , camels , and donkeys ."
01024036,"» Sarah , my master’s wife , did not have any children until she was very old . Then she had a son , and my master has given him everything ."
01024040,"» He said to me : ‘ Jehovah , before whom I have walked , will send his angel with you to make your journey successful . You will take a wife for my son from my relatives and from my father’s house ."
01024044,"» And she will say to me , » You drink , and I will draw for your camels also , « let her be the woman whom Jehovah has appointed for my master’s son . ’"
01024045,"» Before I had finished speaking in my heart , Rebekah came out with her jar on her shoulder . She went down to the spring and drew , and I said to her , ‘ Please let me drink . ’"
01024051,"» Here is Rebekah before you ; take her and go . Let her be the wife of your master’s son , as Jehovah has spoken . «"
01024056,He said : » Do not make us stay . Jehovah has made my journey a success . Let me go back to my master . «
01024062,Isaac had come into the wilderness of » The Well of the Living One Who Sees Me . « He was staying in the southern part of Canaan .
01024066,The servant told Isaac everything he had done .
01024067,Isaac brought Rebecca into the tent that his mother Sarah had lived in . She became his wife . Isaac loved Rebecca . He was comforted for the loss of his mother .
01026008,"After Isaac had been there a long time , King Abimelech looked out a window and saw Isaac intimately laughing and caressing Rebekah ."
01026010,"» Do you know what you have done ? « Abimelech shouted . » If someone had slept with her , you would have made our whole nation guilty ! «"
01026015,The Philistines stopped up all the wells that his father’s servants had dug in the days of Abraham his father . They filled them with dirt .
01026018,Then Isaac dug the water wells that had been dug in the days of his father Abraham . The Philistines had stopped them up after the death of Abraham . He gave them the same names his father had given them .
