"verse_id","language","text"
"10002007","DEU","So fasset nun Mut und zeigt euch als wackere Männer ; denn Saul , euer Herr , ist tot . Auch hat mich das Haus Juda zum König über sich gesalbt ."
"10002007","ENG","» Be strong and courageous . Your master Saul is dead . Therefore the tribe of Judah has anointed me to be their king . «"
"10003008","DEU","Da wurde Abner sehr zornig über die Worte Isbaals und sprach : Bin ich denn jetzt ein judäischer Hundskopf , nachdem ich dem Hause deines Vaters Saul , seinen Brüdern und Freunden , Liebe erwiesen und dich nicht in die Hände Davids habe geraten lassen ? Und du machst mir heute Vorwürfe wegen eines Weibes ?"
"10003008","ENG","Ishbosheth’s question made Abner very angry . » Am I a dog that belongs to Judea ? « He asked . » Until now I have been faithful to your father Saul’s family , to his relatives and friends . I did not hand you over to David . But now you charge me with a crime because of this woman ."
"10003019","DEU","Ebenso redete Abner zu den Benjaminiten . Darnach ging Abner auch hin , um David in Hebron alles zu berichten , was Israel und das ganze Haus Benjamin beschlossen hatten ."
"10003019","ENG","Abner also spoke to the people of Benjamin . Then Abner went directly to David in Hebron . He told him everything Israel and the entire tribe of Benjamin had approved ."
"10004001","DEU","ALS aber Isbaal , der Sohn Sauls , hörte , dass Abner in Hebron umgekommen war , entsank ihm der Mut , und ganz Israel erschrak ."
"10004001","ENG","Saul’s son Ishbosheth heard that Abner had died in Hebron . He lost his courage , and all Israel was alarmed ."
"10004008","DEU","brachten den Kopf Isbaals zu David nach Hebron und sprachen zum König : Da hast du den Kopf Isbaals , des Sohnes Sauls , deines Feindes , der dir nach dem Leben stellte . Der Herr hat heute meinem Gebieter , dem König , Rache gewährt an Saul und seinem Geschlecht ."
"10004008","ENG","They took the head of Ishbosheth to David at Hebron and said to the king , » Here is the head of Ishbosheth the son of Saul , your enemy , who sought your life . Jehovah has given my lord the king vengeance this day on Saul and his descendants . «"
"10004010","DEU","den , der mir die Kunde brachte : "" Saul ist tot ! "" und der meinte , er sei ein Freudenbote , den griff ich und tötete ihn in Ziklag und gab ihm so den Botenlohn ."
"10004010","ENG","» I once seized a man who told me that Saul had died . He thought he was bringing good news . I killed him in Ziklag to reward him for his news ."
"10005012","DEU","Und David erkannte , dass der Herr ihn als König über Israel bestätigt und sein Königtum emporgebracht habe um seines Volkes Israel willen ."
"10005012","ENG","David knew that Jehovah made him king of Israel and that he had made him a powerful ruler for the good of his people ."
"10006012","DEU","Als man nun dem König David meldete : "" Der Herr hat das Haus Obed-Edoms und alles , was ihm gehört , um der Lade Gottes willen gesegnet "" , da ging David hin und holte die Lade Gottes mit Freuden aus dem Hause Obed-Edoms in die Stadt Davids herauf ."
"10006012","ENG","King David was told : » Jehovah has blessed Obed Edom’s home and everything he owns because of the Ark of God . « Then David joyfully went to get the Ark of God from Obed Edom’s house and bring it to the City of David ."
"10007019","DEU","Und auch das war dir noch nicht genug , o Gott mein Herr ; du hast sogar dem Hause deines Knechtes auf ferne Zukunft hin Verheissungen gegeben und hast mich viele Geschlechter von Menschen schauen lassen , o Gott mein Herr !"
"10007019","ENG","» Yet this was insignificant in your eyes , O Sovereign Lord Jehovah for you have spoken also of your servant’s house in the distant future . And this is the law for man , O Sovereign Lord Jehovah ."
"10007021","DEU","Um deines Knechtes willen und nach deinem Herzen hast du gehandelt , indem du all dies Grosse deinem Knechte kund tatest ."
"10007021","ENG","» For the sake of your Word and according to your will you have done this great thing . You have made it known to your servant !"
"10007022","DEU","Darum bist du gross , o Gott mein Herr ; denn keiner ist dir gleich , und kein Gott ist ausser dir , nach allem , was wir mit unsern Ohren gehört haben ."
"10007022","ENG","» For this reason you are great , O Sovereign Lord Jehovah . There is none like you . There is no God besides you according to all that we have heard with our ears ."
"10007024","DEU","Du aber hast dir dein Volk Israel auf ewig zum Volke bestimmt , und du , Herr , bist sein Gott geworden ."
"10007024","ENG","» You chose Israel to be your people from generation to generation ! You have become their God ."
"10007027","DEU","Denn du , Herr der Heerscharen , Gott Israels , hast deinem Knecht geoffenbart : "" Ich will dir ein Haus bauen . "" Darum hat sich dein Knecht ein Herz gefasst , so zu dir zu beten ."
"10007027","ENG","» Now therefore , may it please you to bless the house of your servant that it may continue a long time before you . You O Lord Jehovah have spoken . May the house of your servant be blessed from generation to generation ."
"10007028","DEU","Und nun , o Gott mein Herr , du bist Gott , und deine Worte sind Wahrheit ; du hast deinem Knechte solches Glück verheissen -"
"10007028","ENG","» Lord Jehovah , you are God . You have promised me some very good things , and you can be trusted to do what you promise ."
"10010006","DEU","Als aber die Ammoniter sahen , dass sie David verhasst geworden waren , sandten sie hin und warben die Syrer von Beth-Rehob und die Syrer von Zoba an , 20000 Mann Fussvolk , und den König von Maacha mit tausend Mann und die Leute von Tob , zwölftausend Mann ."
"10010006","ENG","The Ammonites realized they had made themselves repulsive to David . They hired the Arameans from Beth Rehob and Zobah , with twenty thousand foot soldiers . From the army of the king of Maacah they hired one thousand men , and twelve thousand men of Tob ."
"10010015","DEU","Als nun die Syrer sahen , dass sie von Israel geschlagen worden waren , sammelten sie sich wieder ."
"10010015","ENG","The Syrians knew they had been defeated by the Israelites . They called all their troops together ."
"10010019","DEU","Als sich nun alle die Könige , die Hadad-Eser untertan waren , von Israel geschlagen sahen , machten sie Frieden mit Israel und unterwarfen sich . Und die Syrer fürchteten sich , den Ammonitern noch fernerhin zu helfen ."
"10010019","ENG","As soon as the kings who were subject to Hadadezer realized that they had been defeated by the Israelites , they made peace with them and became their subjects . The Syrians were afraid to help the Ammonites any more ."
"10014013","DEU","Die Frau sprach : Warum denn hast du solches wider das Volk Gottes im Sinn - indem der König so entschieden hat , ist er ja selbst gleichsam ein Schuldiger - , dass der König seinen Verstossenen nicht zurückkehren lässt ?"
"10014013","ENG","The woman said : » Have you been hurting God’s people ? Your own son had to leave the country . When you judged in my favor , it was the same as admitting that you should have let him come back ."
"10014021","DEU","Da sprach der König zu Joab : Wohlan , ich erfülle diese Bitte . Geh hin und hole den Jüngling Absalom zurück ."
"10014021","ENG","Later on the king said to Joab : » I have decided to do what you want . Go and get the young man Absalom and bring him back here . «"
"10015024","DEU","Siehe , da waren auch Zadok und Abjathar mit allen Leviten ; die trugen die Bundeslade Gottes und stellten sie dort nieder , bis alles Volk aus der Stadt vollständig vorbeigezogen war ."
"10015024","ENG","Zadok the priest was there . He had Levites there carrying the sacred Ark of God . They set it down and did not pick it up again until all the people left the city . The priest Abiathar was there too ."
"10016018","DEU","Husai erwiderte Absalom : Nein ! sondern wen der Herr erwählt hat und dieses Volk und alle Männer Israels , zu dem gehöre ich und bei dem bleibe ich !"
"10016018","ENG","Hushai answered : » Jehovah and the people of Israel have chosen you to be king . I cannot leave . I must stay and serve the one they have chosen ."
"10018021","DEU","Dann sprach Joab zu dem Mohren : Geh und melde dem König , was du gesehen hast ! Der Mohr warf sich vor Joab nieder und lief hin ."
"10018021","ENG","Someone from Ethiopia was standing there . Joab told him : » Go tell the king what you have seen . « The man knelt down in front of Joab and then got up and started running ."
"10019010","DEU","da zankten sich die Leute in allen Stämmen Israels und sprachen : Der König hat uns aus der Hand unsrer Feinde errettet , er hat uns aus der Hand der Philister befreit , und jetzt hat er vor Absalom aus dem Lande fliehen müssen ."
"10019010","ENG","» Absalom , whom we anointed to rule us , has died in battle . Why is no one talking about reinstating the king ? «"
"10019022","DEU","Da hob Abisai , der Sohn der Zeruja , an und sprach : Soll Simei nicht dafür getötet werden , dass er dem Gesalbten des Herrn geflucht hat ?"
"10019022","ENG","David exclaimed : » Abishai , what will I do with you and your brother Joab ? Is it your job to tell me who has done wrong ? I have been made king of all Israel today . No one will be put to death ! «"
"10019030","DEU","Der König sprach zu ihm : Wozu die Worte ? Ich entscheide : Du und Ziba , teilt euch in das Gut !"
"10019030","ENG","» Let him take it all , « Mephibosheth told the king . » It is enough for me that you have come home safely . «"
"10021012","DEU","ging David hin , liess sich von den Bürgern von Jabes in Gilead die Gebeine Sauls und seines Sohnes Jonathan herausgeben , die sie von dem grossen Platz in Bethsan heimlich weggenommen hatten , wo sie von den Philistern aufgehängt worden waren an dem Tage , da diese den Saul am Gilboa schlugen ,"
"10021012","ENG","David took the bones of Saul and his son Jonathan from the citizens of Jabesh Gilead . They had stolen them from the public square of Beth Shean , where the Philistines hung them the day they killed Saul at Gilboa ."
"10022005","DEU","Mich hatten die Wogen des Todes umfangen , die Bäche des Verderbens erschreckten mich ;"
"10022005","ENG","» The waves of death had surrounded me . The torrents of destruction had overwhelmed me ."
"10023003","DEU","Gesprochen hat der Gott Jakobs , zu mir geredet der Fels Israels : Wer gerecht herrscht über die Menschen , wer herrscht in der Furcht Gottes ,"
"10023003","ENG","» The God of Israel has spoken . The protector of Israel said to me : ‘ The king who rules with justice , who rules in obedience to God ."
"10024015","DEU","So wählte sich David die Pest . Es war gerade die Zeit der Weizenernte , als die Seuche begann , und es starben im Volke von Dan bis Beerseba 70000 Mann ."
"10024015","ENG","So Jehovah sent a plague among the Israelites from that morning until the time he had chosen . Of the people from Dan to Beersheba , seventy thousand died ."
"10024021","DEU","Und Arauna sprach : Warum kommt mein Herr und König zu seinem Knecht ? David sprach : Um dir die Tenne abzukaufen und dem Herrn einen Altar zu bauen , damit der Seuche im Volke Einhalt getan werde ."
"10024021","ENG","and said : » My lord the king ! Why have you come to see me ? « David answered : » I came to buy your threshing place . I have to build Jehovah an altar here , so this disease will stop killing the people . «"
"11001011","DEU","Da sprach Nathan zu Bathseba , der Mutter Salomos : Hast du nicht gehört , dass Adonia , der Sohn der Haggith , König geworden ist , ohne dass David , unser Herr , darum weiss ?"
