verse_id,english_text
1001031,"god see all that -pron- have make . -pron- be very good . there be evening , and there be morning , the sixth day ."
1002003,god bless the seventh day and make -pron- holy . this be because -pron- rest from all the work of creation -pron- have do .
1003013,"then jehovah god say to the eve : » what be this -pron- have do ? « the woman answer : » the serpent deceive -pron- , and -pron- eat . «"
1003022,"jehovah say : » the man have now become like one of -pron- , know good and evil . -pron- must not be allow to reach out -pron- hand and take also from the tree of life and eat , and live forever . «"
1006005,jehovah see how great man 's wickedness on the earth have become . every inclination of the thought of -pron- heart be only evil all the time .
1006007,"so jehovah say : » -pron- will wipe mankind , whom -pron- have create , from the face of the earth . all of -pron- : man and animal , and creature that move along the ground , and bird of the air . -pron- be sorry that -pron- create -pron- . «"
1006012,god see how corrupt the earth have become . all the people on earth have corrupt -pron- way .
1007001,"jehovah say to noah : » go into the ark , -pron- and -pron- whole family . for -pron- have find -pron- righteous in this generation ."
1007004,» seven day from now -pron- will send rain on the earth for forty day and forty night . -pron- will wipe from the face of the earth every living creature -pron- have make . «
1008013,"by the first day of the first month of noah 's six hundred and first year , the water have dry up from the earth . noah then remove the covering from the ark and see that the surface of the ground be dry ."
1008021,"jehovah smell the pleasing aroma and say in -pron- heart : » never again will -pron- curse the ground because of man , for the intent of -pron- heart be evil from childhood . -pron- will never again destroy every living creature , as -pron- have do ."
1009017,god say : » this be the sign of the covenant -pron- have establish with all life on the earth . «
1011006,"jehovah say : » if -pron- become one people speak the same language , nothing will be impossible for -pron- . -pron- have begin to do this ."
1012005,"-pron- take -pron- wife sarai , -pron- nephew lot , all the possession -pron- have accumulate and the people -pron- have acquire in haran . -pron- set out for the land of canaan and soon arrive there ."
1013002,abram have become very wealthy in livestock and in silver and gold .
1014022,"but abram say to the king of sodom : » -pron- have swear to jehovah , god most high , maker of heaven and earth :"
1016008,"-pron- say : » hagar , servant of sarai , where have -pron- come from , and where be -pron- go ? « » -pron- be run away from -pron- mistress sarai , « -pron- answer ."
1016011,jehovah 's angel also say : » -pron- be now with child and -pron- will have a son . -pron- shall name -pron- ishmael mean : god hear . jehovah have hear of -pron- misery .
1017005,» -pron- will no longer be call abram exalted father . -pron- name will be abraham mean father of many . -pron- have make -pron- a father of many nation .
1017020,"» concern ishmael , -pron- have hear -pron- : -pron- will surely bless -pron- . -pron- will make -pron- fruitful and will greatly increase -pron- number . -pron- will be the father of twelve ruler , and -pron- will make -pron- into a great nation ."
1018005,"» -pron- will bring a bite to eat to refresh -pron- . stay a while before -pron- continue -pron- journey . « -pron- respond : » very well , do as -pron- have say . «"
1018012,"therefore sarah laugh within -pron- . -pron- say to -pron- : "" after -pron- have grow old , shall -pron- have a baby ? -pron- lord be old also . """
1018019,"» -pron- have choose -pron- , that -pron- may command -pron- child and -pron- household ; and that -pron- may remain in the righteous and just way of jehovah . jehovah will bring to abraham what -pron- tell -pron- . «"
1018021,» -pron- will go down now and see whether -pron- have do the bad thing -pron- have be tell . then -pron- will know . «
1018031,"abraham then say : » indeed now , -pron- have take -pron- upon -pron- to speak to jehovah : suppose twenty should be find there ? « god reply : » -pron- will not destroy -pron- for the sake of twenty . «"
1019013,» -pron- will destroy the city completely . the stench of the place have reach jehovah . -pron- have send -pron- to destroy -pron- . «
1019019,"» -pron- have be so kind to -pron- and save -pron- life , and -pron- have grant -pron- such mercy . but -pron- can not go to the mountain . disaster would catch up to -pron- there , and -pron- would soon die ."
1019027,early the next morning abraham come to the place where -pron- have stand in front of jehovah .
1020003,"god appear to the king in a dream and say : » -pron- be go to die , because -pron- have take this woman . -pron- be already marry . «"
1020004,"abimelech have not come near -pron- . -pron- say : » lord , -pron- be innocent ! would -pron- destroy -pron- people and -pron- ?"
1020018,jehovah have make -pron- impossible for any woman in abimelech 's household to have child because of abraham 's wife sarah .
1021001,"jehovah be gracious to sarah , as -pron- have say . jehovah do for sarah what -pron- have promise ."
1021009,sarah see that the son whom hagar the egyptian have bear to abraham be laugh in mockery .
1021029,"abimelech ask abraham : » what do these seven ewe lamb mean , which -pron- have set by -pron- ? «"
1022003,early the next morning abraham saddle -pron- donkey . -pron- take two of -pron- servant and -pron- son isaac with -pron- . -pron- have cut the wood for the burn offering . then -pron- set out for the place that god have tell -pron- about .
1022018,' » all the nation will ask -pron- to bless -pron- as -pron- have bless -pron- descendant . this be because -pron- obey -pron- command . ' «
