TokenID,t_o,FullText,Target,t_surf,DtExp,CS,Reason,DtRes,CS,Reason,DtUniv,CS,Reason,DtDTAM,TLTS,CS,Reason,TLAspPfv,CS,Reason,TLMdIrr,CS,Reason,ClNegPol,CS,Reason,ClIntgv,CS,Reason,ClCntfcl,CS,Reason,VcPass,CS,Reason,ASTrns,CS,Reason,ASUnrg,CS,Reason,ASUncc,CS,Reason,AktState,CS,Reason,AktAct,CS,Reason,AktAcc,CS,Reason,AktAch,CS,Reason,AktSemel,CS,Reason,eng_gram,cmn_gram,deu_gram,jpn_gram,metadata
40001018,1,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,had been promised,0,High," ""Had been promised"" describes a change of social status (promised marriage) and implies a state (being engaged) relevant at the reference time, thus it is not Experiential.",1,High," The phrase ""had been promised"" indicates a change of social/legal status (promised to be married) that is still in effect at the time of the narrative, thus fulfilling the criteria for Resultative.",0,High," The phrase ""had been promised"" describes a completed action of promising, focusing on the resulting state of being promised rather than the duration of the promising itself, thus it is not Universal.",0,1,High," The auxiliary ""had"" is overtly past, indicating a past perfect passive construction, thus triggering a value of 1 according to the diagnostics.",1,High," ""Had been promised"" is a passive perfect construction describing a bounded event (the promise), not a progressive action or a state.",0,High," The phrase ""had been promised"" describes a past event that actually occurred, indicating a fact about the actual world rather than a hypothetical or potential situation.",0,High," The clause ""had been promised"" does not fall under the scope of any negation; there is no ""not"", negative quantifier, ""never"", ""neither"", or ""nor"" associated with it.",0,High," ""Had been promised"" describes a state resulting from a process with duration, not an instantaneous transition, and is incompatible with the diagnostics for Achievement Aktionsart.",0,High," The phrase ""had been promised"" describes a past event that actually happened, indicating a state of being promised before the marriage, not a counterfactual situation.",1,High," The target gram ""had been promised"" follows the passive morphology HAVE/HAS/HAD + BEEN + PAST PARTICIPLE, and the subject ""His mother Mary"" is the recipient of the action, not the agent.",1,High," The verb ""promised"" in the passive voice ""had been promised"" indicates a transitive underlying verb, thus satisfying the condition for ASTrns = 1.",0,High," ""Had been promised"" is a passive construction where Mary undergoes a change of state (being promised), thus it is not an unergative verb.",0,High," The target ""had been promised"" is a passive construction (""been + participle""), indicating a derived transitive rather than an unaccusative verb.",0,--,"OR ""Had been promised"" describes a state of being engaged, a relationship that existed over a period of time before the events described, fitting the definition of a static situation with no inherent change or energy input.",0,High," ""Had been promised"" implies a state resulting from a prior event, not a continuous activity requiring ongoing energy input.",0,High," ""Had been promised"" describes a social/legal transaction (promise of marriage), which falls under the category of Cognitive Decision/Social Transaction and is therefore an Achievement, not an Accomplishment.",1,--,"OR ""Had been promised"" describes a state resulting from a process with duration, not an instantaneous transition, and is incompatible with the diagnostics for Achievement.",0,High," ""Had been promised"" implies a state resulting from a prior event (the promise), and the state of being promised has a duration, thus it is not a semelfactive event.","past, participle",le,"prat, indikativ, sein, partizip",n_a,
40001024,1,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,had commanded,1,High," ""Had commanded"" is a verb of communication, fitting the criteria for Experiential (DtExp) being set to 1.",0,High," The phrase ""had commanded"" describes a past instruction, but the text doesn't focus on the current state resulting from that command; rather, it sets the stage for the subsequent action of taking Mary as his wife.",0,High," The phrase ""had commanded"" describes a completed action in the past, focusing on the single event of the angel giving a command, rather than a state or habitual series continuing to the reference time.",1,1,High," The auxiliary ""had"" is overtly past, indicating a past perfect tense, which is a tense shift according to the diagnostics.",1,High," ""Had commanded"" uses Simple Perfect morphology with a dynamic verb (""command""), and the event advances the narrative, fitting the criteria for perfective aspect.",0,High," The phrase ""had commanded"" describes a past action that actually occurred, indicating a realized event in the actual world.",0,High," The clause ""had commanded"" is not directly modified by a negator, nor does it fall under the scope of a negative quantifier or adverb; the negation, if any, applies to a different part of the sentence.",0,High," The verb ""command"" describes an action with duration and a process leading to a result, not an instantaneous transition, and it is incompatible with ""at [specific time]"" but compatible with ""finish commanding.""",0,High," The phrase ""had commanded"" describes a past action that actually happened, as part of a narrative, and does not express a counterfactual scenario.",0,High," The target gram ""had commanded"" is in the active voice, as Joseph (the subject) is the one doing the commanding.",1,High," The verb ""commanded"" has an overt direct object ""him to do,"" indicating a transitive usage.",0,High," The verb ""commanded"" is transitive, taking ""him"" as a direct object, thus violating the requirement for an intransitive verb in an unergative construction.",0,High," ""Had commanded"" is a transitive verb phrase with ""him"" as the direct object, thus it cannot be unaccusative.",0,High," ""Had commanded"" describes an action that Joseph was instructed to perform, indicating a dynamic event rather than a static state.",0,High," ""Had commanded"" implies a specific instruction or goal given by the angel, indicating an endpoint and thus not fitting the criteria for an activity.",0,High," ""Command"" is a cognitive decision, which the diagnostics specify should be set to 0.",1,--,OR,0,High," The verb ""command"" implies a directive that is followed over a period of time, indicating duration and thus not a semelfactive event.","participle, past",suo_de,"prat, indikativ, haben, partizip",ta,
40003002,1,"» Repent , for the kingdom of heaven has come near . «",has come near,has come near,0,High," The verb phrase ""has come near"" describes a change of location, and the kingdom is now near, fitting the criteria for a Resultative reading (0).",1,High," The verb ""has come near"" is a motion verb where the kingdom of heaven has moved to a destination (near) and remains there at the reference time, indicating a lasting change of location.",0,High," The phrase ""has come near"" describes a Change of State (the kingdom transitioning to a state of nearness), focusing on the resulting condition rather than the duration of the action itself.",0,0,High," The gram ""has come near"" is a standard Present Perfect construction formed with the present auxiliary ""has"" and the past participle ""come,"" thus fitting the criteria for a 0.",1,High," ""Has come near"" describes a transition or boundary being reached, fitting the perfective aspect's focus on the completion of the event of approaching.",0,High," The phrase ""has come near"" asserts a fact about the actual world, indicating that the kingdom of heaven is now close, thus representing a realized event.",0,High," The clause ""has come near"" is a positive assertion, not under the scope of any negation.",0,High," ""Has come near"" describes an instantaneous transition to a state of proximity, fitting the definition of an Achievement and aligning with the 'at [specific time]' compatibility (e.g., ""It has come near at this moment"").",0,High," The phrase ""has come near"" describes a present state resulting from a past event, indicating a real event that has happened, not a counterfactual scenario.",0,High," The verb phrase ""has come near"" is in the active voice, indicating that the kingdom of heaven is the agent performing the action of approaching.",0,High," The verb phrase ""has come near"" functions intransitively; ""near"" acts as an adverbial modifier, not a direct object, indicating a state or condition rather than an action performed on an object.",0,High," The verb phrase ""has come near"" describes a change of state happening to the kingdom of heaven, making it unaccusative rather than unergative.",1,High," ""Come near"" describes a change of location (the kingdom moving closer), and the subject ""kingdom of heaven"" is not an agent controlling the event, thus fitting the unaccusative criteria.",0,High," ""Has come near"" describes a change of state, specifically the kingdom transitioning to a state of nearness, indicating a dynamic event rather than a static situation.",0,High," ""Has come near"" implies a change of state resulting in a new, closer proximity, suggesting a completed transition to a state of nearness, thus implying an endpoint.",1,High," ""Come near"" implies a motion verb with a goal (nearness), fitting the 'Motion Verb + Goal' criterion for an accomplishment.",0,--,OR,0,High," ""Has come near"" implies a change of state (the kingdom being near now, when it wasn't before) and a duration leading up to that state, thus not fitting the instantaneous, atelic nature of a semelfactive event.","past, participle",le,"prasens, indikativ, sein, partizip",ta,
40003017,1,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,have approved,0,--,OR,1,High," The verb ""have approved"" describes a change of social/legal status (approval) that is currently held, fitting the criteria for Resultative.",0,High," The phrase ""have approved"" describes a completed action with a focus on the result of the approval, rather than the duration of the approving process, indicating a resultative meaning.",0,0,High," The gram ""have approved"" is a standard Present Perfect construction formed with the present tense auxiliary ""have"" and the past participle ""approved,"" thus fitting the criteria for a 0.",1,High," ""Have approved"" uses Simple Perfect morphology with a verb that implies a transition or boundary (approval), and it advances the narrative, thus it is perfective.",0,High," The phrase ""have approved"" is in the present perfect tense and describes a completed action in the past with relevance to the present, presented as a fact about the actual world.",0,High," The clause ""have approved"" is not directly modified by a negator, nor does it fall under the scope of a negative quantifier or adverb; it is a positive assertion.",0,High," ""Have approved"" describes an instantaneous transition to a state of approval, fits with ""at [specific time]"" (e.g., ""He approved at that moment""), resists ""stop approving,"" and has no inherent duration, thus fitting the criteria for an Achievement.",0,High," The phrase ""have approved"" describes a real event that actually happened, as it is presented as a statement of fact from a divine source, not a hypothetical or counterfactual situation.",0,High," The target gram ""have approved"" is in the active voice, as the subject ""I"" is the agent performing the action of approving.",1,High," ""have approved"" takes ""whom"" (referring to ""my Son"") as a direct object, fulfilling the criteria for a transitive verb.",0,High," ""have approved"" is transitive because it takes ""whom"" (referring to ""my Son"") as a direct object, thus violating the intransitivity requirement for unergative verbs.",0,High," ""have approved"" is a transitive verb phrase in the active voice, taking ""whom"" (referring to ""my Son"") as its direct object, thus it cannot be unaccusative.",0,High," ""Have approved"" describes an event that has occurred, indicating a change of state and a completed action, thus it is not a static situation.",0,High," ""Have approved"" implies a specific endpoint or goal of approval, making it more akin to an accomplishment than an activity.",0,High," ""Approve"" is a cognitive decision, which the diagnostics explicitly states should be set to 0.",1,High," ""Have approved"" describes an instantaneous transition to a state of approval, fits with ""at [specific time]"" (e.g., ""He approved at that moment""), resists ""stop"" (""stop approving"" implies a process, not the achievement), and has no inherent duration.",0,High," ""Have approved"" implies a change of state (approval) and a resulting condition, thus it is not a semelfactive event.","present, participle",suo_de,"prasens, indikativ, haben, partizip",n_a,
40004012,1,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,had been arrested,0,High," The state of being arrested is relevant to Jesus's subsequent withdrawal, indicating a Resultative rather than Experiential reading.",1,High," The phrase ""had been arrested"" describes a change of state (from free to imprisoned) and implies that John remains arrested at the time Jesus heard about it, thus fulfilling the Resultative criteria.",0,High," The phrase ""had been arrested"" describes a completed event with a focus on the resulting state of John being in custody, rather than the duration of the arrest itself, indicating a resultative rather than universal aspect.",0,1,High," The auxiliary ""had"" is overtly past, indicating a past perfect construction, which triggers a value of 1 according to the diagnostics.",1,High," The target gram is a passive perfect (""had been arrested""), which, according to the diagnostics, should be treated as a bounded event and thus perfective.",0,High," The phrase ""had been arrested"" describes a past event that actually occurred, presented as a fact, thus it is Realis.",0,High," The clause ""John had been arrested"" is not under the scope of any negator; the sentence simply states that the arrest occurred.",0,High," ""Had been arrested"" describes an instantaneous transition into the state of being arrested, fits the 'at [specific time]' test (e.g., ""He was arrested at noon""), and resists 'stop' (you can't ""stop being arrested"").",0,High," The phrase ""had been arrested"" describes a past event that actually happened, indicating a factual past rather than a counterfactual scenario.",1,High," The target gram ""had been arrested"" follows the passive morphology HAVE/HAS/HAD + BEEN + PAST PARTICIPLE, and the subject ""John"" is the one affected by the action of being arrested.",1,High," The clause is passive (""had been arrested""), and passive clauses are considered transitive according to the diagnostics.",0,High," ""Had been arrested"" describes a change of state happening to John, making it an unaccusative event rather than an unergative one.",0,High," The target ""had been arrested"" is a passive construction, indicated by ""been + participle,"" and therefore not an unaccusative verb.",0,High," ""Had been arrested"" describes a change of state (from free to arrested) and implies a process leading to that state, thus being dynamic and not a static state.",0,High," ""Had been arrested"" implies a change of state with a clear endpoint (being in custody), thus not fitting the criteria for an activity.",0,High," ""Arrested"" is an achievement; it's an instantaneous change of state, even if the events leading up to it took time.",1,High," ""Had been arrested"" describes an instantaneous transition into the state of being arrested, fits with ""at [specific time]"" (e.g., He had been arrested at noon), resists ""stop"" (You cannot ""stop being arrested""), and has no duration, thus fitting the criteria for an Achievement.",0,High," The phrase ""had been arrested"" implies a change of state (from free to imprisoned) and a duration of being in custody, thus not fitting the instantaneous, atelic nature of a semelfactive event.","past, participle",compound,"prat, indikativ, sein, werden, partizip",ta,
40005027,1,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,have heard,1,High," ""Heard"" is a verb of perception, which directly triggers the Experiential feature according to the diagnostics.",0,High," The verb ""have heard"" describes an act of perception that does not result in a lexical change of state for the subject; it's about the experience of hearing, not a resulting state of knowing.",0,High," The phrase ""have heard it was said"" refers to a single, completed event of hearing a specific statement, rather than a continuous state or habitual action.",0,0,High," The gram ""have heard"" is a standard Present Perfect construction formed with the present tense auxiliary ""have"" and a past participle, thus not tense-shifted.",1,High," The verb ""hear"" marks a transition of information from unheard to heard, and the perfect tense focuses on the completion of that transition, making it perfective.",0,High," The phrase ""have heard"" is in the present perfect tense and describes a completed action in the past with relevance to the present, asserting a fact about the actual world.",0,High," The negation ""not"" applies to the subordinate clause ""should commit adultery,"" not to the main clause ""have heard.""",0,High," ""Have heard"" implies a state resulting from a previous event (hearing), not an instantaneous transition or achievement.",0,High," The phrase ""have heard"" describes a past event that actually happened, where the audience has received information, and it doesn't express a counterfactual scenario, regret, or unfulfilled wish.",0,High," The target gram ""have heard"" is in the active voice, where the subject ""You"" is the agent performing the action of hearing.",1,--,OR,0,High," The verb ""heard"" is transitive in this sentence because it takes ""it"" as a direct object, thus disqualifying it from being an unergative verb.",0,High," The verb ""hear"" is not intransitive in this context; it takes ""it"" as a direct object, making it a transitive verb, and therefore not unaccusative.",0,--,OR,0,--,OR,0,High," ""Hear"" in this context represents a cognitive decision or understanding of information, which aligns with the negative constraint of cognitive verbs being achievements rather than accomplishments.",1,--,OR,0,High," ""Have heard"" implies a state resulting from a past event of hearing, indicating a change of state and duration, thus not fitting the instantaneous, atelic nature of a semelfactive event.","present, participle",guo,"prasens, indikativ, haben, partizip","te, iru",
40005038,1,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,have heard,1,High," The verb ""heard"" is a Verb of Perception, which directly triggers the Experiential feature according to the diagnostics.",0,High," The verb ""have heard"" describes an act of perception (hearing) that does not result in a lexical change of state for the subject; it's an experience, not a lasting result.",0,High," The phrase ""have heard it said"" refers to a single, completed event of hearing a saying, not a state or activity that has been ongoing since the past.",0,0,High," The target gram ""have heard"" is a standard Present Perfect construction formed with the present tense auxiliary ""have"" and a past participle, thus not tense-shifted.",1,High," The verb ""hear"" describes a transition of state (from not knowing to knowing), and the use of ""have heard"" presents this transition as a completed event, fitting the perfective aspect.",0,High," The phrase ""have heard"" is in the present perfect tense and describes a past event that has relevance to the present, asserting a fact about what ""you"" have experienced, thus it is Realis.",0,High," The clause ""You have heard it said"" is a positive assertion and does not fall under the scope of any negation.",0,High," ""Have heard"" describes an activity with duration, not an instantaneous transition, and thus does not fit the criteria for an Achievement.",0,High," The phrase ""have heard"" describes a real event that actually happened, specifically that the listener has heard a particular saying.",0,High," The target gram ""have heard"" is in the active voice, where the subject ""You"" is the agent performing the action of hearing.",1,High," ""have heard"" takes the direct object ""it said,"" indicating a transitive usage.",0,High," The verb ""heard"" is transitive in this sentence because it takes ""it said"" as a direct object, thus disqualifying it from being unergative.",0,High," ""Have heard"" is a transitive verb phrase in the passive voice, as it takes ""it said"" as its object and implies an agent performing the hearing, thus it is not unaccusative.",0,--,OR,0,--,OR,0,High," ""Hear"" in this context represents a cognitive process of receiving information, which, while potentially involving a duration of listening, is ultimately a mental state change and thus more akin to an achievement than an accomplishment.",1,--,OR,0,High," ""Have heard"" describes an experience or state resulting from a past event, implying a duration or ongoing relevance rather than a single, instantaneous action.","participle, present",guo,"prasens, indikativ, haben, partizip","te, iru",
40005043,1,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,have heard,1,High," The verb ""heard"" is a Verb of Perception, which is a strong indicator of the Experiential feature.",0,High," The verb ""have heard"" describes an act of perception (hearing) that does not result in a lexical change of state for the subject.",0,High," The phrase ""have heard it said"" refers to a single, completed event of hearing a specific saying, rather than a continuous state or habitual series.",0,0,High," The gram ""have heard"" is a standard Present Perfect construction formed with the present tense auxiliary ""have"" and the past participle ""heard,"" thus fitting the criteria for a 0.",1,High," ""Have heard"" uses Simple Perfect morphology with a verb that implies a completed action of hearing, advancing the narrative.",0,High," The phrase ""have heard"" is in the present perfect tense and describes a completed action in the past with relevance to the present, asserting a fact about what the audience has experienced, thus it is Realis.",0,High," The clause ""have heard"" is not directly modified by a negator, nor does it fall under the scope of a negative quantifier or adverb; therefore, it is a positive assertion.",0,High," ""Have heard"" describes an experience with duration and is not an instantaneous transition, thus not an Achievement.",0,High," The phrase ""have heard"" describes a real event that actually happened, where the audience has heard a saying, making it indicative/realis rather than counterfactual.",0,High," The target gram ""have heard"" is in the active voice, where ""You"" (the subject) is the agent performing the action of hearing.",1,High," ""have heard"" takes the direct object ""it said,"" indicating a transitive usage.",0,High," The verb ""heard"" is transitive, taking ""it"" as its direct object, thus disqualifying it from being unergative.",0,High," ""Have heard"" is part of a passive construction (""have heard it said""), which is explicitly excluded from being unaccusative.",0,--,OR,0,--,OR,0,High," ""Hear"" in this context represents a cognitive event, specifically the reception of information, which aligns more closely with an achievement (a punctual switch) than an accomplishment (a gradual process).",1,--,OR,0,High," ""Have heard"" implies a state resulting from a past event of hearing, indicating a change of state and thus not a semelfactive event.","present, participle",guo,"prasens, indikativ, haben, partizip","te, iru",
40006002,1,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,have already been paid,0,High," The phrase ""have been paid"" implies a completed transaction resulting in a change of possession (payment received), and the hypocrites are now in the state of having received their reward.",1,High," The phrase ""have been paid in full"" indicates a completed change of state (from owing to being owed nothing) and the subject currently possesses the reward, fitting the Change of Possession criterion.",0,High," The phrase ""have been paid"" describes a completed action with a focus on the resulting state of being paid, rather than the duration of the payment process, indicating a resultative meaning.",0,0,High," The gram ""have been paid"" is a standard Present Perfect construction using the auxiliary ""have"" followed by the past participle ""been paid,"" thus fitting the criteria for a 0.",1,High," ""have been paid"" is a passive perfect construction describing a completed event, fitting the criteria for perfective aspect.",0,High," The phrase ""have been paid"" describes a completed action in the past, presented as a fact about the hypocrites' reward, thus representing a realized event in the actual world.",1,High," The auxiliary ""have"" is directly modified by ""not"" in the imperative ""Do not loudly announce it,"" indicating that the target gram ""have been paid"" falls under the scope of negation.",0,High," ""Have been paid"" describes an instantaneous transition to a state of being paid, fitting the criteria for an Achievement.",0,High," The sentence describes a real action and its consequence, not a hypothetical or counterfactual situation.",1,High," The target gram ""have been paid"" follows the passive morphology HAVE + BEEN + PAST PARTICIPLE, and the subject ""they"" is the recipient of the action, not the agent.",1,High," The target verb phrase ""have been paid"" is in the passive voice, indicating that the underlying verb ""pay"" is transitive, and thus the argument structure is transitive.",0,High," The verb ""paid"" is used transitively in the passive voice, with an implied agent and a recipient of the action, thus it is not unergative.",0,High," ""Have been paid"" is a passive construction, as indicated by ""been + participle,"" and therefore does not qualify as unaccusative.",0,High," The phrase ""have been paid"" describes a completed event or achievement, indicating a change of state where the reward has been received, thus it is not a static state.",0,High," ""Have been paid"" implies a completed action with a specific endpoint (receiving payment), thus indicating an accomplishment rather than an activity.",0,High," ""Have been paid"" represents a completed transaction, which is categorized as an Achievement and thus assigned 0.",1,High," ""Have been paid"" describes an instantaneous transition to a state of being paid, fitting the criteria for an Achievement.",0,High," ""Have been paid"" implies a completed action resulting in a change of state (being paid), thus it is not a semelfactive event.","present, participle","yijing, le",n_a,"te, shimau, iru",
40006005,1,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,have been paid,0,High," The phrase ""have been paid in full"" implies a completed transaction resulting in a change of possession (payment received), thus it is not experiential.",1,High," The phrase ""have been paid in full"" implies a completed transaction resulting in a current state of having received payment, fitting the Change of Possession criterion.",0,High," The phrase ""have been paid in full"" describes a completed action with a focus on the result (being paid), rather than the duration of the payment process.",0,0,High," The gram ""have been paid"" is a standard Present Perfect construction formed with the present auxiliary ""have"" and a past participle, thus not indicating a tense shift.",1,High," The target gram ""have been paid"" is a passive perfect construction, indicating a completed event of payment, thus perfective.",0,High," The phrase ""have been paid"" describes a completed action in the past, presented as a fact, thus representing the realis mood.",1,High," The auxiliary ""have"" is directly modified by ""not"" (""do not pray""), and this negation scopes over the entire clause containing ""have been paid,"" indicating negative polarity.",0,High," ""Have been paid"" describes an instantaneous transition to a state of being paid, fitting the criteria for an Achievement.",0,High," The sentence describes a real event that actually happened, where the hypocrites have already received their reward, indicating an indicative/realis clause.",1,High," The target gram ""have been paid"" follows the passive morphology HAVE + BEEN + PAST PARTICIPLE, and the subject ""they"" is the recipient of the action, not the agent.",1,High," The target ""have been paid"" is a passive construction of the transitive verb ""pay,"" thus requiring two core arguments (agent and patient), even though the agent is not explicitly stated.",0,High," The verb ""paid"" is used transitively in the passive voice, implying a direct object (payment) even if it's not explicitly stated, thus it is not unergative.",0,High," The target ""have been paid"" is a passive construction, indicated by ""been + participle,"" and therefore not an unaccusative verb.",0,High," The phrase ""have been paid"" describes a completed event, indicating a change of state (from unpaid to paid), which is dynamic and thus not a state.",0,High," ""Have been paid"" implies a completed action with a specific endpoint (receiving payment), thus indicating an accomplishment rather than an activity.",0,High," ""Have been paid"" represents a completed transaction, which is categorized as an Achievement and thus assigned 0.",1,High," ""Have been paid"" describes an instantaneous transition to a state of being paid, fitting the criteria for an Achievement.",0,High," ""Have been paid"" implies a completed action resulting in a change of state (being in a state of having received payment), thus it is not a semelfactive event.","present, participle","yijing, le",n_a,"te, shimau, iru",
