TokenID,Target,DtExp,DtRes,DtUniv,DtDTAM,TLTS,TLAspPfv,TLMdIrr,ClNegPol,ClIntgv,ClCntfcl,VcPass,ASTrns,ASUnrg,ASUncc,AktState,AktAct,AktAcc,AktAch,AktSemel,eng_gram,cmn_gram,deu_gram,jpn_gram,metadata
40001018,had been promised,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,"past, participle",le,"prat, indikativ, sein, partizip",n_a,
40001024,had commanded,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"participle, past",suo_de,"prat, indikativ, haben, partizip",ta,
40003002,has come near,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,"past, participle",le,"prasens, indikativ, sein, partizip",ta,
40003017,have approved,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"present, participle",suo_de,"prasens, indikativ, haben, partizip",n_a,
40004012,had been arrested,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,"past, participle",compound,"prat, indikativ, sein, werden, partizip",ta,
40005027,have heard,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"present, participle",guo,"prasens, indikativ, haben, partizip","te, iru",
40005038,have heard,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"participle, present",guo,"prasens, indikativ, haben, partizip","te, iru",
40005043,have heard,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"present, participle",guo,"prasens, indikativ, haben, partizip","te, iru",
40006002,have been paid,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,"present, participle","yijing, le",n_a,"te, shimau, iru",
40006005,have been paid,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,"present, participle","yijing, le",n_a,"te, shimau, iru",
40006016,have received,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"present, participle","yijing, le",n_a,"te, shimau, iru",
40007028,had finished,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"past, participle","le, compound","prat, indikativ, haben, partizip",nonpast,
40008010,have not found,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,"present, participle","meiyou, guo","prasens, indikativ, haben, partizip","ta, koto_ga, aru",
